epoch,total_s,train_s,val_s
1,134.413,126.884,7.529
2,129.452,121.015,8.437
3,128.882,121.793,7.089
4,127.786,119.264,8.522
5,126.474,119.474,7.0
6,131.751,124.558,7.192
7,127.193,119.804,7.389
8,126.803,119.415,7.388
9,128.292,119.962,8.331
10,127.684,120.307,7.377
11,125.553,118.525,7.028
12,126.558,119.588,6.971
13,129.961,122.68,7.282
14,127.116,119.129,7.987
15,126.275,119.391,6.885
16,127.402,119.307,8.096
17,125.795,118.771,7.023
18,126.595,119.942,6.653
19,127.345,120.864,6.481
20,127.529,120.185,7.344
21,126.821,118.693,8.128
22,126.915,119.694,7.221
23,127.08,119.004,8.076
24,127.559,120.301,7.258
25,125.639,119.42,6.219
26,126.682,120.363,6.319
27,125.644,118.991,6.653
28,129.271,122.467,6.804
29,128.102,121.252,6.85
30,130.837,124.029,6.807
31,136.736,128.092,8.644
32,134.212,127.052,7.16
33,134.032,126.664,7.368
34,137.058,129.531,7.527
35,134.61,128.212,6.398
36,137.393,128.918,8.475
37,135.078,128.035,7.043
38,140.038,132.333,7.705
39,136.971,129.976,6.995
40,132.514,124.339,8.175
41,134.95,128.121,6.829
42,137.48,129.971,7.508
43,137.837,130.744,7.093
44,137.87,130.369,7.502
45,134.627,126.34,8.287
46,142.158,133.34,8.818
47,137.683,130.32,7.364
48,139.498,132.238,7.26
49,138.473,130.681,7.792
50,139.902,133.029,6.873
51,135.457,127.272,8.184
52,137.611,129.36,8.251
53,143.609,135.161,8.447
54,139.189,131.159,8.029
55,137.763,130.015,7.748
56,136.107,128.874,7.232
57,139.604,131.939,7.666
58,141.928,134.787,7.141
59,141.392,133.384,8.008
60,166.696,157.642,9.054
61,157.052,148.299,8.753
62,152.024,144.413,7.611
63,154.076,145.623,8.453
64,149.382,140.522,8.86
65,154.063,146.585,7.477
66,157.881,150.189,7.692
67,155.916,148.501,7.415
68,153.773,145.664,8.11
69,155.496,147.443,8.053
70,152.902,144.788,8.114
71,156.409,145.906,10.504
72,152.042,144.098,7.943
73,154.306,146.501,7.805
74,155.046,147.374,7.671
75,156.158,146.997,9.161
