epoch,total_s,train_s,val_s
1,19.149,17.534,1.616
2,18.996,17.389,1.607
3,19.129,17.501,1.628
4,19.036,17.393,1.643
5,19.138,17.507,1.631
6,19.116,17.447,1.67
7,19.04,17.4,1.641
8,19.072,17.437,1.634
9,19.079,17.432,1.647
10,19.05,17.423,1.626
11,19.121,17.448,1.673
12,19.048,17.418,1.63
13,19.137,17.504,1.634
14,19.073,17.43,1.643
15,19.096,17.457,1.639
16,19.11,17.46,1.651
17,19.07,17.437,1.633
18,19.107,17.456,1.651
19,19.119,17.477,1.642
20,19.13,17.501,1.629
21,19.078,17.426,1.651
22,19.095,17.44,1.655
23,19.092,17.45,1.642
24,19.06,17.423,1.637
25,19.054,17.414,1.64
