model,dataset,stage,accuracy,precision,recall,f1
cnn,IMAGENET100,FP32,46.5800017118454,51.487672328948975,46.5800017118454,45.49334943294525
cnn,IMAGENET100,PTQ,28.920000791549683,46.69193625450134,28.920000791549683,28.4921795129776
cnn,IMAGENET100,QAT,54.680001735687256,55.00897169113159,54.680001735687256,53.83031964302063
resnet18_no_weights,IMAGENET100,FP32,80.09999990463257,81.1843752861023,80.09999990463257,80.12781739234924
resnet18_no_weights,IMAGENET100,PTQ,69.4599986076355,74.91588592529297,69.4599986076355,70.38462162017822
resnet18_no_weights,IMAGENET100,QAT,82.58000016212463,82.68810510635376,82.58000016212463,82.46047496795654
resnet50_no_weights,IMAGENET100,FP32,80.27999997138977,81.09908103942871,80.27999997138977,80.08529543876648
resnet50_no_weights,IMAGENET100,PTQ,54.90000247955322,69.52287554740906,54.90000247955322,55.365169048309326
resnet50_no_weights,IMAGENET100,QAT,83.49999785423279,83.66468548774719,83.49999785423279,83.33656191825867
cnn,CIFAR10,FP32,80.40000200271606,81.5519392490387,80.40000200271606,80.26942610740662
cnn,CIFAR10,PTQ,73.2200026512146,76.79462432861328,73.2200026512146,73.13451766967773
cnn,CIFAR10,QAT,84.66000556945801,84.67515707015991,84.66000556945801,84.64266657829285
resnet18_no_weights,CIFAR10,FP32,83.66999626159668,84.60742235183716,83.66999626159668,83.71943831443787
resnet18_no_weights,CIFAR10,PTQ,81.99999332427979,83.2007110118866,81.99999332427979,82.15309977531433
resnet18_no_weights,CIFAR10,QAT,88.510000705719,88.49937319755554,88.510000705719,88.4978711605072
resnet50_no_weights,CIFAR10,FP32,80.19999861717224,81.84348344802856,80.19999861717224,80.33892512321472
resnet50_no_weights,CIFAR10,PTQ,50.12999773025513,71.0426926612854,50.12999773025513,47.161296010017395
resnet50_no_weights,CIFAR10,QAT,86.81999444961548,86.72165274620056,86.81999444961548,86.74381971359253
