model,dataset,stage,batch,fp32_latency_ms,int8_latency_ms,fp32_throughput_ips,int8_throughput_ips,speedup_x
cnn,CIFAR10,PTQ,1,0.9723330003907904,0.36899050064675976,1028.454243143131,2710.0968676624966,2.635116618683958
cnn,CIFAR10,PTQ,8,5.872772500879364,1.7236289986612974,1362.218611192944,4641.370043213136,3.4072137945234213
cnn,CIFAR10,PTQ,32,28.144489000624162,8.229283999753534,1136.989909438055,3888.5521511906013,3.420041038985541
cnn,CIFAR10,PTQ,64,68.53933300044446,15.056730500873527,933.7703942871019,4250.590790363618,4.5520727754586625
cnn,CIFAR10,PTQ,128,144.27504850027617,33.39086000050884,887.1942954138392,3833.3843452384704,4.3207946275740605
cnn,CIFAR10,QAT,1,0.9638629999244586,0.3675505013234215,1037.4918428016986,2720.7145586779175,2.622396096465447
cnn,CIFAR10,QAT,8,5.713149999792222,1.7201589998876443,1400.278305364107,4650.732868602575,3.32129181091131
cnn,CIFAR10,QAT,32,30.691213500176673,7.829829000911559,1042.6436869241352,4086.9347205762115,3.919780814702794
cnn,CIFAR10,QAT,64,67.67579950064828,15.963038998961565,945.6851706552344,4009.261645239566,4.2395310507636275
cnn,CIFAR10,QAT,128,137.59614300215617,33.50163949835405,930.2586337612255,3820.7085359595217,4.107146547526915
resnet18_no_weights,CIFAR10,PTQ,1,3.570211500118603,0.963503000093624,280.09545091846235,1037.8794875603185,3.7054492822250515
resnet18_no_weights,CIFAR10,PTQ,8,9.117848499954562,3.0761670004721964,877.399969964391,2600.6390416294003,2.9640290980804873
resnet18_no_weights,CIFAR10,PTQ,32,30.195620498489006,9.988662499381462,1059.7563312733143,3203.6321181120666,3.022989364227577
resnet18_no_weights,CIFAR10,PTQ,64,72.79968849979923,19.94659600131854,879.1246407623914,3208.5675167717527,3.649729933618093
resnet18_no_weights,CIFAR10,PTQ,128,163.2697069999267,38.50821899868606,783.9788675559848,3323.9657228595142,4.239866481633379
resnet18_no_weights,CIFAR10,QAT,1,3.64217549940804,1.0022730002674507,274.5611792080116,997.7321545458731,3.633915608258575
resnet18_no_weights,CIFAR10,QAT,8,9.50824700157682,3.08836399926804,841.3748610730562,2590.3682344102076,3.078732624726337
resnet18_no_weights,CIFAR10,QAT,32,30.030139998416416,9.948066999641014,1065.5960978432822,3216.7053158321864,3.018690967752839
resnet18_no_weights,CIFAR10,QAT,64,71.32994649873581,19.308626999190892,897.2388616769015,3314.580575961297,3.6942008617041915
resnet18_no_weights,CIFAR10,QAT,128,165.32134500266693,37.72004249913152,774.249689282017,3393.4214152316267,4.382851504116766
