model,dataset,stage,layer,trace
cnn,CIFAR10,FP32,conv1.weight,52.00979067484538
cnn,CIFAR10,FP32,conv2.weight,117.08365278977614
cnn,CIFAR10,FP32,conv3.weight,191.92362912495932
cnn,CIFAR10,FP32,conv4.weight,59.390937169392906
cnn,CIFAR10,FP32,fc1.weight,9.579497394561768
cnn,CIFAR10,FP32,fc2.weight,4.172250817651334
cnn,CIFAR10,PTQ,conv1.weight,268.70069908373284
cnn,CIFAR10,PTQ,conv2.weight,798.4767532348633
cnn,CIFAR10,PTQ,conv3.weight,368.07207573784723
cnn,CIFAR10,PTQ,conv4.weight,22.17500825361772
cnn,CIFAR10,PTQ,fc1.weight,13.764831725587236
cnn,CIFAR10,PTQ,fc2.weight,5.243991404771805
cnn,CIFAR10,QAT,conv1.weight,170.55114459991455
cnn,CIFAR10,QAT,conv2.weight,553.7812194824219
cnn,CIFAR10,QAT,conv3.weight,261.40921783447266
cnn,CIFAR10,QAT,conv4.weight,14.41961701711019
cnn,CIFAR10,QAT,fc1.weight,10.255356046888563
cnn,CIFAR10,QAT,fc2.weight,5.079000064304897
resnet18_no_weights,CIFAR10,FP32,conv1.weight,12.212346657462742
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,22.353069135120936
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,32.56239676475525
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,33.20931839361423
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,23.289765686824403
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,47.81554985046387
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,39.01616605122884
resnet18_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,25.497677909003365
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,28.053580611092702
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,26.481401398068382
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,49.4585654518821
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,73.13529403686523
resnet18_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,20.283361117045086
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,54.47426634568434
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,34.499859883235054
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,38.81549496120877
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,38.567808731742524
resnet18_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,21.30007553100586
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,30.025328318277996
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,11.359501145102762
resnet18_no_weights,CIFAR10,FP32,fc.weight,3.0276680426164106
resnet18_no_weights,CIFAR10,PTQ,conv1.weight,96.21130180358887
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,52.224178512891136
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,45.33528804779053
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,216.10453451833416
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,24.982826232910156
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,153.32715797424316
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,20.628141948154994
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,18.020284366607665
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,96.65882750480405
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,16.531283497810364
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,217.74737646640875
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,45.57635612487793
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,21.142045974731445
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,91.43187067243788
