model,dataset,init,seed,layer,hessian_trace
cnn,CIFAR10,random,0,conv1.weight,0.41493191197514534
cnn,CIFAR10,random,0,conv2.weight,3.693902677959866
cnn,CIFAR10,random,0,conv3.weight,6.378388972117983
cnn,CIFAR10,random,0,conv4.weight,11.17698258620042
cnn,CIFAR10,random,0,fc1.weight,10.564057949611119
cnn,CIFAR10,random,0,fc2.weight,10.85002429144723
cnn,CIFAR10,random,1,conv1.weight,0.41520468559530044
cnn,CIFAR10,random,1,conv2.weight,3.590231171676091
cnn,CIFAR10,random,1,conv3.weight,6.769327799479167
cnn,CIFAR10,random,1,conv4.weight,12.079802672068277
cnn,CIFAR10,random,1,fc1.weight,14.465828037261963
cnn,CIFAR10,random,1,fc2.weight,11.867652664581934
cnn,CIFAR10,random,2,conv1.weight,0.5040619653098437
cnn,CIFAR10,random,2,conv2.weight,3.509031065305074
cnn,CIFAR10,random,2,conv3.weight,5.869460459678404
cnn,CIFAR10,random,2,conv4.weight,11.763797552689262
cnn,CIFAR10,random,2,fc1.weight,11.619964758555094
cnn,CIFAR10,random,2,fc2.weight,12.761932911411408
