model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,conv1,conv1,"(64, 3, 3, 3)",11.790860557556153
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",4.256371633211772
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",3.4999062382445043
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",2.912586544689379
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",16.56778051739647
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",2.7817051804671853
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",3.3943987920366485
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",2.618541192263365
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",4.812057596881215
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",11.017738382021586
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",6.6918110847473145
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",16.07687373388381
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",27.06992295962661
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",31.084499061107635
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",36.0651179093581
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",3.204465082713536
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",7.712539740971157
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",9.508061593578708
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",4.062673948705196
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",7.103024309331721
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",7.276520145700333
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",5.7380755969456265
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",14.294060277938843
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",8.982230194153324
resnet50_no_weights,CIFAR10,fp32_unfused,20260811,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",40.92062683105469
