model,dataset,stage,predictor,n_layers,spearman_rho,spearman_p,top5_overlap_with_damage,conv1_predictor_rank,conv1_damage_rank
resnet18_no_weights,CIFAR10,PTQ,raw_trh,21,0.23992217944900054,0.2948518963195287,2/5,2,1
resnet18_no_weights,CIFAR10,PTQ,dwsq,21,-0.3933683429990389,0.07770157211915057,0/5,21,1
resnet18_no_weights,CIFAR10,PTQ,trh_dwsq,21,-0.2217167024176401,0.33408772725214025,0/5,18,1
resnet50_no_weights,CIFAR10,PTQ,raw_trh,54,0.24871247692922419,0.06975407781181876,1/5,1,1
resnet50_no_weights,CIFAR10,PTQ,dwsq,54,0.028766560454768372,0.8364108556846935,1/5,54,1
resnet50_no_weights,CIFAR10,PTQ,trh_dwsq,54,0.13955978533626354,0.314179724188175,2/5,41,1
resnet18_no_weights,CIFAR10,QAT,raw_trh,21,-0.05083121604831546,0.8267939505192731,0/5,1,20
resnet18_no_weights,CIFAR10,QAT,dwsq,21,0.3857958961615737,0.08411697274507768,2/5,21,20
resnet18_no_weights,CIFAR10,QAT,trh_dwsq,21,0.3929644009889003,0.07803426346725142,2/5,18,20
resnet50_no_weights,CIFAR10,QAT,raw_trh,54,-0.10154820905569323,0.4649898768665324,0/5,1,54
resnet50_no_weights,CIFAR10,QAT,dwsq,54,0.0013727884063105356,0.9921394906236604,0/5,54,54
resnet50_no_weights,CIFAR10,QAT,trh_dwsq,54,-0.05254728955266439,0.7059003236497026,0/5,40,54
