model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts
resnet18_no_weights,CIFAR10,PTQ,conv1,199.2473040989467,0.20959454774856567,0.00012129314105819773,41.761148592739666,84.69,83.79,0.8999999999999915
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,135.80439597681948,0.7561405897140503,2.051162624007298e-05,102.68721605967268,84.69,84.94,-0.25
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,80.34887218475342,1.736379623413086,4.710231183303727e-05,139.51614442582832,84.69,84.81,-0.12000000000000455
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,176.6143580845424,0.41718894243240356,1.1316974349837336e-05,73.68155726766807,84.69,84.45,0.23999999999999488
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,34.157021454402376,2.053152084350586,5.569531478815609e-05,70.12955979431392,84.69,84.36,0.3299999999999983
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,200.413942972819,0.5564993619918823,7.548005669377744e-06,111.53023139865127,84.69,84.63,0.060000000000002274
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,47.69405388832092,4.71184778213501,3.195426284542514e-05,224.72712203471258,84.69,84.48,0.20999999999999375
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,20.614185900301543,1.8216651678085327,0.00022237123630475253,37.5521444173091,84.69,84.27,0.4200000000000017
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,132.14743309020997,1.1596461534500122,7.864353796725885e-06,153.24426247135486,84.69,84.47,0.21999999999999886
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,26.777606836954757,4.910769939422607,3.330329006227354e-05,131.4986667045947,84.69,84.7,-0.010000000000005116
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,151.25545692443848,1.6147408485412598,5.475331110776298e-06,244.23836486066375,84.69,84.57,0.12000000000000455
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,42.21270254383917,10.003969192504883,1.696093952179783e-05,422.29457578093957,84.69,84.77,-0.0799999999999983
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,10.583319425582886,1.705434799194336,5.2045739721506834e-05,18.049161239378464,84.69,84.52,0.1700000000000017
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,79.9299799601237,4.302940368652344,7.2952954926424554e-06,343.93393743598915,84.69,84.58,0.10999999999999943
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,20.34336135500953,11.071906089782715,1.8771542171533736e-05,225.23978647318037,84.69,84.64,0.04999999999999716
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,58.258108901977536,5.048211097717285,4.27942157127998e-06,294.09923189098515,84.69,84.47,0.21999999999999886
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,74.90457700646442,14.926603317260742,6.326719206602623e-06,1118.0709076227045,84.69,84.71,-0.01999999999999602
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,23.89675796031952,6.02484130859375,4.596589133143425e-05,143.97417450079956,84.69,84.63,0.060000000000002274
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,106.80278778076172,10.315802574157715,4.372407096929641e-06,1101.7564731160019,84.69,84.64,0.04999999999999716
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,7.590441094504462,15.525242805480957,6.580455697581379e-06,117.8434409928824,84.69,84.71,-0.01999999999999602
resnet18_no_weights,CIFAR10,PTQ,fc,5.131800732961515,1.96467125415802,0.0003837248543277383,10.082301382116546,84.69,84.96,-0.269999999999996
resnet50_no_weights,CIFAR10,PTQ,conv1,125.56843499077692,0.12864458560943604,7.444709815360882e-05,16.153699285013904,80.56,78.94,1.6200000000000045
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1,9.723207892203815,0.8298072218894958,0.0002025896537816152,8.068388128883669,80.56,80.52,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,70.6675028624358,0.5863714218139648,1.5906342822644445e-05,41.43740412948891,80.56,80.59,-0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3,23.583237274833348,2.934232473373413,0.00017909133748617023,69.19870063908633,80.56,80.46,0.10000000000000853
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0,26.178875037602012,3.1429171562194824,0.00019182843971066177,82.27803548620531,80.56,80.01,0.5499999999999972
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,27.97500205039978,0.42844146490097046,2.6149991754209623e-05,11.985650859080934,80.56,80.56,0.0
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2,62.31956715053983,0.6760720014572144,1.833962677564058e-05,42.132514493412735,80.56,80.63,-0.06999999999999318
