model,dataset,stage,layer,weight_damage_pts,abs_weight_damage_pts
resnet50_no_weights,IMAGENET100,PTQ,conv1,5.079999999999998,5.079999999999998
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv1,-0.09999999999999432,0.09999999999999432
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv2,0.0,0.0
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.conv3,0.04000000000000625,0.04000000000000625
resnet50_no_weights,IMAGENET100,PTQ,layer1.0.downsample.0,0.519999999999996,0.519999999999996
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv1,0.20000000000000284,0.20000000000000284
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv2,-0.0799999999999983,0.0799999999999983
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv3,0.04000000000000625,0.04000000000000625
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv1,0.0,0.0
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv2,0.12000000000000455,0.12000000000000455
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv3,-0.1599999999999966,0.1599999999999966
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv1,0.10000000000000853,0.10000000000000853
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv2,-0.0799999999999983,0.0799999999999983
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.conv3,0.060000000000002274,0.060000000000002274
resnet50_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0,0.12000000000000455,0.12000000000000455
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv1,-0.1599999999999966,0.1599999999999966
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv2,-0.01999999999999602,0.01999999999999602
resnet50_no_weights,IMAGENET100,PTQ,layer2.1.conv3,-0.03999999999999204,0.03999999999999204
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv1,0.10000000000000853,0.10000000000000853
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv2,0.01999999999999602,0.01999999999999602
resnet50_no_weights,IMAGENET100,PTQ,layer2.2.conv3,-0.0799999999999983,0.0799999999999983
resnet50_no_weights,IMAGENET100,PTQ,layer2.3.conv1,0.0799999999999983,0.0799999999999983
