model,dataset,stage,predictor,n_layers,damage_mode,spearman_rho_abs,spearman_p_abs,top5_overlap_abs,conv1_damage_rank_abs,spearman_rho_signed,spearman_p_signed,top5_overlap_signed,conv1_damage_rank_signed,conv1_predictor_rank
resnet18_no_weights,CIFAR10,PTQ,raw_trh,21,both,0.16585387778965882,0.472450168857436,2/5,1,0.23992217944900054,0.2948518963195287,2/5,1,2
resnet18_no_weights,CIFAR10,PTQ,dwsq,21,both,-0.6640659185225164,0.0010276376128400269,0/5,1,-0.3933683429990389,0.07770157211915057,0/5,1,21
resnet18_no_weights,CIFAR10,PTQ,trh_dwsq,21,both,-0.5957731453150098,0.004373815757506521,0/5,1,-0.2217167024176401,0.33408772725214025,0/5,1,18
resnet50_no_weights,CIFAR10,PTQ,raw_trh,54,both,0.19176753047031542,0.16478549199549117,1/5,1,0.24871247692922419,0.06975407781181876,1/5,1,1
resnet50_no_weights,CIFAR10,PTQ,dwsq,54,both,-0.02623343158763574,0.8506436970466953,1/5,1,0.028766560454768372,0.8364108556846935,1/5,1,54
resnet50_no_weights,CIFAR10,PTQ,trh_dwsq,54,both,0.10050420951769616,0.4696155069266112,1/5,1,0.13955978533626354,0.314179724188175,2/5,1,41
resnet18_no_weights,CIFAR10,QAT,raw_trh,21,both,0.05083121604831546,0.8267939505192731,2/5,2,-0.05083121604831546,0.8267939505192731,0/5,20,1
resnet18_no_weights,CIFAR10,QAT,dwsq,21,both,-0.3857958961615737,0.08411697274507768,1/5,2,0.3857958961615737,0.08411697274507768,2/5,20,21
resnet18_no_weights,CIFAR10,QAT,trh_dwsq,21,both,-0.3929644009889003,0.07803426346725142,1/5,2,0.3929644009889003,0.07803426346725142,2/5,20,18
resnet50_no_weights,CIFAR10,QAT,raw_trh,54,both,0.2989567756897484,0.02809477514334491,1/5,1,-0.10154820905569323,0.4649898768665324,0/5,54,1
resnet50_no_weights,CIFAR10,QAT,dwsq,54,both,-0.125808274368354,0.3646845599507705,1/5,1,0.0013727884063105356,0.9921394906236604,0/5,54,54
resnet50_no_weights,CIFAR10,QAT,trh_dwsq,54,both,0.10078394811436969,0.4683736580195316,1/5,1,-0.05254728955266439,0.7059003236497026,0/5,54,40
