model,dataset,stage,selection,num_disabled,newly_disabled_layer,disabled_layers,outlier_factor,baseline_acc,ablated_acc,recovery_pts
cnn,CIFAR10,PTQ,cumulative_top_outlier,1,conv3,conv3,5.910093885838823,66.01,66.02,0.009999999999990905
cnn,CIFAR10,PTQ,cumulative_top_outlier,2,fc1,conv3;fc1,4.797220655393434,66.01,66.03,0.01999999999999602
cnn,CIFAR10,PTQ,cumulative_top_outlier,3,conv4,conv3;fc1;conv4,4.757382828851534,66.01,66.06,0.04999999999999716
cnn,CIFAR10,PTQ,cumulative_top_outlier,4,conv2,conv3;fc1;conv4;conv2,4.4386571910218935,66.01,66.0,-0.010000000000005116
cnn,CIFAR10,PTQ,cumulative_top_outlier,5,conv1,conv3;fc1;conv4;conv2;conv1,4.233774954829011,66.01,66.01,0.0
cnn,CIFAR10,PTQ,cumulative_low_outlier,1,fc2,fc2,1.914124166668429,66.01,66.2,0.18999999999999773
cnn,CIFAR10,PTQ,cumulative_low_outlier,2,conv1,fc2;conv1,4.233774954829011,66.01,66.29,0.28000000000000114
cnn,CIFAR10,PTQ,cumulative_low_outlier,3,conv2,fc2;conv1;conv2,4.4386571910218935,66.01,66.18,0.1700000000000017
cnn,CIFAR10,PTQ,cumulative_low_outlier,4,conv4,fc2;conv1;conv2;conv4,4.757382828851534,66.01,66.15,0.14000000000000057
cnn,CIFAR10,PTQ,cumulative_low_outlier,5,fc1,fc2;conv1;conv2;conv4;fc1,4.797220655393434,66.01,66.15,0.14000000000000057
cnn,CIFAR10,QAT,cumulative_top_outlier,1,conv3,conv3,6.2950229137631695,85.19,85.24,0.04999999999999716
cnn,CIFAR10,QAT,cumulative_top_outlier,2,conv2,conv3;conv2,5.2346061423881824,85.19,85.24,0.04999999999999716
cnn,CIFAR10,QAT,cumulative_top_outlier,3,conv4,conv3;conv2;conv4,4.7142188949082495,85.19,85.33,0.14000000000000057
cnn,CIFAR10,QAT,cumulative_top_outlier,4,fc1,conv3;conv2;conv4;fc1,4.206429985898507,85.19,85.28,0.09000000000000341
cnn,CIFAR10,QAT,cumulative_top_outlier,5,conv1,conv3;conv2;conv4;fc1;conv1,3.966974020931999,85.19,85.29,0.10000000000000853
cnn,CIFAR10,QAT,cumulative_low_outlier,1,fc2,fc2,1.6723985287341714,85.19,85.31,0.12000000000000455
cnn,CIFAR10,QAT,cumulative_low_outlier,2,conv1,fc2;conv1,3.966974020931999,85.19,85.26,0.07000000000000739
cnn,CIFAR10,QAT,cumulative_low_outlier,3,fc1,fc2;conv1;fc1,4.206429985898507,85.19,85.24,0.04999999999999716
cnn,CIFAR10,QAT,cumulative_low_outlier,4,conv4,fc2;conv1;fc1;conv4,4.7142188949082495,85.19,85.22,0.030000000000001137
cnn,CIFAR10,QAT,cumulative_low_outlier,5,conv2,fc2;conv1;fc1;conv4;conv2,5.2346061423881824,85.19,85.34,0.15000000000000568
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,1,layer2.1.conv2,layer2.1.conv2,8.297499247965705,82.27,82.36,0.09000000000000341
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,2,layer2.0.downsample.0,layer2.1.conv2;layer2.0.downsample.0,6.766728562308081,82.27,82.32,0.04999999999999716
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,3,layer3.1.conv2,layer2.1.conv2;layer2.0.downsample.0;layer3.1.conv2,6.022626411562694,82.27,82.37,0.10000000000000853
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,4,layer4.1.conv1,layer2.1.conv2;layer2.0.downsample.0;layer3.1.conv2;layer4.1.conv1,5.783923747970681,82.27,82.37,0.10000000000000853
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,5,layer1.1.conv1,layer2.1.conv2;layer2.0.downsample.0;layer3.1.conv2;layer4.1.conv1;layer1.1.conv1,5.169249343271153,82.27,82.28,0.010000000000005116
resnet18_no_weights,CIFAR10,PTQ,cumulative_low_outlier,1,fc,fc,1.2975457030285567,82.27,82.34,0.07000000000000739
resnet18_no_weights,CIFAR10,PTQ,cumulative_low_outlier,2,layer2.0.conv1,fc;layer2.0.conv1,3.55041683920325,82.27,82.47,0.20000000000000284
resnet18_no_weights,CIFAR10,PTQ,cumulative_low_outlier,3,conv1,fc;layer2.0.conv1;conv1,3.6361551162998884,82.27,82.47,0.20000000000000284
resnet18_no_weights,CIFAR10,PTQ,cumulative_low_outlier,4,layer3.0.conv1,fc;layer2.0.conv1;conv1;layer3.0.conv1,3.731146039544683,82.27,82.49,0.21999999999999886
resnet18_no_weights,CIFAR10,PTQ,cumulative_low_outlier,5,layer3.0.conv2,fc;layer2.0.conv1;conv1;layer3.0.conv1;layer3.0.conv2,3.9086199239368966,82.27,82.41,0.14000000000000057
