model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
cnn,CIFAR10,PTQ,conv1,-8.091721534729004,7.558411121368408,15.650132656097412,0.06137306988239288,132,1.6057171821594238,2.8323633670806885,7.713742733001709,4.8039236415394155,9.746506315047693,42,3,
cnn,CIFAR10,PTQ,conv2,-8.328008651733398,4.754361152648926,13.082369804382324,0.05130341276526451,162,0.869729220867157,1.548133134841919,4.090813636779785,4.7035485742344845,15.04188831477761,42,3,
cnn,CIFAR10,PTQ,conv3,-5.947083473205566,3.1554296016693115,9.102513074874878,0.035696130245923996,167,0.5255359411239624,0.9898706674575806,2.97456431388855,5.660058772625249,17.32043874184391,42,3,
cnn,CIFAR10,PTQ,conv4,-3.486232280731201,3.6537742614746094,7.1400065422058105,0.02800002507865429,125,0.8326759934425354,1.4771493673324585,3.9175832271575928,4.704811064578809,8.574771698036898,42,3,
cnn,CIFAR10,PTQ,fc1,-2.99546217918396,4.414804458618164,7.410266637802124,0.029059870168566704,103,0.7261451482772827,1.455990195274353,4.078004360198975,5.6159631030706345,10.204938579266623,42,3,
cnn,CIFAR10,PTQ,fc2,-11.027742385864258,24.864330291748047,35.892072677612305,0.14075323939323425,78,10.711146354675293,17.62755012512207,24.11705780029297,2.251585124664658,3.3509086225813567,42,3,
cnn,CIFAR10,PTQ,conv1,-8.091721534729004,7.558411121368408,15.650132656097412,0.06137306988239288,132,1.5609982013702393,2.6763548851013184,6.201936721801758,3.9730582113148607,10.025721133028709,43,3,
cnn,CIFAR10,PTQ,conv2,-8.328008651733398,4.754361152648926,13.082369804382324,0.05130341276526451,162,0.8363507986068726,1.4405326843261719,3.622588634490967,4.331422461155284,15.642203996425792,43,3,
cnn,CIFAR10,PTQ,conv3,-5.947083473205566,3.1554296016693115,9.102513074874878,0.035696130245923996,167,0.5262662172317505,1.019504427909851,3.251805305480957,6.1790120646276785,17.29640394315189,43,3,
cnn,CIFAR10,PTQ,conv4,-3.486232280731201,3.6537742614746094,7.1400065422058105,0.02800002507865429,125,0.8673940300941467,1.5574818849563599,4.400174617767334,5.072867076673032,8.231560622374626,43,3,
cnn,CIFAR10,PTQ,fc1,-2.99546217918396,4.414804458618164,7.410266637802124,0.029059870168566704,103,0.7034642100334167,1.3920831680297852,3.6684768199920654,5.21487343303194,10.533963963070862,43,3,
cnn,CIFAR10,PTQ,fc2,-11.027742385864258,24.864330291748047,35.892072677612305,0.14075323939323425,78,9.353349685668945,16.374616622924805,21.887165069580078,2.34003493990129,3.8373496002833694,43,3,
cnn,CIFAR10,PTQ,conv1,-8.091721534729004,7.558411121368408,15.650132656097412,0.06137306988239288,132,1.638857364654541,2.9041616916656494,6.431438446044922,3.924343011632755,9.549417169319273,44,3,
cnn,CIFAR10,PTQ,conv2,-8.328008651733398,4.754361152648926,13.082369804382324,0.05130341276526451,162,0.880197286605835,1.5330651998519897,3.768125057220459,4.281000537675912,14.862997197855256,44,3,
cnn,CIFAR10,PTQ,conv3,-5.947083473205566,3.1554296016693115,9.102513074874878,0.035696130245923996,167,0.5479351282119751,1.0274947881698608,3.228001356124878,5.891210820263541,16.6123918803641,44,3,
cnn,CIFAR10,PTQ,conv4,-3.486232280731201,3.6537742614746094,7.1400065422058105,0.02800002507865429,125,0.88740473985672,1.5581881999969482,3.9884142875671387,4.49447034530276,8.045941408154562,44,3,
