model,dataset,stage,layer,trace
cnn,CIFAR10,FP32,conv1.weight,57.321739721298215
cnn,CIFAR10,FP32,conv2.weight,131.0396239336799
cnn,CIFAR10,FP32,conv3.weight,199.1919094966008
cnn,CIFAR10,FP32,conv4.weight,66.6442581979852
cnn,CIFAR10,FP32,fc1.weight,12.049851685762405
cnn,CIFAR10,FP32,fc2.weight,4.201409975687663
cnn,CIFAR10,PTQ,conv1.weight,323.41096793280707
cnn,CIFAR10,PTQ,conv2.weight,863.4445620450107
cnn,CIFAR10,PTQ,conv3.weight,453.5870997111003
cnn,CIFAR10,PTQ,conv4.weight,26.454613590240477
cnn,CIFAR10,PTQ,fc1.weight,16.23103615089699
cnn,CIFAR10,PTQ,fc2.weight,6.180282873265884
cnn,CIFAR10,QAT,conv1.weight,236.52092654888446
cnn,CIFAR10,QAT,conv2.weight,592.8913001083746
cnn,CIFAR10,QAT,conv3.weight,302.0805989583333
cnn,CIFAR10,QAT,conv4.weight,15.300802230834961
cnn,CIFAR10,QAT,fc1.weight,11.567634385207604
cnn,CIFAR10,QAT,fc2.weight,5.060504160429302
resnet18_no_weights,CIFAR10,FP32,conv1.weight,23.866256111073046
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,48.476896362304686
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,62.44364837861397
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,78.30149182406339
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,40.93568590709141
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,55.36052376883371
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,55.40525690714518
resnet18_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,35.32404585445629
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,46.245302015735255
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,40.590702798631455
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,75.8153824525721
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,102.12755115215595
resnet18_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,30.6338951587677
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,89.2906442788931
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,52.14115285873413
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,62.52154903411865
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,61.22003753662109
resnet18_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,26.258620563306305
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,51.30116052980776
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,16.676640754050396
resnet18_no_weights,CIFAR10,FP32,fc.weight,4.49779525787934
resnet18_no_weights,CIFAR10,PTQ,conv1.weight,197.09030334472655
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,77.3726587910806
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,68.82140117221408
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,364.06861718495685
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,39.43276119232178
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,208.17154039655412
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,37.08219162623087
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,23.041663976816032
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,134.42351862589518
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,19.75489365713937
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,251.1354047335111
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,58.821166645396836
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,28.322270257132395
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,102.9814200768104
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,20.111773363749187
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,104.82382011413574
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,19.661230520768598
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,9.468063647930439
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,77.94262765955042
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,2.6421756995351693
resnet18_no_weights,CIFAR10,PTQ,fc.weight,4.325547329310713
resnet18_no_weights,CIFAR10,QAT,conv1.weight,112.45737838745117
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,43.476309061050415
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,27.960940861701964
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,176.2860731237075
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,20.172381533516777
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1.weight,121.57771277427673
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2.weight,25.315862791878835
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0.weight,14.573724576405116
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1.weight,86.100280638664
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2.weight,11.262773354848227
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,151.7445743702076
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,41.07765463778847
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,17.79926428301581
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,66.62996902465821
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,13.37340559065342
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,58.386617846605255
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,12.813797616958619
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,6.077285557985306
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,58.795301379579485
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,2.137415112675847
resnet18_no_weights,CIFAR10,QAT,fc.weight,2.0886221826076508
resnet50_no_weights,CIFAR10,FP32,conv1.weight,16.271800588159
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,3.998845670066896
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,4.4096690773963925
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv3.weight,2.410613715648651
resnet50_no_weights,CIFAR10,FP32,layer1.0.downsample.0.weight,18.892626020643448
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,2.191071925063928
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,3.1765500020980837
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv3.weight,2.2894598760388116
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv1.weight,4.367840491808378
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv2.weight,8.808550999082367
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv3.weight,6.625641766716452
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,14.399195728879986
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,27.419955018540502
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv3.weight,26.03701889514923
resnet50_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,33.47721213764615
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,3.7816521571232724
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,6.8594160079956055
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv3.weight,8.151765823364258
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv1.weight,5.990711847941081
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv2.weight,8.77782358293948
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv3.weight,7.574225902557373
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv1.weight,5.3972120101635275
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv2.weight,15.067711611588797
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv3.weight,9.178504687983816
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,44.966873486836754
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,33.28448534011841
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv3.weight,29.312755369370983
resnet50_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,43.53705180775035
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,9.116899967193604
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,22.35108385859309
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv3.weight,12.872954096112933
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv1.weight,12.481038236618042
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv2.weight,24.80327214135064
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv3.weight,13.17433302576949
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv1.weight,18.015183226267496
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv2.weight,39.194724559783936
