model,dataset,stage,layer,eigenvalue
cnn,CIFAR10,FP32,conv1.weight,9.995118141174316
cnn,CIFAR10,FP32,conv2.weight,24.767383575439453
cnn,CIFAR10,FP32,conv3.weight,24.485158920288086
cnn,CIFAR10,FP32,conv4.weight,7.107372283935547
cnn,CIFAR10,FP32,fc1.weight,0.897610068321228
cnn,CIFAR10,FP32,fc2.weight,0.7134448289871216
cnn,CIFAR10,PTQ,conv1.weight,73.049072265625
cnn,CIFAR10,PTQ,conv2.weight,157.55462646484375
cnn,CIFAR10,PTQ,conv3.weight,56.498146057128906
cnn,CIFAR10,PTQ,conv4.weight,2.6284019947052
cnn,CIFAR10,PTQ,fc1.weight,1.5283604860305786
cnn,CIFAR10,PTQ,fc2.weight,0.8750778436660767
cnn,CIFAR10,QAT,conv1.weight,53.75605010986328
cnn,CIFAR10,QAT,conv2.weight,85.4111099243164
cnn,CIFAR10,QAT,conv3.weight,28.80900764465332
cnn,CIFAR10,QAT,conv4.weight,1.1905345916748047
cnn,CIFAR10,QAT,fc1.weight,0.9408580660820007
cnn,CIFAR10,QAT,fc2.weight,0.7975861430168152
resnet18_no_weights,CIFAR10,FP32,conv1.weight,5.137746810913086
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,9.888360977172852
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,13.242502212524414
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,20.308547973632812
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,6.825572490692139
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,10.290580749511719
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,9.638191223144531
resnet18_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,6.787071228027344
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,6.759395122528076
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,4.753576278686523
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,8.323678970336914
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,10.865494728088379
resnet18_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,3.9919488430023193
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,8.120576858520508
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,5.61425256729126
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,5.3431854248046875
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,5.38447380065918
resnet18_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,2.8002946376800537
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,5.267411231994629
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,1.9840644598007202
resnet18_no_weights,CIFAR10,FP32,fc.weight,0.6674321889877319
resnet18_no_weights,CIFAR10,PTQ,conv1.weight,31.60000228881836
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,13.203206062316895
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,12.974981307983398
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,96.06722259521484
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,7.900847434997559
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,29.99222183227539
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,5.066072463989258
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,3.4245619773864746
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,16.572315216064453
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,2.561825752258301
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,27.437118530273438
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,5.791853904724121
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,3.1040852069854736
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,9.440435409545898
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,2.049065113067627
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,7.844838619232178
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,1.9439125061035156
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,0.9062008261680603
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,8.880182266235352
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,0.32246533036231995
resnet18_no_weights,CIFAR10,PTQ,fc.weight,0.638028085231781
resnet18_no_weights,CIFAR10,QAT,conv1.weight,27.304302215576172
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,8.29800033569336
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,9.126516342163086
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,45.854156494140625
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,4.7231879234313965
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1.weight,20.734243392944336
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2.weight,3.458716630935669
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0.weight,2.521671772003174
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1.weight,11.899450302124023
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2.weight,1.9699156284332275
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,25.994338989257812
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,6.008652210235596
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,3.2869749069213867
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,9.919536590576172
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,2.185168743133545
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,8.500864028930664
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,2.5428543090820312
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,0.9386269450187683
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,9.672102928161621
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,0.32653969526290894
resnet18_no_weights,CIFAR10,QAT,fc.weight,0.5749547481536865
resnet50_no_weights,CIFAR10,FP32,conv1.weight,4.182430267333984
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,1.9577199220657349
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,2.1465418338775635
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv3.weight,0.6373635530471802
resnet50_no_weights,CIFAR10,FP32,layer1.0.downsample.0.weight,4.526665210723877
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,0.892943263053894
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,1.0273336172103882
resnet50_no_weights,CIFAR10,FP32,layer1.1.conv3.weight,0.5940080881118774
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv1.weight,1.7067911624908447
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv2.weight,4.357726573944092
resnet50_no_weights,CIFAR10,FP32,layer1.2.conv3.weight,2.0309813022613525
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,6.666284084320068
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,9.95867919921875
resnet50_no_weights,CIFAR10,FP32,layer2.0.conv3.weight,8.239182472229004
resnet50_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,8.818891525268555
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,1.011733055114746
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,2.188722848892212
resnet50_no_weights,CIFAR10,FP32,layer2.1.conv3.weight,2.1476171016693115
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv1.weight,1.4578248262405396
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv2.weight,2.032621383666992
resnet50_no_weights,CIFAR10,FP32,layer2.2.conv3.weight,1.4695665836334229
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv1.weight,1.4807158708572388
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv2.weight,3.8978748321533203
resnet50_no_weights,CIFAR10,FP32,layer2.3.conv3.weight,1.8261704444885254
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,11.592905044555664
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,6.705021858215332
resnet50_no_weights,CIFAR10,FP32,layer3.0.conv3.weight,4.418852806091309
resnet50_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,6.22791862487793
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,1.5012023448944092
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,2.798196315765381
resnet50_no_weights,CIFAR10,FP32,layer3.1.conv3.weight,2.0279972553253174
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv1.weight,2.0431787967681885
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv2.weight,2.9036002159118652
resnet50_no_weights,CIFAR10,FP32,layer3.2.conv3.weight,1.7358243465423584
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv1.weight,2.8263306617736816
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv2.weight,4.8570661544799805
resnet50_no_weights,CIFAR10,FP32,layer3.3.conv3.weight,2.319448947906494
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv1.weight,3.3259811401367188
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv2.weight,5.156562328338623
resnet50_no_weights,CIFAR10,FP32,layer3.4.conv3.weight,2.8701720237731934
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv1.weight,5.526637077331543
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv2.weight,3.141516923904419
resnet50_no_weights,CIFAR10,FP32,layer3.5.conv3.weight,1.0370874404907227
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,6.448220252990723
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,2.4851489067077637
resnet50_no_weights,CIFAR10,FP32,layer4.0.conv3.weight,1.3885136842727661
resnet50_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,4.4547119140625
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,2.973666191101074
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,5.878284454345703
resnet50_no_weights,CIFAR10,FP32,layer4.1.conv3.weight,2.1377007961273193
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv1.weight,2.839385509490967
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv2.weight,1.509838342666626
resnet50_no_weights,CIFAR10,FP32,layer4.2.conv3.weight,0.6417173147201538
resnet50_no_weights,CIFAR10,FP32,fc.weight,0.7884178161621094
resnet50_no_weights,CIFAR10,PTQ,conv1.weight,1393.290771484375
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,9.443614959716797
