model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,42,conv1,conv1,"(64, 3, 3, 3)",14.139912585417429,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,conv1,conv1,"(64, 3, 3, 3)",13.2882023027965,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,conv1,conv1,"(64, 3, 3, 3)",16.35560041003757,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",conv1,conv1,"(64, 3, 3, 3)",14.594571766083833,aggregate,3,1.5834358259808667
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",3.5511611323607597,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",4.791814982891083,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",4.06581972195552,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",4.136265279069121,aggregate,3,0.6233196825038606
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",4.2610045180601235,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",4.193192092995894,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",3.3185694879955716,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",3.92425536635053,aggregate,3,0.5256340634673858
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",2.977858986173357,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",2.777326354613671,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",2.8516866435175356,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",2.868957328101521,aggregate,3,0.1013757440888246
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",19.757224082946777,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",15.814886591651224,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",16.269524657207988,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",17.280545110601995,aggregate,3,2.1568792251084434
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",2.6021363638168156,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",2.297819438970314,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",2.8359072625637056,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",2.578621021783612,aggregate,3,0.26981355591977246
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",3.508905839920044,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",3.528678166238885,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",3.2650647849747627,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",3.434216263711231,aggregate,3,0.14682269337900392
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",2.41602667093277,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",2.373205954658574,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",2.6052555624319584,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",2.4648293960077674,aggregate,3,0.12348293241579883
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",4.755393317010667,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",4.536699587390537,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",4.847277879714966,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",4.71312359470539,aggregate,3,0.15954549816153882
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",13.134920156002044,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",12.882980012893677,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",12.221426782936886,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",12.746442317277536,aggregate,3,0.47180445356271766
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",5.1393742055603955,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",5.538467748959859,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",5.343284469842911,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",5.340375474787722,aggregate,3,0.19956267382694154
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",17.233585410647922,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",13.190627119757913,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",13.198736381530761,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",14.540982970645532,aggregate,3,2.3318656404179348
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",27.206237651683665,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",29.390762329101562,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",30.301896003576424,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",28.966298661453884,aggregate,3,1.5908809546209097
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",27.33037330165054,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",27.90734718243281,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",28.418352270779543,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",27.8853575849543,aggregate,3,0.5443227132085368
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",33.5867650440761,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",31.94202885260949,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",25.510972023010254,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",30.346588639898616,aggregate,3,4.267748860233596
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",3.5460863944255943,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",3.174165734877953,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",2.9548681463514055,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",3.2250400918849844,aggregate,3,0.2988743956324084
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",8.542967345979479,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",6.897857798470391,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",8.146144323050976,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",7.862323155833615,aggregate,3,0.8584941450277092
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",9.498174927451394,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",9.809371762805515,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",8.289721416704582,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",9.199089368987163,aggregate,3,0.8027598782092731
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",4.706345740486594,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",4.671743132851341,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",4.458788299560547,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",4.612292390966161,aggregate,3,0.13405955643849854
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",9.03555188860212,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",8.208148980140686,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",7.620221366273596,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",8.2879740783388,aggregate,3,0.7110338645841257
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",7.448927359147505,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",8.074073276004276,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",8.11024776581795,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",7.87774946698991,aggregate,3,0.37181103878061855
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",5.353548521219298,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",5.71238374710083,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",6.993871026568943,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",6.01993443162969,aggregate,3,0.8623253724985495
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",15.506797278368914,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",17.80392775932948,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",14.39902034827641,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",15.903248461991602,aggregate,3,1.736729332742411
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",8.07066777996395,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",8.62080649137497,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",7.638727642240978,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",8.110067304526632,aggregate,3,0.49222348418265277
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",49.8258723234519,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",43.295939445495605,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",47.44228721877276,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",46.854699662573424,aggregate,3,3.304383482558262
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",34.815407462742016,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",40.148930875878584,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",42.71753394894483,44,3,
