model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,42.071197509765625,1.826059872200858e-07,1.5581925003616899,3.1702428336820454e-10,4.939848607768755e-10,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,39.1317138671875,1.6839911154420406e-07,1.4493227358217593,2.9235956865313206e-10,4.2372336988402683e-10,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,38.804786682128906,1.4058211661449604e-07,1.43721432156033,2.440661746779445e-10,3.50775401655587e-10,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,40.00256601969401,1.6386240512626196e-07,1.4815765192479264,2.844833422330937e-10,4.214838399697236e-10,0.008445932735002219,aggregate,3,1.7989295504186693
resnet50_no_weights,CIFAR10,fp32_unfused,fc,35.45174789428711,4.8527403123443946e-05,0.017310423776507378,4.852740312344395e-06,8.400299128402225e-08,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,fc,34.366207122802734,5.0846789235947654e-05,0.016780374571681023,5.084678923594765e-06,8.532281691465203e-08,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,fc,34.0424919128418,5.588979911408387e-05,0.016622310504317284,5.5889799114083875e-06,9.290175948982191e-08,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,fc,34.62014897664388,5.175466382449182e-05,0.016904369617501896,5.1754663824491825e-06,8.74879966718764e-08,0.0002592793591439505,aggregate,3,0.738150021444866
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,4.6785454750061035,7.693802217545453e-08,0.07310227304697037,1.202156596491477e-09,8.788037976193654e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,4.2867631912231445,6.965272092429586e-08,0.06698067486286163,1.0883237644421229e-09,7.289666021162344e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,4.488983154296875,6.339357838669457e-08,0.07014036178588867,9.905246622921027e-10,6.947575817101328e-11,,44,3,
