model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts,abs_weight_damage_pts
resnet18_no_weights,CIFAR10,PTQ,conv1,247.41547752286792,0.20959454774856567,0.00012129314105819773,51.856935117400916,84.69,83.79,0.8999999999999915,0.8999999999999915
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,105.36970042598728,0.7561405897140503,2.051162624007298e-05,79.67430741809883,84.69,84.94,-0.25,0.25
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,64.33528982310489,1.736379623413086,4.710231183303727e-05,111.71048631521461,84.69,84.81,-0.12000000000000455,0.12000000000000455
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,396.7097850890387,0.41718894243240356,1.1316974349837336e-05,165.50293569388216,84.69,84.45,0.23999999999999488,0.23999999999999488
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,40.80587697128091,2.053152084350586,5.569531478815609e-05,83.78067135733897,84.69,84.36,0.3299999999999983,0.3299999999999983
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,236.88587116929412,0.5564993619918823,7.548005669377744e-06,131.8268361706034,84.69,84.63,0.060000000000002274,0.060000000000002274
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,44.38327185961238,4.71184778213501,3.195426284542514e-05,209.12722107560978,84.69,84.48,0.20999999999999375,0.20999999999999375
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,24.143539185246464,1.8216651678085327,0.00022237123630475253,43.981444361383886,84.69,84.27,0.4200000000000017,0.4200000000000017
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,156.92895220354853,1.1596461534500122,7.864353796725885e-06,181.98205578778587,84.69,84.47,0.21999999999999886,0.21999999999999886
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,23.06145421208376,4.910769939422607,3.330329006227354e-05,113.2494961040718,84.69,84.7,-0.010000000000005116,0.010000000000005116
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,300.2291546157926,1.6147408485412598,5.475331110776298e-06,484.79227988113,84.69,84.57,0.12000000000000455,0.12000000000000455
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,66.00660384592383,10.003969192504883,1.696093952179783e-05,660.3280313764964,84.69,84.77,-0.0799999999999983,0.0799999999999983
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,31.01494527264829,1.705434799194336,5.2045739721506834e-05,52.893966963082256,84.69,84.52,0.1700000000000017,0.1700000000000017
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,117.9819197009686,4.302940368652344,7.2952954926424554e-06,507.66916505239703,84.69,84.58,0.10999999999999943,0.10999999999999943
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,19.296141915036063,11.071906089782715,1.8771542171533736e-05,213.6450711783993,84.69,84.64,0.04999999999999716,0.04999999999999716
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,107.72927754568676,5.048211097717285,4.27942157127998e-06,543.8401344552015,84.69,84.47,0.21999999999999886,0.21999999999999886
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,21.578959781437437,14.926603317260742,6.326719206602623e-06,322.10057265664017,84.69,84.71,-0.01999999999999602,0.01999999999999602
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,9.37683785607455,6.02484130859375,4.596589133143425e-05,56.49396005926361,84.69,84.63,0.060000000000002274,0.060000000000002274
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,86.64958264844562,10.315802574157715,4.372407096929641e-06,893.859987734527,84.69,84.64,0.04999999999999716,0.04999999999999716
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,3.06770067593408,15.525242805480957,6.580455697581379e-06,47.62679784841465,84.69,84.71,-0.01999999999999602,0.01999999999999602
resnet18_no_weights,CIFAR10,PTQ,fc,4.356827865441965,1.96467125415802,0.0003837248543277383,8.559734466548475,84.69,84.96,-0.269999999999996,0.269999999999996
resnet50_no_weights,CIFAR10,PTQ,conv1,200.5353348030084,0.12864458560943604,7.444709815360882e-05,25.797785045782533,80.56,78.94,1.6200000000000045,1.6200000000000045
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1,3.5821378570374907,0.8298072218894958,0.0002025896537816152,2.9724838635734723,80.56,80.52,0.04000000000000625,0.04000000000000625
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,6.775178683853425,0.5863714218139648,1.5906342822644445e-05,3.9727711578947997,80.56,80.59,-0.030000000000001137,0.030000000000001137
