epoch,total_s,train_s,val_s
1,3.908,3.077,0.831
2,3.828,2.996,0.831
3,3.538,2.707,0.831
4,3.764,2.917,0.847
5,3.547,2.727,0.82
6,3.866,3.024,0.842
7,3.767,2.923,0.843
8,3.663,2.827,0.837
9,4.01,3.18,0.831
10,3.826,2.992,0.834
11,3.778,2.974,0.804
12,3.84,3.014,0.827
13,3.693,2.843,0.85
14,3.638,2.792,0.846
15,3.661,2.826,0.835
16,3.845,2.996,0.849
17,3.997,3.162,0.835
18,3.556,2.769,0.788
19,3.382,2.603,0.779
20,3.601,2.81,0.791
21,3.567,2.768,0.799
22,3.587,2.799,0.787
23,3.417,2.638,0.78
24,3.436,2.652,0.784
25,3.513,2.733,0.78
26,3.348,2.554,0.794
27,3.658,2.875,0.783
28,3.353,2.576,0.777
29,3.428,2.641,0.788
30,3.415,2.637,0.778
31,3.355,2.568,0.787
