epoch,total_s,train_s,val_s
1,191.326,181.674,9.653
2,184.735,177.585,7.15
3,181.876,174.643,7.232
4,180.674,173.504,7.17
5,180.855,173.526,7.329
6,181.071,173.741,7.329
7,180.497,173.265,7.232
8,181.155,173.738,7.416
9,180.518,173.314,7.204
10,180.69,173.449,7.241
11,182.555,175.094,7.462
12,184.194,176.81,7.383
13,180.599,173.292,7.306
14,180.496,173.285,7.211
15,180.386,173.231,7.155
16,180.622,173.247,7.375
17,180.826,173.613,7.213
18,179.705,172.434,7.271
19,180.661,173.398,7.263
20,179.979,172.789,7.19
21,180.487,173.206,7.281
22,180.183,172.951,7.232
23,180.39,173.116,7.275
24,179.587,172.377,7.21
25,180.695,173.335,7.36
26,180.537,173.221,7.316
27,179.951,172.655,7.296
28,180.992,173.624,7.368
29,181.249,173.82,7.429
30,180.847,173.507,7.34
31,180.707,173.394,7.314
32,180.223,172.958,7.265
33,180.608,173.366,7.242
34,180.24,172.904,7.336
35,180.645,173.304,7.342
36,180.421,173.214,7.207
37,181.831,174.263,7.568
38,185.458,177.438,8.02
39,188.864,180.637,8.226
40,190.791,182.787,8.004
41,186.046,178.533,7.513
42,189.748,182.067,7.681
43,189.258,181.11,8.147
44,190.978,182.666,8.312
45,189.827,182.382,7.445
46,186.494,178.227,8.267
47,190.275,182.061,8.214
48,189.702,181.606,8.096
49,184.555,176.867,7.688
50,185.701,178.081,7.62
51,185.159,177.466,7.692
52,185.169,177.183,7.986
53,185.105,177.375,7.73
54,184.855,177.122,7.733
55,185.253,177.434,7.819
56,184.989,177.291,7.697
57,185.779,178.009,7.77
58,184.46,176.743,7.717
59,184.765,177.199,7.566
60,184.837,176.996,7.842
61,183.491,176.048,7.443
62,180.906,173.693,7.213
63,180.555,173.304,7.251
64,180.869,173.463,7.407
65,180.354,173.135,7.22
66,180.731,173.465,7.267
67,180.874,173.478,7.396
68,181.131,173.765,7.366
69,181.062,173.641,7.421
70,181.157,173.816,7.342
71,180.542,173.209,7.333
72,180.412,172.958,7.455
73,180.725,173.392,7.332
74,180.257,173.058,7.2
75,180.655,173.302,7.352
76,180.337,172.995,7.342
77,180.851,173.582,7.269
78,181.617,174.164,7.452
79,184.839,177.375,7.464
80,183.068,175.524,7.544
81,183.498,176.013,7.484
82,183.059,175.6,7.459
83,183.708,176.343,7.365
84,184.352,176.946,7.406
85,183.099,175.68,7.419
86,185.2,177.774,7.426
87,183.365,175.921,7.444
88,183.519,176.063,7.456
89,183.423,175.906,7.517
90,183.105,175.749,7.356
91,184.995,177.482,7.513
92,184.246,176.752,7.494
93,182.125,174.625,7.5
94,182.473,174.979,7.494
95,183.283,175.719,7.564
96,185.102,177.562,7.54
97,183.116,175.621,7.495
98,183.147,175.599,7.548
99,182.826,175.321,7.506
100,183.246,175.671,7.576
101,184.537,176.994,7.543
102,184.006,176.554,7.451
103,183.921,176.42,7.501
104,185.457,178.049,7.408
105,183.833,176.428,7.405
106,184.05,176.629,7.421
107,183.183,175.605,7.578
108,183.672,176.146,7.526
109,183.084,175.693,7.391
110,183.738,176.382,7.356
111,182.99,175.665,7.325
112,186.135,178.76,7.376
113,182.651,175.269,7.381
114,184.906,177.413,7.493
115,184.255,176.683,7.573
116,184.403,176.919,7.484
117,183.188,175.809,7.379
118,184.572,177.171,7.401
119,185.008,177.622,7.385
120,183.455,175.894,7.561
121,183.329,175.842,7.487
122,184.75,177.28,7.47
123,184.588,177.228,7.359
124,181.151,173.814,7.337
125,180.436,173.066,7.37
126,180.491,173.201,7.289
127,181.044,173.611,7.433
128,180.778,173.506,7.272
129,180.78,173.345,7.435
130,180.107,172.823,7.283
131,181.503,174.102,7.401
132,181.805,174.488,7.317
133,181.044,173.711,7.333
134,180.871,173.586,7.286
135,181.869,174.549,7.319
136,181.708,174.271,7.437
137,183.755,176.417,7.338
138,185.957,178.515,7.442
139,184.755,176.86,7.896
140,186.132,178.095,8.036
141,186.681,178.614,8.067
142,185.406,177.444,7.962
143,185.53,177.701,7.829
144,186.206,178.365,7.842
145,184.876,177.094,7.782
146,185.625,177.708,7.917
147,185.736,177.811,7.926
148,186.191,178.21,7.981
149,185.096,177.172,7.924
150,186.294,178.401,7.894
151,186.437,178.517,7.92
152,185.277,177.449,7.828
153,185.342,177.667,7.675
