model,dataset,stage,excluded_layer,selection,excluded_trace,fp32_acc,all_quantized_acc,ablated_acc,recovery_pts,fraction_of_fp32_recovered,excluded_layer_still_fp32,other_layers_quantized
cnn,IMAGENET100,PTQ,,none,,14.72,14.38,14.38,0.0,0.0,,True
cnn,IMAGENET100,PTQ,conv2,top_trace,3580.823155721029,14.72,14.38,14.62,0.23999999999999844,0.7058823529411722,True,True
cnn,IMAGENET100,PTQ,conv3,top_trace,1363.9590928819443,14.72,14.38,14.32,-0.0600000000000005,-0.17647058823529566,True,True
cnn,IMAGENET100,PTQ,conv1,top_trace,892.1692968297888,14.72,14.38,14.42,0.03999999999999915,0.11764705882352695,True,True
cnn,IMAGENET100,PTQ,conv4,low_trace,12.926668127377829,14.72,14.38,14.5,0.11999999999999922,0.3529411764705861,True,True
cnn,IMAGENET100,PTQ,fc2,low_trace,156.0969034830729,14.72,14.38,14.32,-0.0600000000000005,-0.17647058823529566,True,True
cnn,IMAGENET100,PTQ,fc1,low_trace,255.50983344184027,14.72,14.38,14.4,0.019999999999999574,0.05882352941176348,True,True
cnn,IMAGENET100,QAT,,none,,55.76,54.82,54.82,0.0,0.0,,True
cnn,IMAGENET100,QAT,conv2,top_trace,1693.2478201729912,55.76,54.82,54.56,-0.259999999999998,-0.27659574468084963,True,True
cnn,IMAGENET100,QAT,conv3,top_trace,1076.7023204456675,55.76,54.82,54.3,-0.5200000000000031,-0.5531914893617068,True,True
cnn,IMAGENET100,QAT,conv1,top_trace,174.6353905995687,55.76,54.82,54.84,0.020000000000003126,0.02127659574468423,True,True
cnn,IMAGENET100,QAT,conv4,low_trace,7.123477458953857,55.76,54.82,55.12,0.29999999999999716,0.3191489361702105,True,True
cnn,IMAGENET100,QAT,fc1,low_trace,98.8853874206543,55.76,54.82,54.96,0.14000000000000057,0.14893617021276692,True,True
cnn,IMAGENET100,QAT,fc2,low_trace,103.80559794108072,55.76,54.82,54.96,0.14000000000000057,0.14893617021276692,True,True
resnet18_no_weights,IMAGENET100,PTQ,,none,,70.32,70.36,70.36,0.0,0.0,,True
resnet18_no_weights,IMAGENET100,PTQ,conv1,top_trace,9801.699576822915,70.32,70.36,70.08,-0.28000000000000114,6.999999999998934,True,True
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv1,top_trace,4217.743769106658,70.32,70.36,70.2,-0.1599999999999966,3.9999999999992895,True,True
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv1,top_trace,2078.1995646158853,70.32,70.36,70.3,-0.060000000000002274,1.4999999999998224,True,True
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv2,low_trace,0.9650510477297234,70.32,70.36,70.24,-0.12000000000000455,2.9999999999996447,True,True
resnet18_no_weights,IMAGENET100,PTQ,fc,low_trace,48.08447976545854,70.32,70.36,70.2,-0.1599999999999966,3.9999999999992895,True,True
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv2,low_trace,81.50067943996854,70.32,70.36,70.28,-0.0799999999999983,1.9999999999996447,True,True
resnet18_no_weights,IMAGENET100,QAT,,none,,82.74,82.82,82.82,0.0,0.0,,True
resnet18_no_weights,IMAGENET100,QAT,conv1,top_trace,4421.826372612847,82.74,82.82,82.42,-0.3999999999999915,5.0,True,True
resnet18_no_weights,IMAGENET100,QAT,layer2.0.conv1,top_trace,2691.868573869978,82.74,82.82,82.68,-0.13999999999998636,1.7499999999998668,True,True
resnet18_no_weights,IMAGENET100,QAT,layer1.0.conv1,top_trace,893.9589164040306,82.74,82.82,82.46,-0.35999999999999943,4.500000000000089,True,True
resnet18_no_weights,IMAGENET100,QAT,layer4.1.conv2,low_trace,0.8187160074710846,82.74,82.82,82.68,-0.13999999999998636,1.7499999999998668,True,True
resnet18_no_weights,IMAGENET100,QAT,fc,low_trace,40.09738437946026,82.74,82.82,82.6,-0.21999999999999886,2.7500000000000444,True,True
resnet18_no_weights,IMAGENET100,QAT,layer3.0.downsample.0,low_trace,52.05649337768555,82.74,82.82,82.78,-0.03999999999999204,0.4999999999999112,True,True
resnet50_no_weights,IMAGENET100,PTQ,,none,,71.38,69.38,69.38,0.0,0.0,,True
resnet50_no_weights,IMAGENET100,PTQ,conv1,top_trace,9932.312415489783,71.38,69.38,69.68,0.30000000000001137,0.15000000000000568,True,True
resnet50_no_weights,IMAGENET100,PTQ,layer4.0.conv3,top_trace,1019.3840637207032,71.38,69.38,69.68,0.30000000000001137,0.15000000000000568,True,True
resnet50_no_weights,IMAGENET100,PTQ,layer4.1.conv3,top_trace,592.2227535247803,71.38,69.38,70.06,0.6800000000000068,0.3400000000000034,True,True
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv2,low_trace,2.3392272032224213,71.38,69.38,69.24,-0.14000000000000057,-0.07000000000000028,True,True
resnet50_no_weights,IMAGENET100,PTQ,layer1.2.conv3,low_trace,5.171722200783816,71.38,69.38,69.48,0.10000000000000853,0.05000000000000426,True,True
resnet50_no_weights,IMAGENET100,PTQ,layer1.1.conv2,low_trace,5.938470417802984,71.38,69.38,70.56,1.1800000000000068,0.5900000000000034,True,True
resnet50_no_weights,IMAGENET100,QAT,,none,,83.88,83.74,83.74,0.0,0.0,,True
resnet50_no_weights,IMAGENET100,QAT,conv1,top_trace,4373.5634923135085,83.88,83.74,83.88,0.14000000000000057,1.0,True,True
resnet50_no_weights,IMAGENET100,QAT,layer4.0.conv3,top_trace,265.0955456820401,83.88,83.74,83.7,-0.03999999999999204,-0.2857142857142277,True,True
resnet50_no_weights,IMAGENET100,QAT,layer4.1.conv3,top_trace,181.30707041422525,83.88,83.74,83.9,0.1600000000000108,1.1428571428572154,True,True
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv2,low_trace,0.4492544206598448,83.88,83.74,83.7,-0.03999999999999204,-0.2857142857142277,True,True
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv3,low_trace,1.131456693013509,83.88,83.74,83.62,-0.11999999999999034,-0.8571428571427846,True,True
resnet50_no_weights,IMAGENET100,QAT,layer1.2.conv1,low_trace,1.7142314396121283,83.88,83.74,83.72,-0.01999999999999602,-0.14285714285711384,True,True
