model,dataset,layer,layer_type,fan_in,fan_out,kh,kw,input_map,output_map,numel
resnet50_no_weights,IMAGENET100,conv1,conv,147,3136,7,7,50176,12544,9408
resnet50_no_weights,IMAGENET100,layer1.0.conv1,conv,64,64,1,1,3136,3136,4096
resnet50_no_weights,IMAGENET100,layer1.0.conv2,conv,576,576,3,3,3136,3136,36864
resnet50_no_weights,IMAGENET100,layer1.0.conv3,conv,64,256,1,1,3136,3136,16384
resnet50_no_weights,IMAGENET100,layer1.0.downsample.0,conv,64,256,1,1,3136,3136,16384
resnet50_no_weights,IMAGENET100,layer1.1.conv1,conv,256,64,1,1,3136,3136,16384
resnet50_no_weights,IMAGENET100,layer1.1.conv2,conv,576,576,3,3,3136,3136,36864
resnet50_no_weights,IMAGENET100,layer1.1.conv3,conv,64,256,1,1,3136,3136,16384
resnet50_no_weights,IMAGENET100,layer1.2.conv1,conv,256,64,1,1,3136,3136,16384
resnet50_no_weights,IMAGENET100,layer1.2.conv2,conv,576,576,3,3,3136,3136,36864
resnet50_no_weights,IMAGENET100,layer1.2.conv3,conv,64,256,1,1,3136,3136,16384
resnet50_no_weights,IMAGENET100,layer2.0.conv1,conv,256,128,1,1,3136,3136,32768
resnet50_no_weights,IMAGENET100,layer2.0.conv2,conv,1152,1152,3,3,3136,784,147456
resnet50_no_weights,IMAGENET100,layer2.0.conv3,conv,128,512,1,1,784,784,65536
resnet50_no_weights,IMAGENET100,layer2.0.downsample.0,conv,256,512,1,1,3136,784,131072
resnet50_no_weights,IMAGENET100,layer2.1.conv1,conv,512,128,1,1,784,784,65536
resnet50_no_weights,IMAGENET100,layer2.1.conv2,conv,1152,1152,3,3,784,784,147456
resnet50_no_weights,IMAGENET100,layer2.1.conv3,conv,128,512,1,1,784,784,65536
resnet50_no_weights,IMAGENET100,layer2.2.conv1,conv,512,128,1,1,784,784,65536
resnet50_no_weights,IMAGENET100,layer2.2.conv2,conv,1152,1152,3,3,784,784,147456
resnet50_no_weights,IMAGENET100,layer2.2.conv3,conv,128,512,1,1,784,784,65536
resnet50_no_weights,IMAGENET100,layer2.3.conv1,conv,512,128,1,1,784,784,65536
resnet50_no_weights,IMAGENET100,layer2.3.conv2,conv,1152,1152,3,3,784,784,147456
resnet50_no_weights,IMAGENET100,layer2.3.conv3,conv,128,512,1,1,784,784,65536
resnet50_no_weights,IMAGENET100,layer3.0.conv1,conv,512,256,1,1,784,784,131072
resnet50_no_weights,IMAGENET100,layer3.0.conv2,conv,2304,2304,3,3,784,196,589824
resnet50_no_weights,IMAGENET100,layer3.0.conv3,conv,256,1024,1,1,196,196,262144
resnet50_no_weights,IMAGENET100,layer3.0.downsample.0,conv,512,1024,1,1,784,196,524288
resnet50_no_weights,IMAGENET100,layer3.1.conv1,conv,1024,256,1,1,196,196,262144
resnet50_no_weights,IMAGENET100,layer3.1.conv2,conv,2304,2304,3,3,196,196,589824
resnet50_no_weights,IMAGENET100,layer3.1.conv3,conv,256,1024,1,1,196,196,262144
resnet50_no_weights,IMAGENET100,layer3.2.conv1,conv,1024,256,1,1,196,196,262144
resnet50_no_weights,IMAGENET100,layer3.2.conv2,conv,2304,2304,3,3,196,196,589824
resnet50_no_weights,IMAGENET100,layer3.2.conv3,conv,256,1024,1,1,196,196,262144
resnet50_no_weights,IMAGENET100,layer3.3.conv1,conv,1024,256,1,1,196,196,262144
resnet50_no_weights,IMAGENET100,layer3.3.conv2,conv,2304,2304,3,3,196,196,589824
resnet50_no_weights,IMAGENET100,layer3.3.conv3,conv,256,1024,1,1,196,196,262144
resnet50_no_weights,IMAGENET100,layer3.4.conv1,conv,1024,256,1,1,196,196,262144
resnet50_no_weights,IMAGENET100,layer3.4.conv2,conv,2304,2304,3,3,196,196,589824
resnet50_no_weights,IMAGENET100,layer3.4.conv3,conv,256,1024,1,1,196,196,262144
resnet50_no_weights,IMAGENET100,layer3.5.conv1,conv,1024,256,1,1,196,196,262144
resnet50_no_weights,IMAGENET100,layer3.5.conv2,conv,2304,2304,3,3,196,196,589824
resnet50_no_weights,IMAGENET100,layer3.5.conv3,conv,256,1024,1,1,196,196,262144
resnet50_no_weights,IMAGENET100,layer4.0.conv1,conv,1024,512,1,1,196,196,524288
resnet50_no_weights,IMAGENET100,layer4.0.conv2,conv,4608,4608,3,3,196,49,2359296
resnet50_no_weights,IMAGENET100,layer4.0.conv3,conv,512,2048,1,1,49,49,1048576
resnet50_no_weights,IMAGENET100,layer4.0.downsample.0,conv,1024,2048,1,1,196,49,2097152
resnet50_no_weights,IMAGENET100,layer4.1.conv1,conv,2048,512,1,1,49,49,1048576
resnet50_no_weights,IMAGENET100,layer4.1.conv2,conv,4608,4608,3,3,49,49,2359296
resnet50_no_weights,IMAGENET100,layer4.1.conv3,conv,512,2048,1,1,49,49,1048576
resnet50_no_weights,IMAGENET100,layer4.2.conv1,conv,2048,512,1,1,49,49,1048576
resnet50_no_weights,IMAGENET100,layer4.2.conv2,conv,4608,4608,3,3,49,49,2359296
resnet50_no_weights,IMAGENET100,layer4.2.conv3,conv,512,2048,1,1,49,49,1048576
resnet50_no_weights,IMAGENET100,fc,linear,2048,100,1,1,1,1,204800
resnet18_no_weights,IMAGENET100,conv1,conv,147,3136,7,7,50176,12544,9408
resnet18_no_weights,IMAGENET100,layer1.0.conv1,conv,576,576,3,3,3136,3136,36864
resnet18_no_weights,IMAGENET100,layer1.0.conv2,conv,576,576,3,3,3136,3136,36864
resnet18_no_weights,IMAGENET100,layer1.1.conv1,conv,576,576,3,3,3136,3136,36864
resnet18_no_weights,IMAGENET100,layer1.1.conv2,conv,576,576,3,3,3136,3136,36864
resnet18_no_weights,IMAGENET100,layer2.0.conv1,conv,576,1152,3,3,3136,784,73728
resnet18_no_weights,IMAGENET100,layer2.0.conv2,conv,1152,1152,3,3,784,784,147456
resnet18_no_weights,IMAGENET100,layer2.0.downsample.0,conv,64,128,1,1,3136,784,8192
resnet18_no_weights,IMAGENET100,layer2.1.conv1,conv,1152,1152,3,3,784,784,147456
resnet18_no_weights,IMAGENET100,layer2.1.conv2,conv,1152,1152,3,3,784,784,147456
resnet18_no_weights,IMAGENET100,layer3.0.conv1,conv,1152,2304,3,3,784,196,294912
resnet18_no_weights,IMAGENET100,layer3.0.conv2,conv,2304,2304,3,3,196,196,589824
resnet18_no_weights,IMAGENET100,layer3.0.downsample.0,conv,128,256,1,1,784,196,32768
resnet18_no_weights,IMAGENET100,layer3.1.conv1,conv,2304,2304,3,3,196,196,589824
resnet18_no_weights,IMAGENET100,layer3.1.conv2,conv,2304,2304,3,3,196,196,589824
resnet18_no_weights,IMAGENET100,layer4.0.conv1,conv,2304,4608,3,3,196,49,1179648
resnet18_no_weights,IMAGENET100,layer4.0.conv2,conv,4608,4608,3,3,49,49,2359296
resnet18_no_weights,IMAGENET100,layer4.0.downsample.0,conv,256,512,1,1,196,49,131072
resnet18_no_weights,IMAGENET100,layer4.1.conv1,conv,4608,4608,3,3,49,49,2359296
resnet18_no_weights,IMAGENET100,layer4.1.conv2,conv,4608,4608,3,3,49,49,2359296
resnet18_no_weights,IMAGENET100,fc,linear,512,100,1,1,1,1,51200
cnn,IMAGENET100,conv1,conv,27,288,3,3,50176,50176,864
cnn,IMAGENET100,conv2,conv,288,576,3,3,12544,12544,18432
cnn,IMAGENET100,conv3,conv,576,1152,3,3,3136,3136,73728
cnn,IMAGENET100,conv4,conv,1152,2304,3,3,784,784,294912
cnn,IMAGENET100,fc1,linear,1024,1024,1,1,1,1,1048576
cnn,IMAGENET100,fc2,linear,1024,100,1,1,1,1,102400
