model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
cnn,IMAGENET100,PTQ,conv1,-12.632063865661621,13.74835205078125,26.38041591644287,0.10345261543989182,122,1.9231245517730713,4.000187873840332,11.646232604980469,6.055890968810597,13.717476536878907,42,3,
cnn,IMAGENET100,PTQ,conv2,-18.04637908935547,10.898640632629395,28.945019721984863,0.1135098785161972,159,1.2226808071136475,2.263279438018799,9.98192310333252,8.163964826516414,23.673406463551725,42,3,
cnn,IMAGENET100,PTQ,conv3,-17.739255905151367,10.352485656738281,28.09174156188965,0.11016369611024857,161,0.6489747166633606,1.4262964725494385,6.908651351928711,10.645486140737283,43.28634204167547,42,3,
cnn,IMAGENET100,PTQ,conv4,-12.715243339538574,45.26549530029297,57.98073863983154,0.22737544775009155,56,2.432359457015991,4.977855682373047,24.281919479370117,9.982866393094332,23.83724102644026,42,3,
cnn,IMAGENET100,PTQ,fc1,-28.84547996520996,8.470752716064453,37.316232681274414,0.14633816480636597,197,1.8287233114242554,2.8305373191833496,6.4390740394592285,3.521076151451428,20.40561983770612,42,3,
cnn,IMAGENET100,PTQ,fc2,-13.690919876098633,24.517499923706055,38.20841979980469,0.1498369425535202,91,8.989898681640625,12.820781707763672,16.53110694885254,1.8388535326446716,4.250150213353883,42,3,
cnn,IMAGENET100,PTQ,conv1,-12.632063865661621,13.74835205078125,26.38041591644287,0.10345261543989182,122,1.8559120893478394,4.088588237762451,11.754837989807129,6.333725642111494,14.214259429557815,43,3,
cnn,IMAGENET100,PTQ,conv2,-18.04637908935547,10.898640632629395,28.945019721984863,0.1135098785161972,159,1.2325875759124756,2.3084800243377686,8.04694938659668,6.528501133592542,23.48313441384242,43,3,
cnn,IMAGENET100,PTQ,conv3,-17.739255905151367,10.352485656738281,28.09174156188965,0.11016369611024857,161,0.6389490365982056,1.407968521118164,6.6873393058776855,10.466154454949008,43.96554334200328,43,3,
cnn,IMAGENET100,PTQ,conv4,-12.715243339538574,45.26549530029297,57.98073863983154,0.22737544775009155,56,2.402111291885376,5.052293300628662,23.44211196899414,9.758961646858097,24.137407303190958,43,3,
cnn,IMAGENET100,PTQ,fc1,-28.84547996520996,8.470752716064453,37.316232681274414,0.14633816480636597,197,1.770003318786621,2.9307138919830322,6.828323841094971,3.8578028462545184,21.082577803783764,43,3,
cnn,IMAGENET100,PTQ,fc2,-13.690919876098633,24.517499923706055,38.20841979980469,0.1498369425535202,91,8.46024227142334,12.062544822692871,16.7087459564209,1.9749725150140223,4.51623234583524,43,3,
cnn,IMAGENET100,PTQ,conv1,-12.632063865661621,13.74835205078125,26.38041591644287,0.10345261543989182,122,1.8802406787872314,3.9995875358581543,12.872995376586914,6.8464614779476465,14.030339952786484,44,3,
cnn,IMAGENET100,PTQ,conv2,-18.04637908935547,10.898640632629395,28.945019721984863,0.1135098785161972,159,1.223084568977356,2.2871034145355225,9.4811429977417,7.751829463165463,23.665591453080257,44,3,
cnn,IMAGENET100,PTQ,conv3,-17.739255905151367,10.352485656738281,28.09174156188965,0.11016369611024857,161,0.6462568640708923,1.385315179824829,10.128162384033203,15.67203839079406,43.46838404923785,44,3,
cnn,IMAGENET100,PTQ,conv4,-12.715243339538574,45.26549530029297,57.98073863983154,0.22737544775009155,56,2.3706016540527344,4.790063381195068,26.03464698791504,10.982295124702505,24.458237654862344,44,3,
cnn,IMAGENET100,PTQ,fc1,-28.84547996520996,8.470752716064453,37.316232681274414,0.14633816480636597,197,1.836173176765442,2.915470600128174,6.144346237182617,3.3462781805833526,20.322828561851548,44,3,
cnn,IMAGENET100,PTQ,fc2,-13.690919876098633,24.517499923706055,38.20841979980469,0.1498369425535202,91,8.704297065734863,14.41411304473877,18.976903915405273,2.1801765004217653,4.389604296734665,44,3,
cnn,IMAGENET100,PTQ,conv1,-12.632063865661621,13.74835205078125,26.38041591644287,0.10345261543989182,122,1.886425773302714,4.0294545491536455,12.091355323791504,6.412026029623246,13.98735863974107,aggregate,3,0.401059403944941
cnn,IMAGENET100,PTQ,conv2,-18.04637908935547,10.898640632629395,28.945019721984863,0.1135098785161972,159,1.2261176506678264,2.2862876256306968,9.170005162556967,7.48143180775814,23.60737744349147,aggregate,3,0.8506006946595923
cnn,IMAGENET100,PTQ,conv3,-17.739255905151367,10.352485656738281,28.09174156188965,0.11016369611024857,161,0.6447268724441528,1.4065267244974773,7.908051013946533,12.261226328826783,43.57342314430553,aggregate,3,2.955210509410119
cnn,IMAGENET100,PTQ,conv4,-12.715243339538574,45.26549530029297,57.98073863983154,0.22737544775009155,56,2.4016908009847007,4.940070788065593,24.586226145426433,10.241374388218311,24.14429532816452,aggregate,3,0.6513493587630129
