model,dataset,stage,layer,mse,sqnr
cnn,IMAGENET100,PTQ,conv1.weight,0.037282466888427734,4.711590345951287
cnn,IMAGENET100,PTQ,conv2.weight,0.0034954871516674757,5.071469944791771
cnn,IMAGENET100,PTQ,conv3.weight,0.0005924425786361098,8.346865643703925
cnn,IMAGENET100,PTQ,conv4.weight,0.002509272890165448,-5.621397554500539
cnn,IMAGENET100,PTQ,fc1.weight,2.829572986229323e-05,13.191824883449595
cnn,IMAGENET100,PTQ,fc2.weight,0.00018040070426650345,13.729286529949952
cnn,IMAGENET100,QAT,conv1.weight,0.035465057939291,4.9286300172492385
cnn,IMAGENET100,QAT,conv2.weight,0.003445845562964678,5.133588954187792
cnn,IMAGENET100,QAT,conv3.weight,0.0005947577301412821,8.329927326040512
cnn,IMAGENET100,QAT,conv4.weight,0.0025067706592381,-5.61706463687878
cnn,IMAGENET100,QAT,fc1.weight,2.838605723809451e-05,13.177983148356374
cnn,IMAGENET100,QAT,fc2.weight,0.00018198082398157567,13.691412545286056
resnet18_no_weights,IMAGENET100,PTQ,conv1.weight,0.002760831033810973,2.2279002467340736
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv1.weight,0.00011077419912908226,8.31054372028488
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv2.weight,0.0007396131404675543,-1.1363246511836045
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv1.weight,7.895488670328632e-05,8.408442900808462
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv2.weight,0.0019138340139761567,-5.941378820695374
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv1.weight,0.00012611770944204181,6.168487726544565
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv2.weight,0.000858952000271529,-3.719916344222915
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0.weight,0.0005367565900087357,5.054046123884439
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv1.weight,2.5117680706898682e-05,10.986202457941767
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv2.weight,0.0007527939160354435,-4.724790391661918
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv1.weight,2.1243145965854637e-05,11.395749126671078
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv2.weight,0.00033858732786029577,-2.0867173265608034
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.downsample.0.weight,0.00034849863732233644,1.1231930991446908
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv1.weight,9.681316441856325e-06,10.731678306602166
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv2.weight,0.00032496126368641853,-4.9726411202602145
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv1.weight,1.757725294737611e-05,9.148386647442646
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv2.weight,0.0006750591564923525,-8.186770915607662
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.downsample.0.weight,0.0006278618238866329,-3.3101730816829464
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv1.weight,8.482117118546739e-05,0.22206460032520065
