model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,42,conv1,conv1,"(64, 3, 7, 7)",75.88383038838704,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,conv1,conv1,"(64, 3, 7, 7)",67.1192497253418,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,conv1,conv1,"(64, 3, 7, 7)",78.55237576166789,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",conv1,conv1,"(64, 3, 7, 7)",73.85181862513224,aggregate,3,5.981295561593137
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",15.920694887638092,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",19.544509569803875,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",17.16161350103525,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",17.54227265282574,aggregate,3,1.8416525880446246
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",8.560781637827555,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",8.763370800018311,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",10.229649003346761,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",9.184600480397542,aggregate,3,0.910689520993871
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",13.751200755437216,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",16.07186959584554,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",14.528625323222233,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",14.78389855816833,aggregate,3,1.1812067071729717
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",26.117853212356568,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",23.149227714538576,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",21.03002691268921,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",23.43236927986145,aggregate,3,2.55570361611178
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",0.5642257352670034,42,3,
