model,dataset,init,seed,n_seeds,layer,hessian_trace
resnet50_no_weights,IMAGENET100,trained_fp32,,,conv1.weight,158.63658543636924
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.0.conv1.weight,55.9644665553652
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.0.conv2.weight,24.033788655255293
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.0.conv3.weight,36.50917779482328
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.0.downsample.0.weight,48.06941396849496
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.1.conv1.weight,1.5813298688994513
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.1.conv2.weight,23.623270695026104
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.1.conv3.weight,7.591559307915824
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.2.conv1.weight,3.3527250720394983
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.2.conv2.weight,2.5127611604038176
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.2.conv3.weight,4.020927649277907
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.0.conv1.weight,15.433822241696445
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.0.conv2.weight,96.81645143032074
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.0.conv3.weight,24.689944851155182
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.0.downsample.0.weight,57.12049491588886
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.1.conv1.weight,3.6540952920913696
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.1.conv2.weight,80.25408643834731
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.1.conv3.weight,27.12782151358468
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.2.conv1.weight,19.015419806203536
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.2.conv2.weight,58.01768862406413
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.2.conv3.weight,30.693875789642334
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.3.conv1.weight,19.523899685252797
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.3.conv2.weight,36.32998728752136
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.3.conv3.weight,19.67224658619274
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.0.conv1.weight,120.29217017965114
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.0.conv2.weight,89.21366384078046
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.0.conv3.weight,88.13477560190054
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.0.downsample.0.weight,146.94602475847518
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.1.conv1.weight,14.674401732052074
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.1.conv2.weight,43.998734305886664
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.1.conv3.weight,38.916026168399384
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.2.conv1.weight,9.121599485707838
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.2.conv2.weight,28.88214887891497
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.2.conv3.weight,23.880680765424454
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.3.conv1.weight,23.277978588553037
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.3.conv2.weight,35.25175269444784
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.3.conv3.weight,29.74540282658168
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.4.conv1.weight,31.899729410807293
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.4.conv2.weight,39.19322967529297
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.4.conv3.weight,21.272030107902758
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.5.conv1.weight,43.025864833110084
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.5.conv2.weight,82.60987175835504
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.5.conv3.weight,49.212521986527875
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.0.conv1.weight,200.62071537971497
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.0.conv2.weight,229.25977011287912
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.0.conv3.weight,185.80086103166852
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.0.downsample.0.weight,171.46085944542517
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.1.conv1.weight,78.35314464569092
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.1.conv2.weight,186.36316013336182
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.1.conv3.weight,128.89948494203628
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.2.conv1.weight,309.4935154161955
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.2.conv2.weight,239.1861980272376
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.2.conv3.weight,58.880991785149824
resnet50_no_weights,IMAGENET100,trained_fp32,,,fc.weight,9.05796314239502
resnet50_no_weights,IMAGENET100,random,42,3,conv1.weight,6.555815741073253
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.conv1.weight,0.20464583300054073
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.conv2.weight,1.7269031680547273
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.conv3.weight,0.6632451318031134
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.downsample.0.weight,1.1337562556619998
resnet50_no_weights,IMAGENET100,random,42,3,layer1.1.conv1.weight,0.22831646059498642
resnet50_no_weights,IMAGENET100,random,42,3,layer1.1.conv2.weight,2.151260268303656
resnet50_no_weights,IMAGENET100,random,42,3,layer1.1.conv3.weight,0.9312475765905073
resnet50_no_weights,IMAGENET100,random,42,3,layer1.2.conv1.weight,0.33969767540693285
resnet50_no_weights,IMAGENET100,random,42,3,layer1.2.conv2.weight,2.862805011016982
resnet50_no_weights,IMAGENET100,random,42,3,layer1.2.conv3.weight,2.0326294004917145
