model,dataset,init,seed,n_seeds,layer,hessian_trace
resnet50_no_weights,IMAGENET100,random,42,3,conv1.weight,1401.16162109375
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.conv1.weight,63.83843352577903
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.conv2.weight,235.14361572265625
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.conv3.weight,62.86108136177063
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.downsample.0.weight,113.13725344340007
resnet50_no_weights,IMAGENET100,random,42,3,layer1.1.conv1.weight,13.916928018842425
resnet50_no_weights,IMAGENET100,random,42,3,layer1.1.conv2.weight,89.19151306152344
resnet50_no_weights,IMAGENET100,random,42,3,layer1.1.conv3.weight,25.270955801010132
resnet50_no_weights,IMAGENET100,random,42,3,layer1.2.conv1.weight,7.202864851270403
resnet50_no_weights,IMAGENET100,random,42,3,layer1.2.conv2.weight,45.36715126037598
resnet50_no_weights,IMAGENET100,random,42,3,layer1.2.conv3.weight,13.88135061264038
resnet50_no_weights,IMAGENET100,random,42,3,layer2.0.conv1.weight,11.873605092366537
resnet50_no_weights,IMAGENET100,random,42,3,layer2.0.conv2.weight,62.38663387298584
resnet50_no_weights,IMAGENET100,random,42,3,layer2.0.conv3.weight,18.83396706214318
resnet50_no_weights,IMAGENET100,random,42,3,layer2.0.downsample.0.weight,35.46481704711914
resnet50_no_weights,IMAGENET100,random,42,3,layer2.1.conv1.weight,5.124076707022531
resnet50_no_weights,IMAGENET100,random,42,3,layer2.1.conv2.weight,31.574536959330242
resnet50_no_weights,IMAGENET100,random,42,3,layer2.1.conv3.weight,9.690222899119059
resnet50_no_weights,IMAGENET100,random,42,3,layer2.2.conv1.weight,3.5105558156967165
resnet50_no_weights,IMAGENET100,random,42,3,layer2.2.conv2.weight,21.131321907043457
resnet50_no_weights,IMAGENET100,random,42,3,layer2.2.conv3.weight,6.480705151191125
resnet50_no_weights,IMAGENET100,random,42,3,layer2.3.conv1.weight,2.1811537742614746
resnet50_no_weights,IMAGENET100,random,42,3,layer2.3.conv2.weight,12.215154012044271
resnet50_no_weights,IMAGENET100,random,42,3,layer2.3.conv3.weight,4.427767276763916
resnet50_no_weights,IMAGENET100,random,42,3,layer3.0.conv1.weight,4.459132385253906
resnet50_no_weights,IMAGENET100,random,42,3,layer3.0.conv2.weight,26.184977164635292
resnet50_no_weights,IMAGENET100,random,42,3,layer3.0.conv3.weight,8.004746246337891
resnet50_no_weights,IMAGENET100,random,42,3,layer3.0.downsample.0.weight,15.121807932853699
resnet50_no_weights,IMAGENET100,random,42,3,layer3.1.conv1.weight,1.9567587301135063
resnet50_no_weights,IMAGENET100,random,42,3,layer3.1.conv2.weight,14.322686195373535
resnet50_no_weights,IMAGENET100,random,42,3,layer3.1.conv3.weight,5.079182863235474
resnet50_no_weights,IMAGENET100,random,42,3,layer3.2.conv1.weight,1.6108189190135282
resnet50_no_weights,IMAGENET100,random,42,3,layer3.2.conv2.weight,10.953047434488932
resnet50_no_weights,IMAGENET100,random,42,3,layer3.2.conv3.weight,4.224358081817627
resnet50_no_weights,IMAGENET100,random,42,3,layer3.3.conv1.weight,1.1648412455211987
resnet50_no_weights,IMAGENET100,random,42,3,layer3.3.conv2.weight,8.22637865278456
resnet50_no_weights,IMAGENET100,random,42,3,layer3.3.conv3.weight,3.4920843839645386
resnet50_no_weights,IMAGENET100,random,42,3,layer3.4.conv1.weight,0.9321394132243263
resnet50_no_weights,IMAGENET100,random,42,3,layer3.4.conv2.weight,5.939757823944092
resnet50_no_weights,IMAGENET100,random,42,3,layer3.4.conv3.weight,3.198198994000753
resnet50_no_weights,IMAGENET100,random,42,3,layer3.5.conv1.weight,1.0983627029827663
resnet50_no_weights,IMAGENET100,random,42,3,layer3.5.conv2.weight,9.359463518316096
resnet50_no_weights,IMAGENET100,random,42,3,layer3.5.conv3.weight,3.327666163444519
resnet50_no_weights,IMAGENET100,random,42,3,layer4.0.conv1.weight,4.097781367923902
resnet50_no_weights,IMAGENET100,random,42,3,layer4.0.conv2.weight,34.93883154127333
resnet50_no_weights,IMAGENET100,random,42,3,layer4.0.conv3.weight,14.518562316894531
resnet50_no_weights,IMAGENET100,random,42,3,layer4.0.downsample.0.weight,28.27843831933063
resnet50_no_weights,IMAGENET100,random,42,3,layer4.1.conv1.weight,2.95980725532923
resnet50_no_weights,IMAGENET100,random,42,3,layer4.1.conv2.weight,26.407977911142204
resnet50_no_weights,IMAGENET100,random,42,3,layer4.1.conv3.weight,15.76341199874878
resnet50_no_weights,IMAGENET100,random,42,3,layer4.2.conv1.weight,3.2331701857703075
resnet50_no_weights,IMAGENET100,random,42,3,layer4.2.conv2.weight,31.103630657853753
resnet50_no_weights,IMAGENET100,random,42,3,layer4.2.conv3.weight,20.278644730063046
resnet50_no_weights,IMAGENET100,random,42,3,fc.weight,585.9486999511719
resnet50_no_weights,IMAGENET100,random,43,3,conv1.weight,1780.8566975911458
resnet50_no_weights,IMAGENET100,random,43,3,layer1.0.conv1.weight,71.8162473042806
resnet50_no_weights,IMAGENET100,random,43,3,layer1.0.conv2.weight,321.8841522216797
resnet50_no_weights,IMAGENET100,random,43,3,layer1.0.conv3.weight,101.80524624095244
resnet50_no_weights,IMAGENET100,random,43,3,layer1.0.downsample.0.weight,151.0508095877511
resnet50_no_weights,IMAGENET100,random,43,3,layer1.1.conv1.weight,21.041590917678107
resnet50_no_weights,IMAGENET100,random,43,3,layer1.1.conv2.weight,128.38065465291342
resnet50_no_weights,IMAGENET100,random,43,3,layer1.1.conv3.weight,37.67660713195801
resnet50_no_weights,IMAGENET100,random,43,3,layer1.2.conv1.weight,11.285810523562962
resnet50_no_weights,IMAGENET100,random,43,3,layer1.2.conv2.weight,57.5360599093967
resnet50_no_weights,IMAGENET100,random,43,3,layer1.2.conv3.weight,17.162824440002442
resnet50_no_weights,IMAGENET100,random,43,3,layer2.0.conv1.weight,17.95407787958781
resnet50_no_weights,IMAGENET100,random,43,3,layer2.0.conv2.weight,92.81799621582032
resnet50_no_weights,IMAGENET100,random,43,3,layer2.0.conv3.weight,29.909030532836915
resnet50_no_weights,IMAGENET100,random,43,3,layer2.0.downsample.0.weight,54.69068193435669
resnet50_no_weights,IMAGENET100,random,43,3,layer2.1.conv1.weight,8.068801381371237
resnet50_no_weights,IMAGENET100,random,43,3,layer2.1.conv2.weight,47.89976840549045
resnet50_no_weights,IMAGENET100,random,43,3,layer2.1.conv3.weight,15.42129604633038
resnet50_no_weights,IMAGENET100,random,43,3,layer2.2.conv1.weight,4.812354862689972
resnet50_no_weights,IMAGENET100,random,43,3,layer2.2.conv2.weight,28.584883429787375
resnet50_no_weights,IMAGENET100,random,43,3,layer2.2.conv3.weight,8.742885725838798
resnet50_no_weights,IMAGENET100,random,43,3,layer2.3.conv1.weight,3.1201881170272827
resnet50_no_weights,IMAGENET100,random,43,3,layer2.3.conv2.weight,18.479619392981895
resnet50_no_weights,IMAGENET100,random,43,3,layer2.3.conv3.weight,6.02209131534283
resnet50_no_weights,IMAGENET100,random,43,3,layer3.0.conv1.weight,6.38591852642241
resnet50_no_weights,IMAGENET100,random,43,3,layer3.0.conv2.weight,33.01352734035916
resnet50_no_weights,IMAGENET100,random,43,3,layer3.0.conv3.weight,11.205321592443129
resnet50_no_weights,IMAGENET100,random,43,3,layer3.0.downsample.0.weight,21.107706387837727
resnet50_no_weights,IMAGENET100,random,43,3,layer3.1.conv1.weight,3.0700050592422485
resnet50_no_weights,IMAGENET100,random,43,3,layer3.1.conv2.weight,20.22724723815918
resnet50_no_weights,IMAGENET100,random,43,3,layer3.1.conv3.weight,7.332134405771892
resnet50_no_weights,IMAGENET100,random,43,3,layer3.2.conv1.weight,1.9637690252727933
resnet50_no_weights,IMAGENET100,random,43,3,layer3.2.conv2.weight,12.616725104195732
resnet50_no_weights,IMAGENET100,random,43,3,layer3.2.conv3.weight,5.194509286146897
resnet50_no_weights,IMAGENET100,random,43,3,layer3.3.conv1.weight,1.5301436334848404
resnet50_no_weights,IMAGENET100,random,43,3,layer3.3.conv2.weight,11.457134110586983
resnet50_no_weights,IMAGENET100,random,43,3,layer3.3.conv3.weight,4.389783143997192
resnet50_no_weights,IMAGENET100,random,43,3,layer3.4.conv1.weight,1.0993762062146113
resnet50_no_weights,IMAGENET100,random,43,3,layer3.4.conv2.weight,7.842297515869141
resnet50_no_weights,IMAGENET100,random,43,3,layer3.4.conv3.weight,3.6000965436299643
resnet50_no_weights,IMAGENET100,random,43,3,layer3.5.conv1.weight,1.1264324946836992
resnet50_no_weights,IMAGENET100,random,43,3,layer3.5.conv2.weight,8.641553230285645
resnet50_no_weights,IMAGENET100,random,43,3,layer3.5.conv3.weight,3.9731765588124595
resnet50_no_weights,IMAGENET100,random,43,3,layer4.0.conv1.weight,4.5333318412303925
resnet50_no_weights,IMAGENET100,random,43,3,layer4.0.conv2.weight,36.24822425842285
resnet50_no_weights,IMAGENET100,random,43,3,layer4.0.conv3.weight,15.442497502202572
resnet50_no_weights,IMAGENET100,random,43,3,layer4.0.downsample.0.weight,30.559836387634277
resnet50_no_weights,IMAGENET100,random,43,3,layer4.1.conv1.weight,2.979634314775467
resnet50_no_weights,IMAGENET100,random,43,3,layer4.1.conv2.weight,26.722730227879115
resnet50_no_weights,IMAGENET100,random,43,3,layer4.1.conv3.weight,16.4067111492157
resnet50_no_weights,IMAGENET100,random,43,3,layer4.2.conv1.weight,3.383730673789978
resnet50_no_weights,IMAGENET100,random,43,3,layer4.2.conv2.weight,29.683087587356567
resnet50_no_weights,IMAGENET100,random,43,3,layer4.2.conv3.weight,20.27681255340576
resnet50_no_weights,IMAGENET100,random,43,3,fc.weight,558.0398017035591
resnet50_no_weights,IMAGENET100,random,44,3,conv1.weight,1379.9208730061848
resnet50_no_weights,IMAGENET100,random,44,3,layer1.0.conv1.weight,73.27855491638184
resnet50_no_weights,IMAGENET100,random,44,3,layer1.0.conv2.weight,248.74669562445746
resnet50_no_weights,IMAGENET100,random,44,3,layer1.0.conv3.weight,77.79660844802856
resnet50_no_weights,IMAGENET100,random,44,3,layer1.0.downsample.0.weight,132.13701985677082
resnet50_no_weights,IMAGENET100,random,44,3,layer1.1.conv1.weight,20.066145598888397
resnet50_no_weights,IMAGENET100,random,44,3,layer1.1.conv2.weight,121.92409486037035
resnet50_no_weights,IMAGENET100,random,44,3,layer1.1.conv3.weight,37.55039596557617
resnet50_no_weights,IMAGENET100,random,44,3,layer1.2.conv1.weight,9.790721929990328
resnet50_no_weights,IMAGENET100,random,44,3,layer1.2.conv2.weight,55.50585333506266
resnet50_no_weights,IMAGENET100,random,44,3,layer1.2.conv3.weight,19.700787630948152
resnet50_no_weights,IMAGENET100,random,44,3,layer2.0.conv1.weight,16.386841926574707
resnet50_no_weights,IMAGENET100,random,44,3,layer2.0.conv2.weight,80.89220114315258
resnet50_no_weights,IMAGENET100,random,44,3,layer2.0.conv3.weight,26.228209972381592
resnet50_no_weights,IMAGENET100,random,44,3,layer2.0.downsample.0.weight,52.19884567260742
resnet50_no_weights,IMAGENET100,random,44,3,layer2.1.conv1.weight,7.502903894944624
resnet50_no_weights,IMAGENET100,random,44,3,layer2.1.conv2.weight,44.766434920461556
resnet50_no_weights,IMAGENET100,random,44,3,layer2.1.conv3.weight,14.01457777890292
resnet50_no_weights,IMAGENET100,random,44,3,layer2.2.conv1.weight,4.032222050886888
resnet50_no_weights,IMAGENET100,random,44,3,layer2.2.conv2.weight,25.150301615397137
resnet50_no_weights,IMAGENET100,random,44,3,layer2.2.conv3.weight,7.010634088516236
resnet50_no_weights,IMAGENET100,random,44,3,layer2.3.conv1.weight,2.5831460505723953
resnet50_no_weights,IMAGENET100,random,44,3,layer2.3.conv2.weight,14.659032381497896
resnet50_no_weights,IMAGENET100,random,44,3,layer2.3.conv3.weight,4.6355382919311525
resnet50_no_weights,IMAGENET100,random,44,3,layer3.0.conv1.weight,5.26875627040863
resnet50_no_weights,IMAGENET100,random,44,3,layer3.0.conv2.weight,28.434917211532593
resnet50_no_weights,IMAGENET100,random,44,3,layer3.0.conv3.weight,9.737004470825195
resnet50_no_weights,IMAGENET100,random,44,3,layer3.0.downsample.0.weight,18.419503053029377
resnet50_no_weights,IMAGENET100,random,44,3,layer3.1.conv1.weight,2.486769829477583
resnet50_no_weights,IMAGENET100,random,44,3,layer3.1.conv2.weight,17.188329696655273
resnet50_no_weights,IMAGENET100,random,44,3,layer3.1.conv3.weight,6.61387617447797
resnet50_no_weights,IMAGENET100,random,44,3,layer3.2.conv1.weight,1.7274865880608559
resnet50_no_weights,IMAGENET100,random,44,3,layer3.2.conv2.weight,11.334650802612305
resnet50_no_weights,IMAGENET100,random,44,3,layer3.2.conv3.weight,4.435216188430786
resnet50_no_weights,IMAGENET100,random,44,3,layer3.3.conv1.weight,1.3257732540369034
resnet50_no_weights,IMAGENET100,random,44,3,layer3.3.conv2.weight,9.480164025959215
resnet50_no_weights,IMAGENET100,random,44,3,layer3.3.conv3.weight,3.4098148345947266
resnet50_no_weights,IMAGENET100,random,44,3,layer3.4.conv1.weight,1.0143682268949656
resnet50_no_weights,IMAGENET100,random,44,3,layer3.4.conv2.weight,7.369614696502685
resnet50_no_weights,IMAGENET100,random,44,3,layer3.4.conv3.weight,2.8464549581209817
resnet50_no_weights,IMAGENET100,random,44,3,layer3.5.conv1.weight,0.9887517631053925
resnet50_no_weights,IMAGENET100,random,44,3,layer3.5.conv2.weight,7.373449516296387
resnet50_no_weights,IMAGENET100,random,44,3,layer3.5.conv3.weight,3.339114189147949
resnet50_no_weights,IMAGENET100,random,44,3,layer4.0.conv1.weight,3.6673378785451254
