model,dataset,spike_layer,descriptor,spearman_vs_residual,partial_corr_controlling_numel,spike_A_share,spike_G_share,resolution_contrast_ratio,hypothesis_supported
resnet50_no_weights,IMAGENET100,conv1,output_map,0.027316352602689324,0.34890729300310946,-2.815430823425578,3.815430823425578,nan,undetermined
resnet50_no_weights,IMAGENET100,conv1,fan_in,-0.11026081402688023,-0.0098378343555562,-2.815430823425578,3.815430823425578,nan,undetermined
resnet50_no_weights,IMAGENET100,conv1,tr_A_prev,0.15719758336347184,0.22835253252695864,-2.815430823425578,3.815430823425578,nan,undetermined
resnet18_no_weights,IMAGENET100,conv1,output_map,0.22464547365334514,0.20831149730674908,-2.0487323183277923,3.0487323183277923,nan,undetermined
resnet18_no_weights,IMAGENET100,conv1,fan_in,0.03228270539428406,-0.01851463331125245,-2.0487323183277923,3.0487323183277923,nan,undetermined
resnet18_no_weights,IMAGENET100,conv1,tr_A_prev,0.3948051948051948,-0.09069717612617662,-2.0487323183277923,3.0487323183277923,nan,undetermined
cnn,IMAGENET100,conv1,output_map,0.3188740696088466,-0.5124321912772243,668.1377441929912,-667.1377441929912,nan,undetermined
cnn,IMAGENET100,conv1,fan_in,-0.08696565534786727,-0.6250348973876934,668.1377441929912,-667.1377441929912,nan,undetermined
cnn,IMAGENET100,conv1,tr_A_prev,0.5428571428571429,0.5629332109783846,668.1377441929912,-667.1377441929912,nan,undetermined
cnn,IMAGENET100,conv3,output_map,0.3188740696088466,-0.5124321912772243,1.3321052302602574,-0.33210523026025734,nan,undetermined
cnn,IMAGENET100,conv3,fan_in,-0.08696565534786727,-0.6250348973876934,1.3321052302602574,-0.33210523026025734,nan,undetermined
cnn,IMAGENET100,conv3,tr_A_prev,0.5428571428571429,0.5629332109783846,1.3321052302602574,-0.33210523026025734,nan,undetermined
