model,dataset,stage,selection,num_disabled,newly_disabled_layer,disabled_layers,outlier_factor,baseline_acc,ablated_acc,recovery_pts
cnn,CIFAR10,PTQ,cumulative_top_outlier,1,conv3,conv3,5.133261343649276,71.05,71.04,-0.009999999999990905
cnn,CIFAR10,PTQ,cumulative_top_outlier,2,conv2,conv3;conv2,4.370959929182433,71.05,71.14,0.09000000000000341
cnn,CIFAR10,PTQ,cumulative_top_outlier,3,conv1,conv3;conv2;conv1,3.588528789936661,71.05,71.09,0.04000000000000625
cnn,CIFAR10,PTQ,cumulative_top_outlier,4,fc1,conv3;conv2;conv1;fc1,3.3494373486979843,71.05,71.08,0.030000000000001137
cnn,CIFAR10,PTQ,cumulative_top_outlier,5,conv4,conv3;conv2;conv1;fc1;conv4,3.330244280125352,71.05,71.03,-0.01999999999999602
cnn,CIFAR10,PTQ,cumulative_low_outlier,1,fc2,fc2,1.4009876030317212,71.05,71.05,0.0
cnn,CIFAR10,PTQ,cumulative_low_outlier,2,conv4,fc2;conv4,3.330244280125352,71.05,71.05,0.0
cnn,CIFAR10,PTQ,cumulative_low_outlier,3,fc1,fc2;conv4;fc1,3.3494373486979843,71.05,71.07,0.01999999999999602
cnn,CIFAR10,PTQ,cumulative_low_outlier,4,conv1,fc2;conv4;fc1;conv1,3.588528789936661,71.05,71.13,0.0799999999999983
cnn,CIFAR10,PTQ,cumulative_low_outlier,5,conv2,fc2;conv4;fc1;conv1;conv2,4.370959929182433,71.05,71.01,-0.03999999999999204
cnn,CIFAR10,QAT,cumulative_top_outlier,1,conv3,conv3,5.77090683018077,84.45,84.49,0.03999999999999204
cnn,CIFAR10,QAT,cumulative_top_outlier,2,conv2,conv3;conv2,4.6532845171984425,84.45,84.46,0.009999999999990905
cnn,CIFAR10,QAT,cumulative_top_outlier,3,fc1,conv3;conv2;fc1,4.460314418916497,84.45,84.46,0.009999999999990905
cnn,CIFAR10,QAT,cumulative_top_outlier,4,conv4,conv3;conv2;fc1;conv4,4.052763533914342,84.45,84.49,0.03999999999999204
cnn,CIFAR10,QAT,cumulative_top_outlier,5,conv1,conv3;conv2;fc1;conv4;conv1,3.8319477096538637,84.45,84.56,0.10999999999999943
cnn,CIFAR10,QAT,cumulative_low_outlier,1,fc2,fc2,1.5679909577593611,84.45,84.38,-0.07000000000000739
cnn,CIFAR10,QAT,cumulative_low_outlier,2,conv1,fc2;conv1,3.8319477096538637,84.45,84.48,0.030000000000001137
cnn,CIFAR10,QAT,cumulative_low_outlier,3,conv4,fc2;conv1;conv4,4.052763533914342,84.45,84.47,0.01999999999999602
cnn,CIFAR10,QAT,cumulative_low_outlier,4,fc1,fc2;conv1;conv4;fc1,4.460314418916497,84.45,84.48,0.030000000000001137
cnn,CIFAR10,QAT,cumulative_low_outlier,5,conv2,fc2;conv1;conv4;fc1;conv2,4.6532845171984425,84.45,84.5,0.04999999999999716
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,1,layer2.1.conv2,layer2.1.conv2,6.06063282922193,82.78,82.81,0.030000000000001137
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,2,layer3.1.conv2,layer2.1.conv2;layer3.1.conv2,5.793124423811042,82.78,82.79,0.010000000000005116
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,3,layer4.0.conv2,layer2.1.conv2;layer3.1.conv2;layer4.0.conv2,5.603953775723633,82.78,82.78,0.0
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,4,layer4.0.conv1,layer2.1.conv2;layer3.1.conv2;layer4.0.conv2;layer4.0.conv1,5.528477404615751,82.78,82.78,0.0
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,5,layer3.0.downsample.0,layer2.1.conv2;layer3.1.conv2;layer4.0.conv2;layer4.0.conv1;layer3.0.downsample.0,5.470331088281764,82.78,82.79,0.010000000000005116
resnet18_no_weights,CIFAR10,PTQ,cumulative_low_outlier,1,fc,fc,1.1927420108056486,82.78,82.79,0.010000000000005116
