model,dataset,stage,layer,eigenvalue
cnn,CIFAR10,FP32,conv1.weight,15.0364990234375
cnn,CIFAR10,FP32,conv2.weight,26.866634368896484
cnn,CIFAR10,FP32,conv3.weight,26.387439727783203
cnn,CIFAR10,FP32,conv4.weight,6.2677154541015625
cnn,CIFAR10,FP32,fc1.weight,0.8008873462677002
cnn,CIFAR10,FP32,fc2.weight,0.810957133769989
cnn,CIFAR10,PTQ,conv1.weight,94.69908905029297
cnn,CIFAR10,PTQ,conv2.weight,206.05227661132812
cnn,CIFAR10,PTQ,conv3.weight,52.56194305419922
cnn,CIFAR10,PTQ,conv4.weight,3.0916998386383057
cnn,CIFAR10,PTQ,fc1.weight,1.6588281393051147
cnn,CIFAR10,PTQ,fc2.weight,1.1457663774490356
cnn,CIFAR10,QAT,conv1.weight,75.92356872558594
cnn,CIFAR10,QAT,conv2.weight,94.5335464477539
cnn,CIFAR10,QAT,conv3.weight,27.940013885498047
cnn,CIFAR10,QAT,conv4.weight,1.6894824504852295
cnn,CIFAR10,QAT,fc1.weight,0.9804093837738037
cnn,CIFAR10,QAT,fc2.weight,0.786310076713562
resnet18_no_weights,CIFAR10,FP32,conv1.weight,3.7272324562072754
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,3.3662188053131104
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,6.569875240325928
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,13.21167278289795
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,8.341487884521484
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,10.272207260131836
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,8.511842727661133
resnet18_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,4.410030364990234
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,8.212347030639648
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,5.267825603485107
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,9.027783393859863
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,9.069940567016602
resnet18_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,3.244068145751953
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,5.8084001541137695
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,4.099692344665527
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,4.293205261230469
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,5.566977500915527
resnet18_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,2.5344607830047607
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,4.929369926452637
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,1.861315131187439
resnet18_no_weights,CIFAR10,FP32,fc.weight,0.6693687438964844
resnet18_no_weights,CIFAR10,PTQ,conv1.weight,29.709041595458984
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,7.190040588378906
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,12.401016235351562
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,69.00877380371094
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,6.058668613433838
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,35.23533630371094
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,7.011025428771973
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,3.6981287002563477
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,20.194595336914062
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,2.9119014739990234
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,32.73066711425781
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,6.051567077636719
