model,dataset,layer,n_seeds,trace_random_mean,trace_random_std,trace_trained_fp32,ratio_trained_over_random,elev_over_median_random,elev_over_median_trained,classification
resnet50_no_weights,CIFAR10,conv1.weight,3,74.42822490272741,68.57799392131517,15.551486742960943,0.20894609220206006,0.10209613448488783,1.023408459780983,learned
resnet50_no_weights,CIFAR10,fc.weight,3,382734.2619903795,370923.30622477847,6.4394169869246305,1.6824772763841283e-05,525.0116973125897,0.4237635879707083,architectural
resnet50_no_weights,CIFAR10,layer1.0.conv1.weight,3,15.420853384299923,13.647422406458489,1.2679649903015657,0.0822240480927268,0.02115339339414406,0.08344193190198274,learned
resnet50_no_weights,CIFAR10,layer1.0.conv2.weight,3,142.49433930572079,127.47439010483627,1.3107644248267878,0.009198712252102522,0.1954651108246301,0.08625846668678588,architectural
resnet50_no_weights,CIFAR10,layer1.0.conv3.weight,3,69.72503772454753,59.93583624102541,0.949744392525066,0.01362128187405336,0.09564458695330809,0.06250054814724695,architectural
resnet50_no_weights,CIFAR10,layer1.0.downsample.0.weight,3,71.32359749888786,68.6812630059521,13.561083693253366,0.19013460017163072,0.0978373945060407,0.8924244996546877,learned
resnet50_no_weights,CIFAR10,layer1.1.conv1.weight,3,20.826476390990944,17.996191495010834,0.7241747243837877,0.03477183133566699,0.028568499883476796,0.047656314251072196,mixed
resnet50_no_weights,CIFAR10,layer1.1.conv2.weight,3,199.00007397202765,174.05120533938563,0.8798534646630287,0.004421372550779579,0.2729762578820584,0.05790118295354117,architectural
resnet50_no_weights,CIFAR10,layer1.1.conv3.weight,3,107.82187838043667,93.90126535649858,1.1983976811170578,0.01111460585845717,0.14790352732352868,0.07886386332755206,architectural
resnet50_no_weights,CIFAR10,layer1.2.conv1.weight,3,32.32422309728266,28.532981115701286,2.566383387479517,0.07939505242726963,0.04434041296528024,0.16888793420196468,learned
resnet50_no_weights,CIFAR10,layer1.2.conv2.weight,3,265.6290364335249,236.5040173202418,3.3201995979655874,0.012499385016579259,0.3643738361656739,0.21849488816607185,architectural
resnet50_no_weights,CIFAR10,layer1.2.conv3.weight,3,127.77208980393416,137.97649520438546,1.183842696249485,0.00926526832320022,0.17527001995663066,0.07790603242098613,architectural
resnet50_no_weights,CIFAR10,layer2.0.conv1.weight,3,58.100113069202706,64.48183572765215,6.426218099064297,0.1106059482433376,0.07969821885787227,0.4228949987663944,learned
resnet50_no_weights,CIFAR10,layer2.0.conv2.weight,3,493.2196325156515,483.96664687656533,49.80632910132408,0.10098204900581195,0.6765688419644095,3.2776428000366162,learned
resnet50_no_weights,CIFAR10,layer2.0.conv3.weight,3,268.20757711371465,297.826094776669,26.038128471374513,0.09708200175245187,0.367910922216073,1.7135108298587753,learned
resnet50_no_weights,CIFAR10,layer2.0.downsample.0.weight,3,224.96722528232905,229.0642058173302,17.416111278533936,0.07741621588067812,0.30859642450340175,1.1461152180196656,learned
resnet50_no_weights,CIFAR10,layer2.1.conv1.weight,3,86.34680203795484,96.75585786616824,3.961137056350708,0.04587473957182038,0.11844531728021872,0.2606735446471798,mixed
resnet50_no_weights,CIFAR10,layer2.1.conv2.weight,3,751.7033596339388,789.9232925723473,7.930938222191551,0.01055062229075805,1.0311411752494486,0.5219172549058685,architectural
resnet50_no_weights,CIFAR10,layer2.1.conv3.weight,3,332.0483254184252,340.02852635449284,7.80695378780365,0.023511498749363806,0.45548379706364656,0.5137581173821735,architectural
resnet50_no_weights,CIFAR10,layer2.2.conv1.weight,3,81.89496212272417,70.58661453715007,10.293886131710476,0.12569620725002,0.11233855271227956,0.6774175566193386,learned
resnet50_no_weights,CIFAR10,layer2.2.conv2.weight,3,718.1112950304093,619.883018128363,10.232152418656783,0.01424870001275149,0.9850616140363568,0.6733549994351236,architectural
resnet50_no_weights,CIFAR10,layer2.2.conv3.weight,3,398.71827545822185,365.8984072748519,4.673591693242391,0.011721538692630342,0.5469375996265826,0.30755858622914706,architectural
resnet50_no_weights,CIFAR10,layer2.3.conv1.weight,3,124.40093248218125,120.40097899977036,4.721038997173309,0.037950189785350155,0.17064567036692563,0.31068098687413237,mixed
resnet50_no_weights,CIFAR10,layer2.3.conv2.weight,3,885.8399421720623,952.7383207999645,3.1194345235824583,0.003521442616296648,1.2151416211562764,0.20528298894715943,architectural
resnet50_no_weights,CIFAR10,layer2.3.conv3.weight,3,382.3539420979679,332.66251995779584,1.8570934608578682,0.004857000952227761,0.5244899975013464,0.12221115510426275,architectural
resnet50_no_weights,CIFAR10,layer3.0.conv1.weight,3,178.99700255711724,162.13410764586988,17.660550355911255,0.09866394466731834,0.24553725511185168,1.1622012054126225,learned
resnet50_no_weights,CIFAR10,layer3.0.conv2.weight,3,1701.4089463363605,1622.026395959349,25.187062295277915,0.014803649851208994,2.3338898223889104,1.657504073794443,architectural
resnet50_no_weights,CIFAR10,layer3.0.conv3.weight,3,745.3196082912691,679.1375575226178,14.84006727309454,0.019911011474818302,1.0223843315056795,0.9765915402190172,architectural
resnet50_no_weights,CIFAR10,layer3.0.downsample.0.weight,3,858.2560182103068,824.1256067768072,40.24430230947641,0.04689078952617954,1.1773036636596292,2.6483872649760416,mixed
resnet50_no_weights,CIFAR10,layer3.1.conv1.weight,3,245.03615096174119,236.3273109473347,5.068454853693644,0.02068451872836106,0.336125762168116,0.3335436451203543,architectural
resnet50_no_weights,CIFAR10,layer3.1.conv2.weight,3,2519.1808006916553,2709.614276283074,13.343726336956024,0.005296851394426485,3.4556597601958616,0.8781206995803307,architectural
resnet50_no_weights,CIFAR10,layer3.1.conv3.weight,3,1167.0154821737647,1244.3344413051175,15.771489493052165,0.013514378972655176,1.6008412100339202,1.037886347287163,architectural
resnet50_no_weights,CIFAR10,layer3.2.conv1.weight,3,315.71971201651843,298.03217008168474,15.84689978549355,0.050192937540321975,0.4330851934154797,1.042848929483621,mixed
resnet50_no_weights,CIFAR10,layer3.2.conv2.weight,3,2698.2873035872854,2722.320657699574,47.09361701176084,0.01745315146728497,3.701347221245065,3.0991253021732197,architectural
resnet50_no_weights,CIFAR10,layer3.2.conv3.weight,3,1978.685281709086,2159.4649600455,24.721201302870263,0.012493751043378343,2.7142407183385098,1.6268468068339221,architectural
resnet50_no_weights,CIFAR10,layer3.3.conv1.weight,3,668.7287763430248,837.8603904980636,30.018028259277344,0.044888195814501,0.9173216635579069,1.975419107783642,mixed
resnet50_no_weights,CIFAR10,layer3.3.conv2.weight,3,4031.477444792951,3823.363845678536,53.48134925148704,0.013265942817207983,5.530136771558152,3.5194876328623077,architectural
resnet50_no_weights,CIFAR10,layer3.3.conv3.weight,3,1570.7378976120651,1394.681766065005,33.69209010784443,0.021449848608775066,2.1546431860318997,2.2172008769308285,architectural
resnet50_no_weights,CIFAR10,layer3.4.conv1.weight,3,541.8127184283205,501.6004112552251,28.058873857770646,0.05178703434493613,0.743225896339406,1.8464915511031446,mixed
resnet50_no_weights,CIFAR10,layer3.4.conv2.weight,3,7220.83016088719,6394.3791191485925,43.88887405395508,0.006078092556682244,9.905097806134263,2.888228356520968,architectural
resnet50_no_weights,CIFAR10,layer3.4.conv3.weight,3,2866.2636569512815,2800.419715637249,16.913921966552735,0.005901034932893553,3.9317670167694794,1.1130672658342722,architectural
resnet50_no_weights,CIFAR10,layer3.5.conv1.weight,3,739.891503572004,740.2532729483565,20.99046907424927,0.028369658217336915,1.0149383859636432,1.3813356870899238,architectural
resnet50_no_weights,CIFAR10,layer3.5.conv2.weight,3,8395.048694864692,8194.379580147903,19.56088110458019,0.002330049749031916,11.515819726699934,1.2872577094443027,architectural
resnet50_no_weights,CIFAR10,layer3.5.conv3.weight,3,3365.9551831688377,3588.26763307419,9.701375985756899,0.0028822059290235873,4.617213610831633,0.6384257929444332,architectural
resnet50_no_weights,CIFAR10,layer4.0.conv1.weight,3,2021.966835747851,1843.0997611539308,31.91661968231201,0.015784937278908052,2.773611734745684,2.1003611506967266,architectural
resnet50_no_weights,CIFAR10,layer4.0.conv2.weight,3,16735.805171875807,16134.333197241547,27.19955642406757,0.0016252314211792985,22.957164674742902,1.7899417982837191,architectural
resnet50_no_weights,CIFAR10,layer4.0.conv3.weight,3,8545.400304331371,7621.204535159311,18.808970147913154,0.0022010636691155976,11.722062965205103,1.2377761359604453,architectural
resnet50_no_weights,CIFAR10,layer4.0.downsample.0.weight,3,12924.758333319054,13164.22368198129,49.03743892762719,0.003794070083400505,17.72940126823932,3.227043862365269,architectural
resnet50_no_weights,CIFAR10,layer4.1.conv1.weight,3,3119.3173539127024,3506.5794196346533,47.61960352384127,0.015266033596777136,4.27889076331371,3.133739294718817,architectural
resnet50_no_weights,CIFAR10,layer4.1.conv2.weight,3,28278.73135314635,31424.697939426846,118.71719460738332,0.004198108929457848,38.79105222603589,7.812512288425033,architectural
