model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,42.071197509765625,2.4471984261253965e-07,1.5581925003616899,4.2486083786899243e-10,6.620149712648479e-10,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,39.1317138671875,2.250889536981049e-07,1.4493227358217593,3.907794335036543e-10,5.663655176683935e-10,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,38.804786682128906,2.017318223579423e-07,1.43721432156033,3.5022885826031647e-10,5.033539309154496e-10,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,40.00256601969401,2.2384687288952895e-07,1.4815765192479264,3.8862304321098775e-10,5.757747756600718e-10,0.00862510293948852,aggregate,3,1.7989295504186693
resnet50_no_weights,CIFAR10,fp32_unfused,fc,33.89069747924805,5.8754609199240804e-05,0.016548192128539085,5.87546091992408e-06,9.722825614662668e-08,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,fc,35.57790756225586,5.903185228817165e-05,0.017372025176882744,5.903185228817165e-06,1.0255028241881411e-07,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,fc,37.3681526184082,6.410406058421358e-05,0.01824616827070713,6.4104060584213585e-06,1.1696534762551655e-07,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,fc,35.61225255330404,6.063017402387535e-05,0.017388795192042988,6.063017402387534e-06,1.0542856785590931e-07,0.0003110826945576687,aggregate,3,1.7389819564979447
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,6.513998508453369,3.26768727632043e-08,0.10178122669458389,5.105761369250672e-10,5.196706553721517e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,6.181063175201416,2.9659796396686033e-08,0.09657911211252213,4.6343431869821927e-10,4.475807502234563e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,6.212459087371826,3.003107451604592e-08,0.09706967324018478,4.692355393132175e-10,4.55485404738159e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,6.302506923675537,3.0789247891978753e-08,0.09847667068243027,4.81081998312168e-10,4.737535351903284e-11,0.000264757333998024,aggregate,3,0.18382857136237613
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,11.296294212341309,1.1198212490626247e-07,0.019611621896425884,1.9441341129559456e-10,3.812762313923534e-12,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,10.42625617980957,1.0269311445654239e-07,0.018101139201058283,1.7828665704260832e-10,3.2271915968195913e-12,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,10.810166358947754,9.917287258076612e-08,0.01876764992872874,1.7217512600827453e-10,3.2313224913580554e-12,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,10.844238917032877,1.0461603731452367e-07,0.0188268036754043,1.8162506478215913e-10,3.419419437186298e-12,3.335568922141442e-05,aggregate,3,0.4360186336887136
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,0.680549144744873,1.5337194554376765e-06,0.010633580386638641,5.991091622803424e-09,6.370675437479756e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,0.6255354881286621,1.3919595858169487e-06,0.009773992002010345,5.437342132097456e-09,5.314453851131441e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,0.63880854845047,1.2623349903151393e-06,0.009981383569538593,4.930996055918513e-09,4.921816301400465e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,0.6482977271080017,1.3960046771899215e-06,0.010129651986062527,5.453143270273131e-09,5.523844355800572e-11,5.5529422610579e-05,aggregate,3,0.028708169347199924
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,6.513998508453369,1.5856829804761219e-06,0.10178122669458389,6.194074142484851e-09,6.30440464459311e-10,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,6.181063175201416,1.4421477771975333e-06,0.09657911211252213,5.633389754677864e-09,5.44067780690567e-10,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,6.212459087371826,1.3244963383840513e-06,0.09706967324018478,5.1738138218127006e-09,5.022204170889105e-10,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,6.302506923675537,1.4507756986859022e-06,0.09847667068243027,5.667092572991805e-09,5.580764090373604e-10,0.0007232566566437947,aggregate,3,0.18382857136237613
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,9.069820404052734,2.4161954215173864e-08,0.035428985953330994,3.7753053461209163e-10,1.3375524007725335e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,8.675868034362793,2.1542975403576747e-08,0.03389010950922966,3.366089906808867e-10,1.1407715555966516e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,8.821026802062988,1.8487401831634998e-08,0.03445713594555855,2.8886565361929684e-10,9.953483096762738e-12,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,8.855571746826172,2.1397443816795203e-08,0.034592077136039734,3.3433505963742505e-10,1.1565344172260252e-11,5.7716516588236714e-05,aggregate,3,0.1992351181458696
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,7.847474098205566,1.174261612391092e-07,0.01362408697605133,2.0386486326234238e-10,2.777472628446964e-12,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,7.543307781219482,1.0368119518489038e-07,0.013096020453506045,1.8000207497376802e-10,2.3573108555299947e-12,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,7.87661600112915,9.026854996818656e-08,0.013674680557515886,1.5671623258365722e-10,2.143044418758875e-12,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,7.755799293518066,1.0379196879739538e-07,0.013464929329024421,1.8019439027325587e-10,2.426304730516036e-12,2.722100489346063e-05,aggregate,3,0.18459901063035616
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,0.5143020153045654,3.002705625476665e-06,0.008035968989133835,1.1729318849518222e-08,9.425644253839138e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,0.4845752716064453,2.7346820843376918e-06,0.007571488618850708,1.0682351891944109e-08,8.088130577241315e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,0.4963550269603729,2.4788189421087736e-06,0.007755547296255827,9.682886492612397e-09,7.509608415773214e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,0.49841077129046124,2.7387355506410436e-06,0.007787668301413457,1.0698185744691576e-08,8.33139220065679e-11,8.173423843168125e-05,aggregate,3,0.014969615435489607
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,10.323356628417969,1.306240022813654e-07,0.04032561182975769,2.0410000356463343e-09,8.230457518199568e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,9.906867027282715,1.2200767685044411e-07,0.038698699325323105,1.9063699507881893e-09,7.377403752838314e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,10.056517601013184,1.0587262977423961e-07,0.03928327187895775,1.654259840222494e-09,6.498473906190143e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,10.095580418904623,1.1950143630201637e-07,0.039435861011346184,1.867209942219006e-09,7.363503176035246e-11,0.0001405855229215434,aggregate,3,0.21097470172905922
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,5.006545543670654,3.1755132567923283e-07,0.008691919346650442,5.513043848597792e-10,4.791893248655936e-12,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,4.768013954162598,2.9213697416707873e-07,0.00827780200375451,5.071822468178451e-10,4.198354218977472e-12,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,4.926181316375732,2.5537647729834134e-07,0.00855239811870787,4.4336193975406485e-10,3.7918078194593356e-12,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,4.900246938069661,2.883549257148843e-07,0.00850737315637094,5.006161904772297e-10,4.258928740510666e-12,0.00011390383531424624,aggregate,3,0.12136215959639896
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,0.5234291553497314,1.6357240610886947e-06,0.008178580552339554,6.389547113627714e-09,5.225742576177295e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,0.5111770033836365,1.4621813306803233e-06,0.00798714067786932,5.711645822970013e-09,4.561971869022618e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,0.5279240012168884,1.3398866940406151e-06,0.008248812519013882,5.233932398596153e-09,4.31737270932123e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,0.5208433866500854,1.479264028603211e-06,0.008138177916407585,5.778375111731293e-09,4.702544472701082e-11,0.00011698907511089113,aggregate,3,0.008667764067669823
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,11.46397876739502,1.7500074989129644e-07,0.044781167060136795,1.3671933585257534e-09,6.122451419165126e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,11.028532981872559,1.5206812520318636e-07,0.04308020696043968,1.1880322281498934e-09,5.11806742643697e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,11.208373069763184,1.3810161192395753e-07,0.043782707303762436,1.0789188431559182e-09,4.723798791440954e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,11.233628273010254,1.5505682900614678e-07,0.043881360441446304,1.2113814766105218e-09,5.315706720723776e-11,0.0001717070745856134,aggregate,3,0.21881870806813203
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,7.905312538146973,1.999261485252646e-06,0.006862250467141469,1.7354700392818105e-09,1.1909230087771628e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,7.771280765533447,1.6985607089736732e-06,0.00674590344230334,1.4744450598729801e-09,9.946464004884291e-12,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,7.9346923828125,1.5362431895482587e-06,0.006887753804524739,1.3335444353717523e-09,9.185125758234581e-12,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,7.870428562164307,1.7446884612581925e-06,0.006831969237989849,1.5144865115088477e-09,1.0346925257979008e-11,0.00027789198935031874,aggregate,3,0.08711204279953672
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,1.7892284393310547,5.8468576753512025e-06,0.013978347182273865,1.1419643897170317e-08,1.5962774709258164e-10,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,1.7550369501113892,5.041065833211178e-06,0.013711226172745228,9.845831705490582e-09,1.3499842537276725e-10,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,1.8098385334014893,4.691849881055532e-06,0.014139363542199135,9.163769298936586e-09,1.295698655345077e-10,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,1.7847013076146443,5.193257796539304e-06,0.013942978965739409,1.0143081633865828e-08,1.4142477386876895e-10,0.00042056017861923995,aggregate,3,0.027679858633286782
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,11.597545623779297,1.628814970899839e-06,0.04530291259288788,3.181279240038748e-09,1.4412121534504417e-10,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,11.1340913772583,1.4469723055299255e-06,0.04349254444241524,2.8261177842381358e-09,1.229150533304772e-10,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,11.331294059753418,1.3933703257862362e-06,0.04426286742091179,2.7214264175512426e-09,1.2045813671583758e-10,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,11.354310353597006,1.4897192007386668e-06,0.044352774818738304,2.9096078139427086e-09,1.2904918018264236e-10,0.0001469494109322248,aggregate,3,0.23258282823825757
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,11.793773651123047,3.4579448993099504e-07,0.0230347141623497,2.7015194525858988e-09,6.222872839434361e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,11.469194412231445,3.326633759570541e-07,0.02240077033638954,2.598932624664485e-09,5.821809284485921e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,11.799844741821289,3.1162721825239714e-07,0.023046571761369705,2.4345876425968527e-09,5.6108898814452265e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,11.687604268391928,3.3002836138014874e-07,0.022827352086702984,2.578346573282412e-09,5.885682502986175e-11,6.350046154914184e-05,aggregate,3,0.18917284024562914
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,7.549734592437744,1.225942583005235e-06,0.006553589055935542,1.0641862699698221e-09,6.9742394923510925e-12,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,7.057074069976807,1.1723616353265243e-06,0.006125932352410423,1.0176750306653857e-09,6.234208394593355e-12,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,7.130702495574951,1.0196273478868534e-06,0.0061898459162977,8.850931839295603e-10,5.478590430089318e-12,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,7.245837052663167,1.139310522072871e-06,0.006289789108214555,9.88984828188256e-10,6.220506000527935e-12,4.937756354498509e-05,aggregate,3,0.2657453146807969
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv3,0.8351925015449524,6.549424142576754e-06,0.006524941418319941,1.2791844028470223e-08,8.346603291805396e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv3,0.8095403909683228,5.804483862448251e-06,0.0063245343044400215,1.133688254384424e-08,7.170050255395015e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv3,0.804975152015686,5.384074029279873e-06,0.006288868375122547,1.0515769588437252e-08,6.613229080479847e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv3,0.8165693481763204,5.912660678101626e-06,0.006379448032627503,1.1548165386917239e-08,7.36709209580262e-11,0.00010969530787626096,aggregate,3,0.016288853020313
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv1,14.555304527282715,2.68815625759089e-07,0.028428329154849052,2.100122076242883e-09,5.970296164879767e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv1,14.171835899353027,2.2947547506646515e-07,0.02767936699092388,1.792777148956759e-09,4.962293663891634e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv1,14.500999450683594,2.2736237781373347e-07,0.028322264552116394,1.7762685766697928e-09,5.030794854405311e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv1,14.409379959106445,2.4188449287976255e-07,0.028143320232629776,1.889722600623145e-09,5.318306830017511e-11,0.00012983073674538545,aggregate,3,0.20750336281422202
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv2,6.5051164627075195,9.323053973275819e-07,0.005646802484989166,8.09292879624637e-10,4.569917043748439e-12,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv2,6.5403032302856445,8.135069151649077e-07,0.005677346554067399,7.061691971917602e-10,4.0091672582651814e-12,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv2,6.531907558441162,7.892438702583604e-07,0.005670058644480175,6.851075262659378e-10,3.88459985170261e-12,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv2,6.525775750478108,8.450187275836166e-07,0.005664735894512247,7.33523201027445e-10,4.15521520631769e-12,8.575338495318313e-05,aggregate,3,0.018377335356930036
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv3,0.5201768279075623,6.414431936718756e-06,0.00406388146802783,1.2528187376403821e-08,5.091306850694769e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv3,0.5152969360351562,5.477828835864784e-06,0.004025757312774658,1.0698884445048407e-08,4.3071112293184664e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv3,0.5223613381385803,5.190318915992975e-06,0.004080947954207659,1.013734163279878e-08,4.136996359747431e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv3,0.519278367360433,5.6941932295255055e-06,0.004056862245003383,1.1121471151417003e-08,4.511827642307794e-11,7.105591314677251e-05,aggregate,3,0.003616886476760992
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv1,16.929100036621094,1.603270476380203e-07,0.033064648509025574,1.2525550596720336e-09,4.1415292786257345e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv1,16.472803115844727,1.4606210640977224e-07,0.03217344358563423,1.1411102063263456e-09,3.671344484823212e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv1,16.830341339111328,1.3481427174610872e-07,0.03287176042795181,1.0532364980164743e-09,3.462173783677249e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv1,16.744081497192383,1.470678085979671e-07,0.03270328417420387,1.1489672546716179e-09,3.757500263638079e-11,6.887254300571025e-05,aggregate,3,0.24006726187343758
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv2,3.1719677448272705,7.569892090941721e-07,0.002753444222940339,6.571086884498022e-10,1.8093121220560108e-12,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv2,3.2255043983459473,6.609949991798203e-07,0.0027999170124530792,5.737803812324829e-10,1.6065374508246422e-12,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv2,3.2642815113067627,6.194458705977013e-07,0.0028335777007871205,5.377134293382824e-10,1.523652782786728e-12,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv2,3.2205845514933267,6.791433596238979e-07,0.0027956463120601795,5.895341663401891e-10,1.648129017962422e-12,2.0149847752743527e-05,aggregate,3,0.0463531179123636
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv3,0.2218071073293686,5.510698429134209e-06,0.0017328680260106921,1.0763082869402751e-08,1.8651002165691442e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv3,0.21955755352973938,4.739131782116601e-06,0.001715293386951089,9.256116761946487e-09,1.5876955870613935e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv3,0.22367699444293976,4.472175533010159e-06,0.0017474765190854669,8.734717837910466e-09,1.5263714322585517e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv3,0.22168055176734924,4.90733524808699e-06,0.001731879310682416,9.584639156419902e-09,1.6599438255360192e-11,2.9596029435514555e-05,aggregate,3,0.0020626343815727055
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,18.138214111328125,5.876724458175886e-07,0.035426199436187744,2.2955954914749555e-09,8.13242237058052e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,17.71388816833496,4.980494168194127e-07,0.03459743782877922,1.945505534450831e-09,6.730950677370851e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,18.070463180541992,4.665741641929344e-07,0.03529387339949608,1.82255532887865e-09,6.432503704102001e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,17.974188486735027,5.174320089433119e-07,0.03510583688815435,2.021218784934812e-09,7.095657697919504e-11,0.00018748425127004912,aggregate,3,0.2279577569967258
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,18.13483238220215,3.955046850023791e-06,0.007871020999219682,1.716600195322826e-09,1.3511396184650572e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,17.698806762695312,3.3850119507405907e-06,0.007681773768530952,1.4691892147311592e-09,1.1285979170730406e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,18.606021881103516,3.2350330911867786e-06,0.008075530330340067,1.4040942236053726e-09,1.1338805489380474e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,18.14655367533366,3.5250306306503867e-06,0.007876108366030234,1.529961211219786e-09,1.2050140295389906e-11,4.5609982083121237e-05,aggregate,3,0.4537211250334379
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv3,3.2577779293060303,1.1226911738049239e-05,0.01272569503635168,1.096378099418871e-08,1.3952173337739416e-10,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv3,3.1781747341156006,9.868445886240806e-06,0.012414745055139065,9.637154185782038e-09,1.196428122735503e-10,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv3,3.433750629425049,9.444181159778964e-06,0.013413088396191597,9.222833163846644e-09,1.2370667649000246e-10,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv3,3.28990109761556,1.0179846261356337e-05,0.012851176162560781,9.941256114605798e-09,1.2775683360593364e-10,5.884527400005733e-05,aggregate,3,0.13078104993648082
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,17.99631690979004,5.842006430611946e-06,0.03514905646443367,5.705084404894478e-09,2.0052833388199598e-10,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,17.578847885131836,5.07800223203958e-06,0.03433368727564812,4.9589865547261525e-09,1.702602935741114e-10,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,17.878103256225586,4.9756454245653e-06,0.0349181704223156,4.859028734927051e-09,1.6966839345311133e-10,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,17.817756017049152,5.2985513624056084e-06,0.034800304720799126,5.174366564849227e-09,1.800695331938677e-10,8.320099534754308e-05,aggregate,3,0.21517769074518622
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,18.4888916015625,1.2389048151817406e-06,0.01805555820465088,4.839471934303674e-09,8.737936718959436e-11,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,18.206899642944336,9.957865358956042e-07,0.017780175432562828,3.889791155842204e-09,6.916116914690572e-11,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,18.746110916137695,9.795128335099434e-07,0.018306748941540718,3.826222005898217e-09,7.004568565657698e-11,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,18.480634053548176,1.0714013948624295e-06,0.01804749419291814,4.185161698681365e-09,7.553168145337536e-11,2.061277199164328e-05,aggregate,3,0.26970046275286136
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,13.588055610656738,3.791167500821757e-06,0.005897593581014209,1.6454720055649987e-09,9.704325137758714e-12,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,12.97614574432373,3.1067997952050064e-06,0.005632007701529397,1.348437411113284e-09,7.594409884420377e-12,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,12.939520835876465,3.2556824862695066e-06,0.005616111473904716,1.4130566346655844e-09,7.935883579222573e-12,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,13.16790739695231,3.38454992743209e-06,0.005715237585482774,1.4689886837812891e-09,8.395619338195693e-12,2.6292498107821074e-05,aggregate,3,0.3643195535363952
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv3,1.5282517671585083,2.0502857296378352e-05,0.005969733465462923,2.0022321578494484e-08,1.1952792318339894e-10,,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv3,1.5591474771499634,1.8583346900413744e-05,0.0060904198326170444,1.8147799707435297e-08,1.1052771925652573e-10,,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv3,1.548974633216858,1.7879647202789783e-05,0.006050682161003351,1.7460592971474398e-08,1.0564849841304064e-10,,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv3,1.5454579591751099,1.898861713319396e-05,0.006036945153027773,1.8543571419134725e-08,1.1194652359856972e-10,5.9372438430972584e-05,aggregate,3,0.015745204705114275
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv1,19.442047119140625,2.1863309029868105e-06,0.018986374139785767,8.540355089792229e-09,1.6215037702141892e-10,,42,3,
