model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,1.1641377085505558,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,-0.17094772735212382,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,-0.6178872285067052,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,-0.5636263286041556,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,0.5511429531091321,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,-0.5468493744642116,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,-0.7061529936975401,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,-0.3957454659602595,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,-0.160208885715301,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,-0.08451879964452447,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,-0.2400041787961742,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,0.06946182288907155,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,0.5884651207193077,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,0.6013249023803144,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,0.28748772353130336,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,-0.2197263641367453,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,-0.16188125047991164,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv3,0.017684805311418916,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv1,0.0908742754932117,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv2,0.07784036495449076,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv3,-0.17090302110043876,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv1,-0.1844571271895905,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv2,-0.5511391379864419,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv3,-0.5512697954935977,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,0.3932846667878218,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,0.08929523485023161,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv3,0.032854583570771645,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,0.32609463617759005,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,-0.42272060648080156,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,-0.14993281545120407,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv3,0.036727879986996115,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv1,0.04573205199301089,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv2,0.3241222430821171,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv3,0.2224478933407612,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv1,0.288411046692425,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv2,0.41847403559475005,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv3,0.33141544823006397,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv1,0.32531663587198034,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv2,0.31260258845492483,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv3,0.07751898233216536,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv1,0.15226756648727857,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv2,-0.011754585118317173,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv3,-0.16700743504030502,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,0.2641223367958352,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,-0.2562480619093135,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.conv3,-0.22513260776684962,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.0.downsample.0,0.019922569572514703,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv1,0.2416877656440075,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer4.1.conv2,0.4200583804276521,1.0
