model,dataset,stage,predictor,n_layers,damage_mode,spearman_rho_abs,spearman_p_abs,top5_overlap_abs,conv1_damage_rank_abs,spearman_rho_signed,spearman_p_signed,top5_overlap_signed,conv1_damage_rank_signed,conv1_predictor_rank
resnet18_no_weights,CIFAR10,PTQ,raw_trh,21,both,0.2922077922077922,0.19867271696574043,2/5,3,0.28181818181818186,0.2158464834864693,2/5,3,4
resnet18_no_weights,CIFAR10,PTQ,dwsq,21,both,-0.36233766233766235,0.10649069901450199,0/5,3,-0.4285714285714285,0.05257154042070508,0/5,3,21
resnet18_no_weights,CIFAR10,PTQ,trh_dwsq,21,both,-0.15974025974025974,0.4891511154734236,0/5,3,-0.1155844155844156,0.6178368603191974,0/5,3,19
resnet50_no_weights,CIFAR10,PTQ,raw_trh,54,both,0.20515180191672008,0.13670970439033847,1/5,3,0.15335598493805097,0.26823887471971647,1/5,2,1
resnet50_no_weights,CIFAR10,PTQ,dwsq,54,both,0.176663807055964,0.2012809179098851,0/5,3,0.11209719456522046,0.4196570769593677,1/5,2,54
resnet50_no_weights,CIFAR10,PTQ,trh_dwsq,54,both,0.19398603748807475,0.15986164767436212,0/5,3,0.18972936812519947,0.16940594941558165,0/5,2,32
cnn,CIFAR10,PTQ,raw_trh,6,both,0.9276336570439175,0.00766584418747316,5/5,1,0.8857142857142858,0.01884548104956266,4/5,1,2
cnn,CIFAR10,PTQ,dwsq,6,both,-0.6377481392176932,0.17307111024125982,4/5,1,-0.7142857142857143,0.11078717201166179,4/5,1,6
cnn,CIFAR10,PTQ,trh_dwsq,6,both,0.5507824838698261,0.2573693316225746,5/5,1,0.5428571428571429,0.26570262390670546,4/5,1,4
resnet18_no_weights,CIFAR10,QAT,raw_trh,21,both,0.09046557801910074,0.6965502189123982,2/5,1,-0.09046557801910074,0.6965502189123982,1/5,21,4
resnet18_no_weights,CIFAR10,QAT,dwsq,21,both,-0.13732544577000186,0.5527840392508458,0/5,1,0.13732544577000186,0.5527840392508458,1/5,21,21
resnet18_no_weights,CIFAR10,QAT,trh_dwsq,21,both,-0.0572731716955458,0.8052259665400598,0/5,1,0.0572731716955458,0.8052259665400598,3/5,21,19
resnet50_no_weights,CIFAR10,QAT,raw_trh,54,both,-0.04003131945080859,0.7738053644379782,1/5,1,0.04003131945080859,0.7738053644379782,0/5,54,1
resnet50_no_weights,CIFAR10,QAT,dwsq,54,both,-0.08143644967399953,0.5582759116021152,0/5,1,0.08143644967399953,0.5582759116021152,0/5,54,54
resnet50_no_weights,CIFAR10,QAT,trh_dwsq,54,both,-0.02316397607878056,0.8679530836097821,0/5,1,0.02316397607878056,0.8679530836097821,0/5,54,21
cnn,CIFAR10,QAT,raw_trh,6,both,-0.5428571428571429,0.26570262390670546,4/5,5,-0.6,0.208,4/5,6,2
cnn,CIFAR10,QAT,dwsq,6,both,0.6571428571428573,0.1561749271137024,4/5,5,0.8285714285714287,0.04156268221574335,5/5,6,6
cnn,CIFAR10,QAT,trh_dwsq,6,both,-0.48571428571428577,0.3287230320699708,4/5,5,-0.3142857142857143,0.5440932944606415,4/5,6,4
