model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts,abs_weight_damage_pts
resnet18_no_weights,CIFAR10,PTQ,conv1,182.09692699841443,0.1895231008529663,0.00010967772040102218,34.51157426053574,84.18,83.75,0.4300000000000068,0.4300000000000068
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,39.94072185482895,0.715201735496521,1.9401088745022815e-05,28.56567358755749,84.18,84.16,0.020000000000010232,0.020000000000010232
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,44.71680642063523,1.5270659923553467,4.142431619887551e-05,68.28551437168927,84.18,83.63,0.5500000000000114,0.5500000000000114
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,294.825517648418,0.3772808909416199,1.0234399168338212e-05,111.23203397071941,84.18,83.4,0.7800000000000011,0.7800000000000011
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,24.161705944458458,2.072399377822876,5.621743103903201e-05,50.07270436643499,84.18,84.04,0.14000000000000057,0.14000000000000057
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,191.53733290780056,0.5998775959014893,8.136360621493724e-06,114.8989547901146,84.18,84.33,-0.14999999999999147,0.14999999999999147
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,46.02380908927822,4.482908248901367,3.040166726956765e-05,206.32051341218704,84.18,84.44,-0.2599999999999909,0.2599999999999909
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,23.984240371324283,1.5304787158966064,0.00018682601512409747,36.70736940525994,84.18,84.07,0.11000000000001364,0.11000000000001364
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,146.72951336144206,1.4709970951080322,9.975837504801651e-06,215.83868792129647,84.18,84.22,-0.03999999999999204,0.03999999999999204
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,22.002428687475867,5.534976959228516,3.7536464838518034e-05,121.78293583224743,84.18,84.01,0.1700000000000017,0.1700000000000017
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,236.7511792048,1.6779650449752808,5.689714372339141e-06,397.260203062333,84.18,84.05,0.13000000000000966,0.13000000000000966
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,45.51597345577829,10.251570701599121,1.7380728321667346e-05,466.61021993402,84.18,84.24,-0.05999999999998806,0.05999999999998806
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,16.909460655665487,2.048787832260132,6.252404273254797e-05,34.64389724140888,84.18,84.23,-0.04999999999999716,0.04999999999999716
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,101.17330726775872,3.3680145740509033,5.7102026605409465e-06,340.7531733827415,84.18,84.21,-0.029999999999986926,0.029999999999986926
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,12.8321489170204,10.033949851989746,1.7011769361690516e-05,128.7571387266472,84.18,84.17,0.010000000000005116,0.010000000000005116
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,62.33550327865307,5.089653015136719,4.314552319960461e-06,317.26608221226144,84.18,84.1,0.0800000000000125,0.0800000000000125
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,23.733709201581437,12.414222717285156,5.261833494943049e-06,294.63555193571204,84.18,84.29,-0.10999999999999943,0.10999999999999943
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,6.660079179250212,7.156641960144043,5.460084503283724e-05,47.66380211210377,84.18,84.31,-0.12999999999999545,0.12999999999999545
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,97.48641982551094,10.25529670715332,4.346761367438982e-06,999.7521602287285,84.18,84.3,-0.11999999999999034,0.11999999999999034
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,3.011914051987717,15.041328430175781,6.375346048217681e-06,45.30318845940878,84.18,84.26,-0.0799999999999983,0.0799999999999983
