model,dataset,stage,predictor,n_layers,damage_mode,status,spearman_rho_abs,spearman_p_abs,top5_overlap_abs,conv1_damage_rank_abs,spearman_rho_signed,spearman_p_signed,top5_overlap_signed,conv1_damage_rank_signed,conv1_predictor_rank
cnn,CIFAR10,PTQ,raw_trh,6,both,complete,0.7714285714285715,0.07239650145772594,4/5,1,0.7714285714285715,0.07239650145772594,4/5,1,2
cnn,CIFAR10,PTQ,dwsq,6,both,complete,-0.8857142857142858,0.01884548104956266,4/5,1,-0.8857142857142858,0.01884548104956266,4/5,1,6
cnn,CIFAR10,PTQ,trh_dwsq,6,both,complete,0.3714285714285715,0.4684781341107872,4/5,1,0.3714285714285715,0.4684781341107872,4/5,1,4
cnn,CIFAR10,QAT,raw_trh,6,both,complete,-0.5428571428571429,0.26570262390670546,4/5,5,-0.6,0.208,4/5,6,2
cnn,CIFAR10,QAT,dwsq,6,both,complete,0.6571428571428573,0.1561749271137024,4/5,5,0.8285714285714287,0.04156268221574335,5/5,6,6
cnn,CIFAR10,QAT,trh_dwsq,6,both,complete,-0.48571428571428577,0.3287230320699708,4/5,5,-0.3142857142857143,0.5440932944606415,4/5,6,4
cnn,IMAGENET100,PTQ,raw_trh,6,both,complete,0.5428571428571429,0.26570262390670546,4/5,1,0.5428571428571429,0.26570262390670546,4/5,1,3
cnn,IMAGENET100,PTQ,dwsq,6,both,complete,-0.8285714285714287,0.04156268221574335,4/5,1,-0.8285714285714287,0.04156268221574335,4/5,1,6
cnn,IMAGENET100,PTQ,trh_dwsq,6,both,complete,-0.08571428571428573,0.8717434402332361,4/5,1,-0.08571428571428573,0.8717434402332361,4/5,1,6
cnn,IMAGENET100,QAT,raw_trh,6,both,complete,0.6,0.208,5/5,3,-0.6,0.208,4/5,4,3
cnn,IMAGENET100,QAT,dwsq,6,both,complete,-0.5428571428571429,0.26570262390670546,4/5,3,0.5428571428571429,0.26570262390670546,4/5,4,6
cnn,IMAGENET100,QAT,trh_dwsq,6,both,complete,0.3142857142857143,0.5440932944606415,4/5,3,-0.3142857142857143,0.5440932944606415,4/5,4,6
resnet18_no_weights,CIFAR10,PTQ,raw_trh,21,both,complete,0.42207792207792205,0.056659249673108106,3/5,3,0.01818181818181818,0.9376501036584043,2/5,3,4
resnet18_no_weights,CIFAR10,PTQ,dwsq,21,both,complete,-0.6142857142857143,0.0030502365456209725,0/5,3,-0.3051948051948052,0.17852871608932544,0/5,3,21
resnet18_no_weights,CIFAR10,PTQ,trh_dwsq,21,both,complete,-0.22337662337662337,0.330387908876124,0/5,3,-0.33896103896103896,0.1328105963995839,0/5,3,19
resnet18_no_weights,CIFAR10,QAT,raw_trh,21,both,complete,0.3311688311688311,0.14253086581850202,2/5,1,-0.3311688311688311,0.14253086581850202,0/5,21,4
resnet18_no_weights,CIFAR10,QAT,dwsq,21,both,complete,-0.3649350649350649,0.10382027127753134,0/5,1,0.3649350649350649,0.10382027127753134,3/5,21,21
resnet18_no_weights,CIFAR10,QAT,trh_dwsq,21,both,complete,0.033766233766233764,0.8844723124673912,0/5,1,-0.033766233766233764,0.8844723124673912,2/5,21,19
resnet18_no_weights,IMAGENET100,PTQ,raw_trh,21,both,complete,0.10259740259740259,0.6580970577075416,2/5,1,0.1077922077922078,0.6418756070398507,2/5,1,1
resnet18_no_weights,IMAGENET100,PTQ,dwsq,21,both,complete,-0.1909090909090909,0.4071327297448127,0/5,1,-0.20909090909090908,0.36302566515631635,0/5,1,21
resnet18_no_weights,IMAGENET100,PTQ,trh_dwsq,21,both,complete,-0.12727272727272726,0.5824788611326692,1/5,1,-0.16103896103896104,0.4855791442852288,1/5,1,10
resnet18_no_weights,IMAGENET100,QAT,raw_trh,21,both,complete,0.17922077922077922,0.4369652748985062,2/5,1,-0.2506493506493506,0.2731235283481196,1/5,21,1
resnet18_no_weights,IMAGENET100,QAT,dwsq,21,both,complete,0.012987012987012986,0.9554439323134464,2/5,1,0.6077922077922078,0.003469852390223125,3/5,21,21
resnet18_no_weights,IMAGENET100,QAT,trh_dwsq,21,both,complete,0.18051948051948052,0.433594674982858,1/5,1,0.47792207792207797,0.028433024289660953,3/5,21,12
resnet50_no_weights,CIFAR10,PTQ,raw_trh,54,both,complete,0.3618448637316561,0.00717615564698458,2/5,2,0.21517057366113965,0.11816045468367563,2/5,1,1
resnet50_no_weights,CIFAR10,PTQ,dwsq,54,both,complete,0.2495521250238231,0.06878524415215422,0/5,2,0.16622832094530207,0.22962678010507526,1/5,1,54
resnet50_no_weights,CIFAR10,PTQ,trh_dwsq,54,both,complete,0.35361158757385164,0.00871481885943563,1/5,2,0.24901848675433577,0.06939973466878852,1/5,1,32
resnet50_no_weights,CIFAR10,QAT,raw_trh,54,both,complete,0.15479321517057365,0.2637252102111253,1/5,1,-0.15479321517057365,0.2637252102111253,1/5,54,1
resnet50_no_weights,CIFAR10,QAT,dwsq,54,both,complete,0.023060796645702302,0.8685360528956065,0/5,1,-0.023060796645702302,0.8685360528956065,0/5,54,54
resnet50_no_weights,CIFAR10,QAT,trh_dwsq,54,both,complete,0.13901276920144842,0.3160990286261777,0/5,1,-0.13901276920144842,0.3160990286261777,1/5,54,21
resnet50_no_weights,IMAGENET100,PTQ,raw_trh,54,both,complete,0.13466742900705161,0.3316101156489479,1/5,1,-0.003621116828663998,0.9792676280999557,1/5,1,1
resnet50_no_weights,IMAGENET100,PTQ,dwsq,54,both,complete,-0.11080617495711834,0.42506557961399277,0/5,1,-0.07078330474556889,0.6110208628024413,0/5,1,54
resnet50_no_weights,IMAGENET100,PTQ,trh_dwsq,54,both,complete,0.03830760434534018,0.7833036721975497,0/5,1,0.011625690870973888,0.9335058053086291,0/5,1,9
resnet50_no_weights,IMAGENET100,QAT,raw_trh,54,both,complete,-0.023060796645702302,0.8685360528956065,1/5,54,-0.023060796645702302,0.8685360528956065,1/5,54,1
resnet50_no_weights,IMAGENET100,QAT,dwsq,54,both,complete,0.08069372975033352,0.5618824742757091,1/5,54,0.08069372975033352,0.5618824742757091,1/5,54,54
resnet50_no_weights,IMAGENET100,QAT,trh_dwsq,54,both,complete,-0.024051839146178765,0.8629395220971322,1/5,54,-0.024051839146178765,0.8629395220971322,1/5,54,9
