epoch,total_s,train_s,val_s
1,25.722,23.675,2.047
2,25.406,23.497,1.909
3,25.359,23.445,1.914
4,25.562,23.648,1.914
5,25.557,23.623,1.934
6,25.508,23.56,1.947
7,25.434,23.489,1.946
8,25.518,23.577,1.941
9,25.457,23.533,1.923
10,25.511,23.578,1.933
11,25.416,23.462,1.954
12,25.543,23.593,1.951
13,25.551,23.593,1.958
14,25.517,23.559,1.957
15,25.518,23.582,1.936
16,25.407,23.465,1.942
17,25.406,23.477,1.929
18,25.439,23.491,1.948
19,25.272,23.34,1.932
20,25.523,23.587,1.936
21,25.483,23.532,1.951
