model,dataset,stage,layer,mse,sqnr
cnn,IMAGENET100,PTQ,conv1.weight,0.03349503502249718,5.60456736234727
cnn,IMAGENET100,PTQ,conv2.weight,0.003451691009104252,5.253735291751372
cnn,IMAGENET100,PTQ,conv3.weight,0.0003276811330579221,10.857675292348288
cnn,IMAGENET100,PTQ,conv4.weight,0.0067418888211250305,-10.532091105790437
cnn,IMAGENET100,PTQ,fc1.weight,2.8308351829764433e-05,13.327945864635621
cnn,IMAGENET100,PTQ,fc2.weight,0.00018651492428034544,13.722011317663618
cnn,IMAGENET100,QAT,conv1.weight,0.030684471130371094,5.985185301647418
cnn,IMAGENET100,QAT,conv2.weight,0.003392215818166733,5.329219655109375
cnn,IMAGENET100,QAT,conv3.weight,0.0003272492904216051,10.863402523652848
cnn,IMAGENET100,QAT,conv4.weight,0.006733621004968882,-10.52676193096752
cnn,IMAGENET100,QAT,fc1.weight,2.8353357265586965e-05,13.321046808163167
cnn,IMAGENET100,QAT,fc2.weight,0.00018708205607254058,13.708825857929748
resnet18_no_weights,IMAGENET100,PTQ,conv1.weight,0.0028792538214474916,2.217361358681725
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv1.weight,0.00013335126277524978,7.963979502267301
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv2.weight,0.0005870722234249115,0.43999972006894694
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv1.weight,8.222470205510035e-05,8.717084278208526
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv2.weight,0.001586591824889183,-4.675047876650893
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv1.weight,0.00013436323206406087,6.114928843792161
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv2.weight,0.0009328665328212082,-3.627367860596538
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0.weight,0.0006539108580909669,4.621770985861508
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv1.weight,2.3031634555081837e-05,11.413730548947507
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv2.weight,0.000764290860388428,-4.64712295581645
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv1.weight,2.3645287001272663e-05,11.327212219444874
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv2.weight,0.0002930235641542822,-1.1572399582672483
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.downsample.0.weight,0.00025036250008270144,2.3307260221328576
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv1.weight,9.425384632777423e-06,10.930664669322995
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv2.weight,0.00027885002782568336,-4.18036351458733
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv1.weight,1.7563404981046915e-05,9.28252956404988
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv2.weight,0.0006296351784840226,-7.794295187923667
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.downsample.0.weight,0.0007513775490224361,-3.719544842263036
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv1.weight,7.406001532217488e-05,0.9392110114454277
resnet18_no_weights,IMAGENET100,PTQ,layer4.1.conv2.weight,0.010050932876765728,-25.449049010534793
resnet18_no_weights,IMAGENET100,PTQ,fc.weight,0.00024036099785007536,13.53283491898194
resnet18_no_weights,IMAGENET100,QAT,conv1.weight,0.0028236715588718653,2.302019083214233
resnet18_no_weights,IMAGENET100,QAT,layer1.0.conv1.weight,0.00013395487621892244,7.944365554428052
resnet18_no_weights,IMAGENET100,QAT,layer1.0.conv2.weight,0.0005867377039976418,0.4424750773119165
resnet18_no_weights,IMAGENET100,QAT,layer1.1.conv1.weight,8.223513577831909e-05,8.716533224712988
resnet18_no_weights,IMAGENET100,QAT,layer1.1.conv2.weight,0.0015899721765890718,-4.684290999998189
resnet18_no_weights,IMAGENET100,QAT,layer2.0.conv1.weight,0.00013492054131347686,6.09695251538095
resnet18_no_weights,IMAGENET100,QAT,layer2.0.conv2.weight,0.0009299698867835104,-3.6138615925112423
resnet18_no_weights,IMAGENET100,QAT,layer2.0.downsample.0.weight,0.0006325950962491333,4.765698263743699
resnet18_no_weights,IMAGENET100,QAT,layer2.1.conv1.weight,2.3213406166178174e-05,11.379589454903492
resnet18_no_weights,IMAGENET100,QAT,layer2.1.conv2.weight,0.0007628360763192177,-4.638848530560066
resnet18_no_weights,IMAGENET100,QAT,layer3.0.conv1.weight,2.3619382773176767e-05,11.331972673500776
