epoch,total_s,train_s,val_s
1,183.861,174.574,9.288
2,178.448,171.334,7.114
3,178.28,170.991,7.288
4,178.197,171.011,7.185
5,178.19,170.905,7.285
6,178.183,170.859,7.325
7,178.324,171.017,7.308
8,178.129,170.974,7.155
9,178.609,171.29,7.318
10,178.046,170.702,7.344
11,178.294,171.138,7.156
12,178.309,170.958,7.351
13,178.19,170.928,7.262
14,178.22,171.03,7.19
15,178.45,171.263,7.187
16,177.765,170.62,7.144
17,178.037,170.81,7.227
18,178.336,171.088,7.248
19,178.462,171.296,7.166
20,178.246,171.005,7.241
21,178.287,170.94,7.348
22,177.991,170.773,7.218
23,178.557,171.391,7.165
24,178.338,171.114,7.224
25,178.567,171.149,7.417
26,178.14,170.962,7.178
27,178.365,171.204,7.16
28,178.262,170.983,7.279
29,178.0,170.849,7.151
30,178.371,171.065,7.306
31,178.306,170.986,7.319
32,178.541,171.147,7.394
33,178.266,171.003,7.263
34,178.763,171.459,7.304
35,178.242,170.943,7.3
36,177.985,170.797,7.188
37,178.171,170.973,7.197
38,178.232,171.024,7.208
39,178.504,171.297,7.207
40,178.464,171.194,7.271
41,177.812,170.515,7.297
42,178.612,171.353,7.259
43,178.29,170.996,7.293
44,178.095,170.776,7.319
45,178.532,171.184,7.347
46,178.738,171.502,7.236
47,178.328,171.108,7.219
48,178.06,170.767,7.292
49,177.08,169.789,7.291
50,178.712,171.399,7.313
51,178.651,171.354,7.297
52,178.577,171.349,7.229
53,178.677,171.404,7.274
54,178.187,170.878,7.308
55,178.138,170.964,7.174
56,178.597,171.305,7.291
57,178.485,171.295,7.19
58,178.687,171.466,7.221
59,178.439,171.097,7.342
60,178.629,171.222,7.407
61,178.341,171.0,7.341
62,178.273,170.927,7.346
63,177.983,170.652,7.332
64,178.686,171.346,7.34
65,177.692,170.491,7.201
66,178.365,171.099,7.265
67,178.342,171.075,7.267
68,178.134,170.836,7.298
69,178.541,171.329,7.212
70,178.665,171.469,7.196
71,178.335,171.112,7.224
72,178.28,171.079,7.201
73,178.065,170.811,7.254
74,178.366,171.038,7.328
75,178.39,171.232,7.158
76,178.361,170.962,7.398
77,178.267,171.066,7.2
78,178.182,170.891,7.291
79,178.367,171.137,7.23
80,178.266,171.101,7.165
81,178.325,171.004,7.321
82,178.01,170.747,7.263
83,178.757,171.44,7.318
84,178.44,171.204,7.236
85,178.461,171.214,7.247
86,177.77,170.57,7.2
87,178.133,170.842,7.29
88,178.246,171.04,7.205
89,178.451,171.185,7.266
90,178.325,170.999,7.326
91,178.234,170.968,7.266
92,177.998,170.825,7.173
93,178.572,171.323,7.249
94,178.367,171.115,7.252
95,178.16,170.98,7.18
96,178.166,170.948,7.217
97,178.369,171.124,7.245
98,178.175,170.889,7.286
99,178.643,171.199,7.444
100,178.32,171.011,7.308
101,179.442,172.049,7.393
102,179.607,172.353,7.253
103,179.702,172.43,7.273
104,179.219,171.853,7.366
105,179.119,171.901,7.217
106,179.3,171.989,7.311
107,178.666,171.469,7.197
108,178.472,171.155,7.317
109,178.228,171.003,7.224
110,178.313,171.028,7.285
111,178.023,170.69,7.333
112,178.491,171.227,7.264
113,178.385,171.133,7.252
114,178.764,171.369,7.395
115,178.635,171.438,7.197
116,178.224,170.82,7.404
117,179.199,171.941,7.258
118,179.771,172.156,7.615
119,185.194,177.466,7.728
120,185.605,177.825,7.78
121,184.392,176.867,7.525
122,184.483,175.739,8.744
123,186.529,178.684,7.845
124,187.488,179.565,7.923
125,184.897,176.881,8.016
126,185.583,177.956,7.627
127,183.924,176.065,7.859
128,186.426,178.55,7.876
129,184.093,176.349,7.744
130,184.779,176.95,7.829
131,181.09,173.716,7.374
132,187.772,180.162,7.61
133,187.985,180.096,7.889
134,188.637,180.695,7.942
135,182.704,175.374,7.331
136,186.76,178.81,7.951
137,191.111,183.078,8.034
138,186.18,178.247,7.933
139,186.591,178.805,7.787
140,186.497,178.644,7.853
141,188.396,180.335,8.061
142,186.944,178.864,8.08
143,188.841,180.917,7.924
144,186.334,178.466,7.868
145,187.037,179.172,7.865
146,189.212,181.366,7.847
147,192.364,184.607,7.757
148,186.873,179.0,7.873
149,187.671,179.928,7.743
150,189.107,181.098,8.009
151,188.148,180.226,7.922
152,189.891,181.864,8.027
153,185.62,177.439,8.181
154,191.06,183.145,7.915
155,190.142,182.143,7.999
156,192.098,184.051,8.047
