model,dataset,stage,layer,mse,sqnr
cnn,IMAGENET100,PTQ,conv1.weight,0.032014358788728714,5.533181454120108
cnn,IMAGENET100,PTQ,conv2.weight,0.0036997778806835413,5.11571821546108
cnn,IMAGENET100,PTQ,conv3.weight,0.0004844197246711701,9.347873578768624
cnn,IMAGENET100,PTQ,conv4.weight,0.004413495305925608,-8.188890981064512
cnn,IMAGENET100,PTQ,fc1.weight,2.907026282628067e-05,13.329579539831649
cnn,IMAGENET100,PTQ,fc2.weight,0.00018783930863719434,13.741997024642247
cnn,IMAGENET100,QAT,conv1.weight,0.03056676685810089,5.7341344875506275
cnn,IMAGENET100,QAT,conv2.weight,0.0036579060833901167,5.165149223685823
cnn,IMAGENET100,QAT,conv3.weight,0.0004881933855358511,9.314172854467067
cnn,IMAGENET100,QAT,conv4.weight,0.0044104671105742455,-8.185910169223357
cnn,IMAGENET100,QAT,fc1.weight,2.914418109867256e-05,13.318550553587025
cnn,IMAGENET100,QAT,fc2.weight,0.00018910784274339676,13.712766431432357
resnet18_no_weights,IMAGENET100,PTQ,conv1.weight,0.0027811976615339518,2.129915982568853
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv1.weight,9.234829485649243e-05,8.983876309983593
resnet18_no_weights,IMAGENET100,PTQ,layer1.0.conv2.weight,0.0006584745133295655,-0.6911410052475909
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv1.weight,7.278050179593265e-05,8.930507220064602
resnet18_no_weights,IMAGENET100,PTQ,layer1.1.conv2.weight,0.0015992437256500125,-5.034473452252439
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv1.weight,0.00011843052197946236,6.3833638809425155
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.conv2.weight,0.0009456384577788413,-4.115042594287579
resnet18_no_weights,IMAGENET100,PTQ,layer2.0.downsample.0.weight,0.0005880100652575493,4.647905069647215
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv1.weight,2.398156539129559e-05,11.091067649688163
resnet18_no_weights,IMAGENET100,PTQ,layer2.1.conv2.weight,0.0007972608436830342,-4.842768939210099
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv1.weight,2.3526872610091232e-05,10.934216797464853
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.conv2.weight,0.00033160264138132334,-2.0360942622128806
resnet18_no_weights,IMAGENET100,PTQ,layer3.0.downsample.0.weight,0.0003133020654786378,1.2426490496273275
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv1.weight,9.504693480266724e-06,10.710732565215315
resnet18_no_weights,IMAGENET100,PTQ,layer3.1.conv2.weight,0.00037880774470977485,-5.717887029494895
resnet18_no_weights,IMAGENET100,PTQ,layer4.0.conv1.weight,1.9700813936651684e-05,8.545823794543763
