model,dataset,stage,config,batch,fp32_latency_ms,int8_latency_ms,fp32_throughput_ips,int8_throughput_ips,speedup_x
cnn,CIFAR10,PTQ,int8_weight_only,1,0.5902433767914772,0.6211469881236553,1694.216384834222,1609.92489558836,0.95024750675274
cnn,CIFAR10,PTQ,int8_dynamic_act,1,0.5902433767914772,2.7923760935664177,1694.216384834222,358.11794919172286,0.2113767476205612
cnn,CIFAR10,PTQ,int8_weight_only,2,0.6007533520460129,0.6324569694697857,3329.153292592558,3162.270473004165,0.9498722933666914
cnn,CIFAR10,PTQ,int8_dynamic_act,2,0.6007533520460129,3.085970412939787,3329.153292592558,648.0943535990485,0.19467242768336118
cnn,CIFAR10,PTQ,int8_weight_only,4,0.6047319620847702,0.6351866759359837,6614.500722287418,6297.361313673296,0.9520539157935946
cnn,CIFAR10,PTQ,int8_dynamic_act,4,0.6047319620847702,3.7129768170416355,6614.500722287418,1077.3027134564913,0.16286984591694773
cnn,CIFAR10,PTQ,int8_weight_only,8,0.6014523096382618,0.6313519552350044,13301.137715825764,12671.220756768238,0.9526418737618176
cnn,CIFAR10,PTQ,int8_dynamic_act,8,0.6014523096382618,4.363403655588627,13301.137715825764,1833.4311082481763,0.13784017182731295
cnn,CIFAR10,PTQ,int8_weight_only,16,0.6001428700983524,0.6313221529126167,26660.318396147726,25343.637834002333,0.9506127217769595
cnn,CIFAR10,PTQ,int8_dynamic_act,16,0.6001428700983524,4.357483703643084,26660.318396147726,3671.843909966471,0.13772693391752716
cnn,CIFAR10,PTQ,int8_weight_only,32,0.6038323044776917,0.6346018053591251,52994.84602381393,50425.321405902716,0.9515136883923284
cnn,CIFAR10,PTQ,int8_dynamic_act,32,0.6038323044776917,4.2617106810212135,52994.84602381393,7508.721824432247,0.1416877750915269
cnn,CIFAR10,PTQ,int8_weight_only,64,0.6284713745117188,0.6573512218892574,101834.39150227618,97360.43361425734,0.9560663365095197
cnn,CIFAR10,PTQ,int8_dynamic_act,64,0.6284713745117188,4.775330424308777,101834.39150227618,13402.213944025438,0.13160793467034046
cnn,CIFAR10,PTQ,int8_weight_only,128,0.6364868022501469,0.661076046526432,201103.9342017566,193623.71496072976,0.96280421230585
cnn,CIFAR10,PTQ,int8_dynamic_act,128,0.6364868022501469,4.895892459899187,201103.9342017566,26144.365107773567,0.1300042448773993
cnn,CIFAR10,PTQ,int8_weight_only,256,0.8163987658917904,0.7020402699708939,313572.25255033217,364651.4465767236,1.1628944959605205
cnn,CIFAR10,PTQ,int8_dynamic_act,256,0.8163987658917904,5.135517101734877,313572.25255033217,49848.92366798239,0.15897109282646438
cnn,CIFAR10,PTQ,int8_weight_only,512,1.4440296217799187,1.1957553215324879,354563.36371334683,428181.24308559834,1.2076296845823282
cnn,CIFAR10,PTQ,int8_dynamic_act,512,1.4440296217799187,5.589867942035198,354563.36371334683,91594.29262180162,0.25832982760128786
cnn,CIFAR10,PTQ,int8_weight_only,1024,2.649880014359951,2.1315254271030426,386432.59107991564,480407.1239214439,1.2431848012066196
cnn,CIFAR10,PTQ,int8_dynamic_act,1024,2.649880014359951,7.215429097414017,386432.59107991564,141918.1016368102,0.3672518957063355
cnn,CIFAR10,PTQ,int8_weight_only,2048,5.065008997917175,4.020860884338617,404342.8157466601,509343.6602039692,1.2596827255689318
cnn,CIFAR10,PTQ,int8_dynamic_act,2048,5.065008997917175,10.560523252934217,404342.8157466601,193929.78462795087,0.47961723833237846
cnn,CIFAR10,QAT,int8_weight_only,1,0.762369018048048,0.7696687243878841,1311.7007332753064,1299.2602769396638,0.9905157815193263
cnn,CIFAR10,QAT,int8_dynamic_act,1,0.762369018048048,3.283450845628977,1311.7007332753064,304.55762763472717,0.23218529951893002
cnn,CIFAR10,QAT,int8_weight_only,2,0.7768431678414345,0.7900036871433258,2574.5222237807343,2531.6337538019,0.9833411925588853
cnn,CIFAR10,QAT,int8_dynamic_act,2,0.7768431678414345,3.638248424977064,2574.5222237807343,549.7150734044799,0.2135211995168614
cnn,CIFAR10,QAT,int8_weight_only,4,0.7771137170493603,0.7881931960582733,5147.2518271684685,5074.89790574679,0.9859431937952254
cnn,CIFAR10,QAT,int8_dynamic_act,4,0.7771137170493603,4.361248109489679,5147.2518271684685,917.1686406229363,0.17818608286889973
cnn,CIFAR10,QAT,int8_weight_only,8,0.7711490616202354,0.7835435681045055,10374.129202973376,10210.025741584539,0.9841814712176707
cnn,CIFAR10,QAT,int8_dynamic_act,8,0.7711490616202354,5.1201884634792805,10374.129202973376,1562.442487627462,0.15060950727118796
cnn,CIFAR10,QAT,int8_weight_only,16,0.7730382494628429,0.7838183082640171,20697.552819822093,20412.893946604072,0.9862467376845923
cnn,CIFAR10,QAT,int8_dynamic_act,16,0.7730382494628429,5.129787605255842,20697.552819822093,3119.0375179679622,0.15069595643118028
cnn,CIFAR10,QAT,int8_weight_only,32,0.7765484042465687,0.7882234640419483,41207.99144651825,40597.62422689944,0.9851881346750186
cnn,CIFAR10,QAT,int8_dynamic_act,32,0.7765484042465687,5.012174602597952,41207.99144651825,6384.454361069843,0.15493243268980728
cnn,CIFAR10,QAT,int8_weight_only,64,0.8083581924438477,0.8176029659807682,79172.82288747972,78277.60253196712,0.9886928326809201
cnn,CIFAR10,QAT,int8_dynamic_act,64,0.8083581924438477,5.7103498838841915,79172.82288747972,11207.719544580177,0.14156018613241275
cnn,CIFAR10,QAT,int8_weight_only,128,0.8208425715565681,0.8127079345285892,155937.33126837332,157498.15470209028,1.0100092993834218
cnn,CIFAR10,QAT,int8_dynamic_act,128,0.8208425715565681,5.808747839182615,155937.33126837332,22035.73016831312,0.1413114485740999
cnn,CIFAR10,QAT,int8_weight_only,256,0.8306577801704407,0.8163629099726677,308189.49284682795,313586.0251276862,1.0175104356446714
cnn,CIFAR10,QAT,int8_dynamic_act,256,0.8306577801704407,6.062953732907772,308189.49284682795,42223.64399888357,0.13700546247976397
cnn,CIFAR10,QAT,int8_weight_only,512,1.4522639103233814,1.2018848210573196,352553.0011180894,425997.5590253186,1.2083220329264153
cnn,CIFAR10,QAT,int8_dynamic_act,512,1.4522639103233814,6.588781718164682,352553.0011180894,77707.84067538036,0.22041463391018398
cnn,CIFAR10,QAT,int8_weight_only,1024,2.660609781742096,2.1435851231217384,384874.1769751415,477704.37896524114,1.2411962338437048
cnn,CIFAR10,QAT,int8_dynamic_act,1024,2.660609781742096,7.7291131019592285,384874.1769751415,132486.09335790796,0.3442322225906704
cnn,CIFAR10,QAT,int8_weight_only,2048,5.071163177490234,4.03190590441227,403852.11998119415,507948.362028686,1.2577583152277105
cnn,CIFAR10,QAT,int8_dynamic_act,2048,5.071163177490234,11.086453683674335,403852.11998119415,184729.9468734388,0.4574197775216358
