epoch,total_s,train_s,val_s
1,4.062,3.271,0.791
2,3.746,2.929,0.816
3,3.794,2.998,0.797
4,3.763,2.956,0.807
5,3.701,2.912,0.789
6,3.672,2.854,0.818
7,3.78,2.977,0.803
8,3.782,2.998,0.785
9,3.79,2.997,0.793
10,3.728,2.89,0.839
11,3.799,3.009,0.791
12,3.744,2.936,0.808
13,3.736,2.931,0.806
14,3.798,2.991,0.807
15,3.789,2.991,0.798
16,3.678,2.887,0.791
17,3.701,2.899,0.802
18,3.852,3.061,0.791
19,3.693,2.895,0.798
20,3.72,2.895,0.824
21,3.694,2.911,0.783
22,3.857,3.032,0.825
23,3.766,2.929,0.837
24,3.699,2.904,0.794
25,3.77,2.966,0.804
26,3.773,2.952,0.821
27,3.831,3.02,0.812
28,3.779,2.994,0.785
29,3.796,2.991,0.805
30,3.866,3.054,0.813
31,3.742,2.938,0.804
32,3.764,2.979,0.785
33,3.744,2.969,0.774
34,3.75,2.947,0.802
35,3.733,2.949,0.784
36,3.763,2.965,0.798
