epoch,total_s,train_s,val_s
1,790.325,763.65,26.675
2,783.952,757.361,26.59
3,782.105,755.806,26.299
4,781.534,755.308,26.227
5,777.105,750.816,26.289
6,772.875,746.518,26.356
7,770.08,744.034,26.046
8,770.634,744.491,26.143
9,778.818,751.932,26.885
10,779.834,752.951,26.883
11,769.441,743.085,26.356
12,770.338,744.107,26.231
13,770.409,744.374,26.035
14,766.383,740.522,25.862
15,768.469,742.295,26.174
16,769.972,743.651,26.321
17,777.294,750.532,26.762
18,778.369,751.793,26.576
19,777.308,750.489,26.82
20,780.337,753.68,26.658
21,781.717,754.835,26.882
22,789.226,761.713,27.513
23,789.306,762.349,26.956
24,785.155,758.31,26.845
25,787.852,760.942,26.91
26,786.145,759.301,26.843
27,781.221,755.261,25.96
28,777.592,751.032,26.56
29,779.043,752.072,26.97
30,773.905,747.471,26.433
31,776.347,749.19,27.157
32,790.211,763.014,27.197
33,793.99,765.989,28.001
34,786.211,759.35,26.86
35,786.086,758.45,27.636
36,788.239,761.648,26.591
37,786.22,759.324,26.896
38,785.676,758.654,27.021
39,775.436,748.388,27.048
40,781.974,754.917,27.057
41,779.891,752.83,27.062
42,776.091,749.198,26.893
43,777.899,751.178,26.721
44,770.551,744.135,26.416
45,773.442,746.443,26.999
46,772.111,745.044,27.067
47,784.668,757.172,27.496
48,782.935,755.503,27.432
49,780.977,754.426,26.551
50,779.667,752.94,26.727
51,781.313,754.623,26.69
52,774.665,748.17,26.495
53,785.084,758.24,26.844
54,786.244,759.585,26.659
55,782.906,756.043,26.863
56,785.533,758.798,26.735
57,774.802,748.497,26.305
58,780.542,753.47,27.072
59,780.716,753.548,27.169
60,778.014,751.481,26.533
61,792.227,765.627,26.599
62,789.274,762.009,27.265
63,779.672,753.152,26.52
64,775.95,749.501,26.449
65,784.71,757.589,27.121
66,789.606,762.299,27.307
67,776.081,749.975,26.107
68,769.468,743.082,26.386
69,769.645,743.463,26.182
70,779.288,752.779,26.508
71,780.758,754.194,26.564
72,780.937,754.658,26.279
