epoch,total_s,train_s,val_s
1,26.365,24.194,2.171
2,26.088,24.062,2.026
3,26.02,24.011,2.01
4,25.941,23.906,2.035
5,25.961,23.934,2.027
6,25.752,23.728,2.024
7,25.971,23.917,2.054
8,25.894,23.837,2.057
9,25.885,23.854,2.031
10,25.985,23.95,2.034
11,26.05,24.006,2.044
12,26.04,24.008,2.032
13,25.987,23.942,2.045
14,25.965,23.91,2.055
15,25.974,23.936,2.038
16,25.948,23.907,2.04
17,26.021,23.98,2.042
18,25.767,23.717,2.05
19,25.995,23.952,2.044
20,25.914,23.884,2.03
21,26.014,23.976,2.038
22,25.987,23.95,2.037
