epoch,total_s,train_s,val_s
1,110.607,102.669,7.938
2,110.19,103.286,6.904
3,108.834,101.784,7.049
4,107.923,100.884,7.039
5,108.557,101.573,6.984
6,108.281,101.292,6.99
7,108.21,101.194,7.016
8,108.901,101.853,7.048
9,108.368,101.434,6.934
10,108.76,101.757,7.003
11,108.76,101.828,6.932
12,108.444,101.45,6.993
13,107.97,100.995,6.975
14,108.218,101.186,7.032
15,109.715,102.754,6.962
16,108.533,101.572,6.96
17,108.69,101.767,6.923
18,108.926,101.886,7.039
19,107.68,100.749,6.932
20,108.187,101.203,6.984
21,109.985,102.992,6.992
22,108.122,101.128,6.994
23,108.601,101.549,7.052
24,109.213,102.232,6.98
25,109.139,102.152,6.987
26,108.175,101.211,6.964
27,109.395,102.397,6.998
28,107.752,100.739,7.013
29,108.711,101.683,7.028
30,108.568,101.569,6.998
31,108.03,101.055,6.975
32,108.855,101.868,6.987
33,108.81,101.735,7.074
34,109.445,102.395,7.05
35,108.273,101.25,7.024
36,108.105,101.125,6.98
37,108.587,101.535,7.052
38,108.988,102.001,6.987
39,108.249,101.279,6.97
40,108.095,101.117,6.978
41,108.627,101.49,7.137
42,108.598,101.527,7.071
43,108.714,101.746,6.968
44,108.507,101.489,7.018
45,108.22,101.234,6.986
46,108.881,101.883,6.999
47,108.568,101.514,7.055
48,111.022,104.046,6.976
49,109.605,102.665,6.94
50,108.81,101.675,7.135
51,107.659,100.608,7.051
52,108.454,101.452,7.002
53,109.231,101.942,7.289
54,110.559,103.357,7.202
55,109.386,102.388,6.998
56,109.381,102.332,7.048
57,107.288,100.243,7.044
58,107.828,100.776,7.052
59,108.903,101.746,7.156
60,113.861,106.515,7.346
61,116.062,108.501,7.561
62,117.152,109.678,7.474
63,115.815,108.542,7.273
64,117.815,110.327,7.488
65,115.115,107.701,7.414
66,116.624,109.197,7.427
67,113.238,105.908,7.33
68,122.617,115.434,7.183
69,112.43,105.167,7.263
70,115.006,107.643,7.362
71,113.26,106.054,7.206
72,115.66,108.456,7.204
73,113.759,106.569,7.19
74,115.887,108.728,7.159
75,114.776,107.459,7.316
76,112.847,105.537,7.31
77,114.509,107.085,7.424
78,117.391,110.065,7.326
79,114.618,107.256,7.362
80,115.417,108.182,7.235
81,115.405,108.128,7.278
82,113.851,106.796,7.055
83,109.198,102.176,7.022
84,108.47,101.426,7.044
85,109.356,102.369,6.986
86,107.673,100.646,7.027
87,107.807,100.83,6.977
88,108.296,101.318,6.978
89,108.769,101.769,6.999
90,108.051,101.009,7.043
91,107.554,100.584,6.97
92,108.067,101.099,6.967
93,108.26,101.258,7.002
94,108.164,101.194,6.971
95,109.968,102.869,7.099
96,107.871,100.834,7.038
97,108.433,101.382,7.051
98,108.008,101.002,7.006
99,107.825,100.862,6.963
100,109.989,102.977,7.012
101,108.862,101.787,7.075
102,108.749,101.686,7.063
103,108.468,101.483,6.984
104,108.915,101.852,7.063
105,108.613,101.587,7.026
106,110.451,103.451,7.0
107,108.723,101.786,6.937
108,108.959,102.001,6.958
109,108.135,101.073,7.062
110,107.32,100.372,6.948
111,107.377,100.366,7.011
112,107.168,100.174,6.994
113,107.472,100.515,6.957
114,107.499,100.526,6.973
115,107.914,100.913,7.0
116,107.877,100.909,6.968
117,107.166,100.162,7.004
118,107.399,100.425,6.974
119,107.58,100.594,6.986
120,106.354,99.397,6.957
121,106.628,99.63,6.998
122,106.209,99.248,6.961
123,106.988,99.997,6.991
124,106.374,99.467,6.907
125,106.48,99.541,6.939
126,106.994,100.03,6.964
127,106.877,99.896,6.981
128,106.519,99.598,6.921
129,108.246,101.291,6.955
130,107.237,100.123,7.114
131,113.291,105.663,7.628
132,114.682,107.098,7.584
133,115.153,107.767,7.385
134,114.058,106.556,7.502
135,116.419,108.935,7.485
136,115.902,108.491,7.411
137,114.747,107.353,7.394
138,111.093,103.836,7.257
139,114.419,107.035,7.384
140,114.819,107.498,7.321
141,118.541,110.928,7.614
142,114.044,106.618,7.426
143,116.063,108.829,7.233
144,112.918,105.487,7.431
145,118.137,110.729,7.408
146,114.994,107.531,7.464
147,110.955,103.724,7.231
148,113.363,105.941,7.422
149,113.704,106.385,7.318
150,113.978,106.625,7.353
151,118.301,111.01,7.291
152,114.231,106.819,7.412
153,118.848,111.441,7.408
154,108.982,102.039,6.943
155,106.976,99.98,6.996
156,107.194,100.201,6.993
157,107.288,100.15,7.137
158,107.613,100.616,6.997
159,109.05,101.987,7.063
