model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99
cnn,CIFAR10,PTQ,conv1,-8.091721534729004,7.558411121368408,15.650132656097412,0.06137306988239288,132,1.6086854934692383,2.8054275512695312,6.657561302185059,4.138510186865414,9.728522274634832
cnn,CIFAR10,PTQ,conv2,-8.328008651733398,4.754361152648926,13.082369804382324,0.05130341276526451,162,0.8564859628677368,1.5384172201156616,4.127479076385498,4.819085490398032,15.274470769584083
cnn,CIFAR10,PTQ,conv3,-5.947083473205566,3.1554296016693115,9.102513074874878,0.035696130245923996,167,0.53297358751297,1.0345048904418945,2.7943837642669678,5.243006088362617,17.07873202000534
cnn,CIFAR10,PTQ,conv4,-3.486232280731201,3.6537742614746094,7.1400065422058105,0.02800002507865429,125,0.9165621399879456,1.6183584928512573,3.43198823928833,3.7444141423226003,7.789986331204685
cnn,CIFAR10,PTQ,fc1,-2.99546217918396,4.414804458618164,7.410266637802124,0.029059870168566704,103,0.8316959142684937,1.8845617771148682,4.209224224090576,5.061013468838235,8.909826909898577
cnn,CIFAR10,PTQ,fc2,-11.027742385864258,24.864330291748047,35.892072677612305,0.14075323939323425,78,12.08830451965332,22.780437469482422,23.254226684570312,1.9236963005658314,2.969156892040444
cnn,CIFAR10,QAT,conv1,-7.891393661499023,7.664823532104492,15.556217193603516,0.061004772782325745,129,1.5827783346176147,2.766735076904297,6.440704345703125,4.069239643249945,9.828424393591261
cnn,CIFAR10,QAT,conv2,-7.543217182159424,5.159477710723877,12.7026948928833,0.04981448873877525,151,0.8015497922897339,1.4589473009109497,3.8807568550109863,4.8415667901617025,15.847667874251902
cnn,CIFAR10,QAT,conv3,-5.9195451736450195,3.538827419281006,9.458372592926025,0.03709165379405022,160,0.5226949453353882,1.0301662683486938,2.881319046020508,5.512429518850052,18.09539709027996
cnn,CIFAR10,QAT,conv4,-3.473512649536133,4.190702438354492,7.664215087890625,0.03005574457347393,116,0.9582809805870056,1.6931943893432617,3.5513203144073486,3.7059279964337266,7.997878746582057
