model,dataset,stage,layer,hessian_trace,fp32_acc,isolated_acc,weight_damage_pts,leave_one_out_acc,leave_one_out_recovery_pts
cnn,CIFAR10,PTQ,conv1,268.70069908373284,80.03,69.47,10.560000000000002,77.64,11.420000000000002
cnn,CIFAR10,PTQ,conv2,798.4767532348633,80.03,78.51,1.519999999999996,68.51,2.2900000000000063
cnn,CIFAR10,PTQ,conv3,368.0720757378472,80.03,79.25,0.7800000000000011,66.66,0.4399999999999977
cnn,CIFAR10,PTQ,conv4,22.17500825361772,80.03,79.89,0.14000000000000057,66.52,0.29999999999999716
cnn,CIFAR10,PTQ,fc1,13.764831725587236,80.03,80.11,-0.0799999999999983,66.05,-0.1700000000000017
cnn,CIFAR10,PTQ,fc2,5.243991404771805,80.03,79.71,0.3200000000000074,66.53,0.3100000000000023
cnn,CIFAR10,QAT,conv1,170.55114459991455,80.03,84.61,-4.579999999999998,80.53,-4.769999999999996
cnn,CIFAR10,QAT,conv2,553.7812194824219,80.03,80.81,-0.7800000000000011,84.25,-1.0499999999999972
cnn,CIFAR10,QAT,conv3,261.40921783447266,80.03,80.05,-0.01999999999999602,85.17,-0.12999999999999545
cnn,CIFAR10,QAT,conv4,14.41961701711019,80.03,80.15,-0.12000000000000455,85.49,0.18999999999999773
cnn,CIFAR10,QAT,fc1,10.255356046888563,80.03,80.42,-0.39000000000000057,85.35,0.04999999999999716
cnn,CIFAR10,QAT,fc2,5.079000064304897,80.03,80.38,-0.3499999999999943,85.42,0.12000000000000455
resnet18_no_weights,CIFAR10,PTQ,conv1,96.21130180358888,84.69,83.79,0.8999999999999915,83.11,0.6799999999999926
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,52.224178512891136,84.69,84.95,-0.2600000000000051,82.03,-0.4000000000000057
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,45.33528804779053,84.69,84.81,-0.12000000000000455,82.29,-0.14000000000000057
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,216.10453451833416,84.69,84.45,0.23999999999999488,82.67,0.23999999999999488
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,24.98282623291016,84.69,84.36,0.3299999999999983,83.0,0.5699999999999932
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,153.32715797424316,84.69,84.63,0.060000000000002274,82.32,-0.11000000000001364
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,20.628141948154997,84.69,84.48,0.20999999999999375,82.65,0.21999999999999886
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,18.020284366607665,84.69,84.27,0.4200000000000017,83.05,0.6199999999999903
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,96.65882750480404,84.69,84.47,0.21999999999999886,82.55,0.11999999999999034
