model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,"(64, 3, 3, 3)",11.790860557556153,0.0068234146745116625,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,"(64, 64, 1, 1)",4.256371633211772,0.0010391532307645927,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,"(64, 64, 3, 3)",3.4999062382445043,9.494103293849024e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,"(256, 64, 1, 1)",2.912586544689379,0.00017777017484676386,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,"(256, 64, 1, 1)",16.56778051739647,0.0010112170725949995,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,"(64, 256, 1, 1)",2.7817051804671853,0.0001697818103312491,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,"(64, 64, 3, 3)",3.3943987920366485,9.207896028745248e-05,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,"(256, 64, 1, 1)",2.618541192263365,0.00015982307081685576,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,"(64, 256, 1, 1)",4.812057596881215,0.00029370468730964447,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,"(64, 64, 3, 3)",11.017738382021586,0.00029887528163035986,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",6.6918110847473145,0.00040843573515303433,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",16.07687373388381,0.0004906272501795597,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",27.06992295962661,0.00018357966416847473,20260811
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",31.084499061107635,0.0004743118142869207,20260811
