model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,"(64, 3, 3, 3)",14.139912585417429,0.008182819783227678,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,"(64, 3, 3, 3)",13.2882023027965,0.0076899318881924195,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,"(64, 3, 3, 3)",16.35560041003757,0.009465046533586556,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,"(64, 3, 3, 3)",14.594571766083833,0.008445932735002219,"42,43,44",aggregate,3,1.5834358259808667
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,"(64, 64, 1, 1)",3.5511611323607597,0.0008669826983302636,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,"(64, 64, 1, 1)",4.791814982891083,0.0011698767048073933,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,"(64, 64, 1, 1)",4.06581972195552,0.0009926317680555468,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,"(64, 64, 1, 1)",4.136265279069121,0.0010098303903977345,"42,43,44",aggregate,3,0.6233196825038606
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,"(64, 64, 3, 3)",4.2610045180601235,0.00011558714512966915,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,"(64, 64, 3, 3)",4.193192092995894,0.00011374761536989731,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,"(64, 64, 3, 3)",3.3185694879955716,9.002195876724098e-05,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,"(64, 64, 3, 3)",3.92425536635053,0.00010645223975560249,"42,43,44",aggregate,3,0.5256340634673858
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,"(256, 64, 1, 1)",2.977858986173357,0.00018175408851155744,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,"(256, 64, 1, 1)",2.777326354613671,0.0001695145480110883,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,"(256, 64, 1, 1)",2.8516866435175356,0.00017405313986313084,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,"(256, 64, 1, 1)",2.868957328101521,0.00017510725879525885,"42,43,44",aggregate,3,0.1013757440888246
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,"(256, 64, 1, 1)",19.757224082946777,0.0012058852589689195,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,"(256, 64, 1, 1)",15.814886591651224,0.0009652640741974624,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,"(256, 64, 1, 1)",16.269524657207988,0.0009930129795659172,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,"(256, 64, 1, 1)",17.280545110601995,0.0010547207709107663,"42,43,44",aggregate,3,2.1568792251084434
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,"(64, 256, 1, 1)",2.6021363638168156,0.00015882179954936618,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,"(64, 256, 1, 1)",2.297819438970314,0.00014024776849184045,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,"(64, 256, 1, 1)",2.8359072625637056,0.00017309004288108555,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,"(64, 256, 1, 1)",2.578621021783612,0.0001573865369740974,"42,43,44",aggregate,3,0.26981355591977246
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,"(64, 64, 3, 3)",3.508905839920044,9.518516275824772e-05,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,"(64, 64, 3, 3)",3.528678166238885,9.57215214366017e-05,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,"(64, 64, 3, 3)",3.2650647849747627,8.857055080769213e-05,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,"(64, 64, 3, 3)",3.434216263711231,9.315907833418053e-05,"42,43,44",aggregate,3,0.14682269337900392
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,"(256, 64, 1, 1)",2.41602667093277,0.00014746256536454894,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,"(256, 64, 1, 1)",2.373205954658574,0.00014484899625601648,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,"(256, 64, 1, 1)",2.6052555624319584,0.0001590121803242162,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,"(256, 64, 1, 1)",2.4648293960077674,0.0001504412473149272,"42,43,44",aggregate,3,0.12348293241579883
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,"(64, 256, 1, 1)",4.755393317010667,0.00029024617413395186,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,"(64, 256, 1, 1)",4.536699587390537,0.00027689816817569194,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,"(64, 256, 1, 1)",4.847277879714966,0.00029585436277557164,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,"(64, 256, 1, 1)",4.71312359470539,0.00028766623502840516,"42,43,44",aggregate,3,0.15954549816153882
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,"(64, 64, 3, 3)",13.134920156002044,0.0003563075129123818,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,"(64, 64, 3, 3)",12.882980012893677,0.0003494731991344856,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,"(64, 64, 3, 3)",12.221426782936886,0.0003315274192419945,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,"(64, 64, 3, 3)",12.746442317277536,0.0003457693770962873,"42,43,44",aggregate,3,0.47180445356271766
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",5.1393742055603955,0.00031368250766359836,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",5.538467748959859,0.0003380412444433508,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",5.343284469842911,0.0003261282025050605,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,"(256, 64, 1, 1)",5.340375474787722,0.00032595065153733654,"42,43,44",aggregate,3,0.19956267382694154
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",17.233585410647922,0.0005259272891433082,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",13.190627119757913,0.00040254599364495584,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",13.198736381530761,0.0004027934686746448,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,"(128, 256, 1, 1)",14.540982970645532,0.0004437555838209696,"42,43,44",aggregate,3,2.3318656404179348
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",27.206237651683665,0.00018450410733834952,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",29.390762329101562,0.00019931886345148087,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",30.301896003576424,0.00020549788413883752,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,"(128, 128, 3, 3)",28.966298661453884,0.00019644028497622262,"42,43,44",aggregate,3,1.5908809546209097
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",27.33037330165054,0.00041702840120926726,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",27.90734718243281,0.000425832323950696,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",28.418352270779543,0.00043362964280364293,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,"(512, 128, 1, 1)",27.8853575849543,0.0004254967893212021,"42,43,44",aggregate,3,0.5443227132085368
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",33.5867650440761,0.0002562466815496529,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",31.94202885260949,0.00024369834024512855,43,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",25.510972023010254,0.00019463327043922618,44,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,"(512, 256, 1, 1)",30.346588639898616,0.00023152609741133588,"42,43,44",aggregate,3,4.267748860233596
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,"(128, 512, 1, 1)",3.5460863944255943,5.410898428994132e-05,42,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,"(128, 512, 1, 1)",3.174165734877953,4.8433925397917985e-05,43,43,3,
