model,dataset,stage,excluded_layer,selection,excluded_trace,fp32_acc,all_quantized_acc,ablated_acc,recovery_pts,fraction_of_fp32_recovered,excluded_layer_still_fp32,other_layers_quantized
cnn,CIFAR10,PTQ,,none,,66.22,65.75,65.75,0.0,0.0,,True
cnn,CIFAR10,PTQ,conv2,top_trace,798.4767532348633,66.22,65.75,65.49,-0.2600000000000051,-0.5531914893617144,True,True
cnn,CIFAR10,PTQ,conv3,top_trace,368.0720757378472,66.22,65.75,65.59,-0.1599999999999966,-0.34042553191488717,True,True
cnn,CIFAR10,PTQ,conv1,top_trace,268.70069908373284,66.22,65.75,65.52,-0.23000000000000398,-0.4893617021276692,True,True
cnn,CIFAR10,PTQ,fc2,low_trace,5.243991404771805,66.22,65.75,65.54,-0.20999999999999375,-0.44680851063828564,True,True
cnn,CIFAR10,PTQ,fc1,low_trace,13.764831725587236,66.22,65.75,65.61,-0.14000000000000057,-0.29787234042553384,True,True
cnn,CIFAR10,PTQ,conv4,low_trace,22.17500825361772,66.22,65.75,65.87,0.12000000000000455,0.2553191489361805,True,True
cnn,CIFAR10,QAT,,none,,85.3,85.25,85.25,0.0,0.0,,True
cnn,CIFAR10,QAT,conv2,top_trace,553.7812194824219,85.3,85.25,85.23,-0.01999999999999602,-0.3999999999999432,True,True
cnn,CIFAR10,QAT,conv3,top_trace,261.40921783447266,85.3,85.25,85.26,0.010000000000005116,0.2000000000001137,True,True
cnn,CIFAR10,QAT,conv1,top_trace,170.55114459991455,85.3,85.25,85.34,0.09000000000000341,1.8000000000001706,True,True
cnn,CIFAR10,QAT,fc2,low_trace,5.079000064304897,85.3,85.25,85.12,-0.12999999999999545,-2.600000000000057,True,True
cnn,CIFAR10,QAT,fc1,low_trace,10.255356046888563,85.3,85.25,84.98,-0.269999999999996,-5.400000000000228,True,True
cnn,CIFAR10,QAT,conv4,low_trace,14.41961701711019,85.3,85.25,85.24,-0.010000000000005116,-0.2000000000001137,True,True
resnet18_no_weights,CIFAR10,PTQ,,none,,82.43,81.9,81.9,0.0,0.0,,True
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,top_trace,217.74737646640875,82.43,81.9,81.96,0.05999999999998806,0.11320754716978855,True,True
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,top_trace,216.10453451833416,82.43,81.9,81.99,0.0899999999999892,0.16981132075469624,True,True
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,top_trace,153.32715797424316,82.43,81.9,81.85,-0.05000000000001137,-0.09433962264153069,True,True
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,low_trace,2.339421865986843,82.43,81.9,82.14,0.23999999999999488,0.45283018867923464,True,True
