model,dataset,stage,layer,mse,sqnr
cnn,CIFAR10,PTQ,conv1.weight,0.04265599325299263,4.809991478606889
cnn,CIFAR10,PTQ,conv2.weight,0.0032933491747826338,4.5583420340066665
cnn,CIFAR10,PTQ,conv3.weight,0.00036955715040676296,10.350953368434428
cnn,CIFAR10,PTQ,conv4.weight,0.0006691560847684741,0.9267498139631534
cnn,CIFAR10,PTQ,fc1.weight,8.763245205045678e-06,10.730001344355458
cnn,CIFAR10,PTQ,fc2.weight,0.00020843453239649534,13.798301291485757
cnn,CIFAR10,QAT,conv1.weight,0.043337803333997726,4.741123124714316
cnn,CIFAR10,QAT,conv2.weight,0.0032790754921734333,4.577205670042429
cnn,CIFAR10,QAT,conv3.weight,0.0003702688845805824,10.342597287274483
cnn,CIFAR10,QAT,conv4.weight,0.0006680081132799387,0.9342067561407409
cnn,CIFAR10,QAT,fc1.weight,8.773653462412767e-06,10.724846214754468
cnn,CIFAR10,QAT,fc2.weight,0.00021033702068962157,13.758840834067312
resnet18_no_weights,CIFAR10,PTQ,conv1.weight,0.009178224951028824,3.6202427195429743
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,0.00011746189557015896,8.893785335077922
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,0.00010412527626613155,9.803611145029302
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,0.0003146073722746223,5.150621135785759
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,0.0001924072566907853,6.618198533571102
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,0.00014478321827482432,5.9205671313786565
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,0.0001021540374495089,6.267619664305729
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,0.0007364543271251023,6.292751673122943
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,8.417585922870785e-05,7.177875407215943
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,0.00015110692766029388,3.733097810167589
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,7.20151438144967e-05,6.3012002925449035
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,4.90450365759898e-05,6.670814626680038
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,0.00012122278712922707,9.491688214704011
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,1.6155227058334276e-05,11.125902228698038
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,0.00011135067325085402,1.0901196183852915
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,8.044033165788278e-06,9.54698973759458
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,3.112038757535629e-05,0.8463280951470854
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,0.0003051654784940183,0.33002632088862816
