model,dataset,init,seed,n_seeds,layer,hessian_trace
resnet50_no_weights,CIFAR10,trained_fp32,,,conv1.weight,13.854269593954086
resnet50_no_weights,CIFAR10,trained_fp32,,,layer1.0.conv1.weight,4.202989456328479
resnet50_no_weights,CIFAR10,trained_fp32,,,layer1.0.conv2.weight,5.18633853337344
resnet50_no_weights,CIFAR10,trained_fp32,,,layer1.0.conv3.weight,2.5843531351823072
resnet50_no_weights,CIFAR10,trained_fp32,,,layer1.0.downsample.0.weight,20.24349365234375
resnet50_no_weights,CIFAR10,trained_fp32,,,layer1.1.conv1.weight,2.5336915675331566
resnet50_no_weights,CIFAR10,trained_fp32,,,layer1.1.conv2.weight,3.8997017193813712
resnet50_no_weights,CIFAR10,trained_fp32,,,layer1.1.conv3.weight,2.2005261458732464
resnet50_no_weights,CIFAR10,trained_fp32,,,layer1.2.conv1.weight,4.492834632856804
resnet50_no_weights,CIFAR10,trained_fp32,,,layer1.2.conv2.weight,13.14972712653024
resnet50_no_weights,CIFAR10,trained_fp32,,,layer1.2.conv3.weight,5.899228826949471
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.0.conv1.weight,14.452366821693651
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.0.conv2.weight,25.743099354861076
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.0.conv3.weight,28.719433585802715
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.0.downsample.0.weight,31.2233624458313
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.1.conv1.weight,2.7940724343061447
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.1.conv2.weight,7.6539062431880405
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.1.conv3.weight,10.659944693247477
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.2.conv1.weight,5.363294363021851
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.2.conv2.weight,7.020032872324404
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.2.conv3.weight,7.496833610534668
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.3.conv1.weight,5.761762176241193
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.3.conv2.weight,13.879839420318604
resnet50_no_weights,CIFAR10,trained_fp32,,,layer2.3.conv3.weight,8.157908473696027
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.0.conv1.weight,44.598291840664174
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.0.conv2.weight,43.531914324373815
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.0.conv3.weight,33.12906239827474
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.0.downsample.0.weight,38.37799238389538
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.1.conv1.weight,8.38594094382392
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.1.conv2.weight,20.568344116210938
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.1.conv3.weight,12.874013827397274
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.2.conv1.weight,12.442792800164991
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.2.conv2.weight,26.75468989780971
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.2.conv3.weight,13.416655120395479
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.3.conv1.weight,18.18669190406799
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.3.conv2.weight,35.089007186889646
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.3.conv3.weight,16.22146458192305
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.4.conv1.weight,19.161980108781293
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.4.conv2.weight,28.039100027084352
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.4.conv3.weight,16.284952548833992
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.5.conv1.weight,18.202667236328125
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.5.conv2.weight,13.661079618665907
resnet50_no_weights,CIFAR10,trained_fp32,,,layer3.5.conv3.weight,6.8061870300408565
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.0.conv1.weight,28.000214020411175
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.0.conv2.weight,16.334599214441635
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.0.conv3.weight,11.985764051095034
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.0.downsample.0.weight,37.72587934033624
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.1.conv1.weight,27.3637997978612
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.1.conv2.weight,62.94841799736023
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.1.conv3.weight,18.884761810302734
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.2.conv1.weight,20.188147650824654
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.2.conv2.weight,14.328316779363723
resnet50_no_weights,CIFAR10,trained_fp32,,,layer4.2.conv3.weight,5.937657625778861
resnet50_no_weights,CIFAR10,trained_fp32,,,fc.weight,5.148173117637635
resnet50_no_weights,CIFAR10,random,42,3,conv1.weight,134.92156688983624
resnet50_no_weights,CIFAR10,random,42,3,layer1.0.conv1.weight,25.885586579640705
resnet50_no_weights,CIFAR10,random,42,3,layer1.0.conv2.weight,267.88256683349607
resnet50_no_weights,CIFAR10,random,42,3,layer1.0.conv3.weight,114.3685297758683
resnet50_no_weights,CIFAR10,random,42,3,layer1.0.downsample.0.weight,132.47452396816678
resnet50_no_weights,CIFAR10,random,42,3,layer1.1.conv1.weight,36.17229959441394
resnet50_no_weights,CIFAR10,random,42,3,layer1.1.conv2.weight,336.2445495605469
resnet50_no_weights,CIFAR10,random,42,3,layer1.1.conv3.weight,175.41260840676048
resnet50_no_weights,CIFAR10,random,42,3,layer1.2.conv1.weight,51.190443311418804
resnet50_no_weights,CIFAR10,random,42,3,layer1.2.conv2.weight,549.2859414907603
resnet50_no_weights,CIFAR10,random,42,3,layer1.2.conv3.weight,252.13253479003907
resnet50_no_weights,CIFAR10,random,42,3,layer2.0.conv1.weight,131.39501190185547
resnet50_no_weights,CIFAR10,random,42,3,layer2.0.conv2.weight,1064.0390737433183
resnet50_no_weights,CIFAR10,random,42,3,layer2.0.conv3.weight,554.5269165039062
resnet50_no_weights,CIFAR10,random,42,3,layer2.0.downsample.0.weight,524.6012641059028
resnet50_no_weights,CIFAR10,random,42,3,layer2.1.conv1.weight,188.27268600463867
resnet50_no_weights,CIFAR10,random,42,3,layer2.1.conv2.weight,1344.1357601390166
resnet50_no_weights,CIFAR10,random,42,3,layer2.1.conv3.weight,503.2827850341797
resnet50_no_weights,CIFAR10,random,42,3,layer2.2.conv1.weight,149.20758921305338
resnet50_no_weights,CIFAR10,random,42,3,layer2.2.conv2.weight,1159.4744601779514
resnet50_no_weights,CIFAR10,random,42,3,layer2.2.conv3.weight,707.8974715252311
resnet50_no_weights,CIFAR10,random,42,3,layer2.3.conv1.weight,239.88541211579977
resnet50_no_weights,CIFAR10,random,42,3,layer2.3.conv2.weight,2169.3280976394126
resnet50_no_weights,CIFAR10,random,42,3,layer2.3.conv3.weight,414.9141845703125
resnet50_no_weights,CIFAR10,random,42,3,layer3.0.conv1.weight,340.15154506542063
resnet50_no_weights,CIFAR10,random,42,3,layer3.0.conv2.weight,3218.0614969004755
resnet50_no_weights,CIFAR10,random,42,3,layer3.0.conv3.weight,1175.0310437432652
resnet50_no_weights,CIFAR10,random,42,3,layer3.0.downsample.0.weight,1578.988321109694
resnet50_no_weights,CIFAR10,random,42,3,layer3.1.conv1.weight,405.6277645111084
resnet50_no_weights,CIFAR10,random,42,3,layer3.1.conv2.weight,5196.816577148437
resnet50_no_weights,CIFAR10,random,42,3,layer3.1.conv3.weight,2054.5458152077413
resnet50_no_weights,CIFAR10,random,42,3,layer3.2.conv1.weight,613.8803545977619
resnet50_no_weights,CIFAR10,random,42,3,layer3.2.conv2.weight,5685.2244873046875
resnet50_no_weights,CIFAR10,random,42,3,layer3.2.conv3.weight,3405.342775002504
resnet50_no_weights,CIFAR10,random,42,3,layer3.3.conv1.weight,1249.6693404348273
resnet50_no_weights,CIFAR10,random,42,3,layer3.3.conv2.weight,6894.7140558416195
resnet50_no_weights,CIFAR10,random,42,3,layer3.3.conv3.weight,5962.142923990886
resnet50_no_weights,CIFAR10,random,42,3,layer3.4.conv1.weight,879.4384292343916
resnet50_no_weights,CIFAR10,random,42,3,layer3.4.conv2.weight,9483.306892641129
resnet50_no_weights,CIFAR10,random,42,3,layer3.4.conv3.weight,5670.32768157959
resnet50_no_weights,CIFAR10,random,42,3,layer3.5.conv1.weight,1924.7345733642578
resnet50_no_weights,CIFAR10,random,42,3,layer3.5.conv2.weight,19117.322117396765
resnet50_no_weights,CIFAR10,random,42,3,layer3.5.conv3.weight,9585.639461669922
resnet50_no_weights,CIFAR10,random,42,3,layer4.0.conv1.weight,2923.750998661436
resnet50_no_weights,CIFAR10,random,42,3,layer4.0.conv2.weight,25350.625668480283
resnet50_no_weights,CIFAR10,random,42,3,layer4.0.conv3.weight,28754.145281756366
resnet50_no_weights,CIFAR10,random,42,3,layer4.0.downsample.0.weight,22274.125396332183
resnet50_no_weights,CIFAR10,random,42,3,layer4.1.conv1.weight,6333.262267303467
resnet50_no_weights,CIFAR10,random,42,3,layer4.1.conv2.weight,43242.55078125
resnet50_no_weights,CIFAR10,random,42,3,layer4.1.conv3.weight,30665.52559037642
resnet50_no_weights,CIFAR10,random,42,3,layer4.2.conv1.weight,10134.542855655445
resnet50_no_weights,CIFAR10,random,42,3,layer4.2.conv2.weight,75852.50330050486
resnet50_no_weights,CIFAR10,random,42,3,layer4.2.conv3.weight,34207.08497546968
resnet50_no_weights,CIFAR10,random,42,3,fc.weight,717973.8248885717
resnet50_no_weights,CIFAR10,random,43,3,conv1.weight,89.7639520433214
resnet50_no_weights,CIFAR10,random,43,3,layer1.0.conv1.weight,18.057443194919163
resnet50_no_weights,CIFAR10,random,43,3,layer1.0.conv2.weight,167.54300062997
resnet50_no_weights,CIFAR10,random,43,3,layer1.0.conv3.weight,105.22378794352214
resnet50_no_weights,CIFAR10,random,43,3,layer1.0.downsample.0.weight,78.49094772338867
resnet50_no_weights,CIFAR10,random,43,3,layer1.1.conv1.weight,28.639712512493134
resnet50_no_weights,CIFAR10,random,43,3,layer1.1.conv2.weight,338.20873484892
resnet50_no_weights,CIFAR10,random,43,3,layer1.1.conv3.weight,149.07227120032678
resnet50_no_weights,CIFAR10,random,43,3,layer1.2.conv1.weight,39.4530461918224
resnet50_no_weights,CIFAR10,random,43,3,layer1.2.conv2.weight,340.4019018102575
resnet50_no_weights,CIFAR10,random,43,3,layer1.2.conv3.weight,93.39238204956055
resnet50_no_weights,CIFAR10,random,43,3,layer2.0.conv1.weight,48.380325513008316
resnet50_no_weights,CIFAR10,random,43,3,layer2.0.conv2.weight,469.96479361397877
resnet50_no_weights,CIFAR10,random,43,3,layer2.0.conv3.weight,201.62992519802518
resnet50_no_weights,CIFAR10,random,43,3,layer2.0.downsample.0.weight,231.0667724609375
resnet50_no_weights,CIFAR10,random,43,3,layer2.1.conv1.weight,74.68975366864886
resnet50_no_weights,CIFAR10,random,43,3,layer2.1.conv2.weight,685.778588189019
resnet50_no_weights,CIFAR10,random,43,3,layer2.1.conv3.weight,343.4646743248249
resnet50_no_weights,CIFAR10,random,43,3,layer2.2.conv1.weight,108.1742027684262
resnet50_no_weights,CIFAR10,random,43,3,layer2.2.conv2.weight,1111.2252766927083
resnet50_no_weights,CIFAR10,random,43,3,layer2.2.conv3.weight,475.0840077119715
resnet50_no_weights,CIFAR10,random,43,3,layer2.3.conv1.weight,122.0929898071289
resnet50_no_weights,CIFAR10,random,43,3,layer2.3.conv2.weight,828.0290222167969
resnet50_no_weights,CIFAR10,random,43,3,layer2.3.conv3.weight,438.6904037475586
resnet50_no_weights,CIFAR10,random,43,3,layer3.0.conv1.weight,228.41758134629993
resnet50_no_weights,CIFAR10,random,43,3,layer3.0.conv2.weight,1979.1620178222656
resnet50_no_weights,CIFAR10,random,43,3,layer3.0.conv3.weight,614.7015075683594
resnet50_no_weights,CIFAR10,random,43,3,layer3.0.downsample.0.weight,1078.8289998372395
resnet50_no_weights,CIFAR10,random,43,3,layer3.1.conv1.weight,268.2148779355563
resnet50_no_weights,CIFAR10,random,43,3,layer3.1.conv2.weight,2439.7179064069473
resnet50_no_weights,CIFAR10,random,43,3,layer3.1.conv3.weight,1110.3654875884185
resnet50_no_weights,CIFAR10,random,43,3,layer3.2.conv1.weight,328.0800843011765
resnet50_no_weights,CIFAR10,random,43,3,layer3.2.conv2.weight,2555.862620035807
resnet50_no_weights,CIFAR10,random,43,3,layer3.2.conv3.weight,1227.6341099330357
resnet50_no_weights,CIFAR10,random,43,3,layer3.3.conv1.weight,337.03692563374835
resnet50_no_weights,CIFAR10,random,43,3,layer3.3.conv2.weight,3745.2254753112793
resnet50_no_weights,CIFAR10,random,43,3,layer3.3.conv3.weight,2237.0182099342346
resnet50_no_weights,CIFAR10,random,43,3,layer3.4.conv1.weight,574.1644744873047
resnet50_no_weights,CIFAR10,random,43,3,layer3.4.conv2.weight,6338.554975793717
resnet50_no_weights,CIFAR10,random,43,3,layer3.4.conv3.weight,3197.576551250383
resnet50_no_weights,CIFAR10,random,43,3,layer3.5.conv1.weight,870.2899594514266
resnet50_no_weights,CIFAR10,random,43,3,layer3.5.conv2.weight,2036.5296456473213
resnet50_no_weights,CIFAR10,random,43,3,layer3.5.conv3.weight,3986.1443830217636
resnet50_no_weights,CIFAR10,random,43,3,layer4.0.conv1.weight,2372.066957913912
resnet50_no_weights,CIFAR10,random,43,3,layer4.0.conv2.weight,16599.25439453125
resnet50_no_weights,CIFAR10,random,43,3,layer4.0.conv3.weight,6899.637158203125
resnet50_no_weights,CIFAR10,random,43,3,layer4.0.downsample.0.weight,14891.1060888117
resnet50_no_weights,CIFAR10,random,43,3,layer4.1.conv1.weight,1748.114644564115
resnet50_no_weights,CIFAR10,random,43,3,layer4.1.conv2.weight,22652.26522739955
resnet50_no_weights,CIFAR10,random,43,3,layer4.1.conv3.weight,9846.98637873952
resnet50_no_weights,CIFAR10,random,43,3,layer4.2.conv1.weight,2202.497950503701
resnet50_no_weights,CIFAR10,random,43,3,layer4.2.conv2.weight,31685.800073960247
resnet50_no_weights,CIFAR10,random,43,3,layer4.2.conv3.weight,29820.46113170277
resnet50_no_weights,CIFAR10,random,43,3,fc.weight,378855.38375756046
resnet50_no_weights,CIFAR10,random,44,3,conv1.weight,0.6755331456661224
resnet50_no_weights,CIFAR10,random,44,3,layer1.0.conv1.weight,0.1300323632442289
resnet50_no_weights,CIFAR10,random,44,3,layer1.0.conv2.weight,1.4856049636515176
resnet50_no_weights,CIFAR10,random,44,3,layer1.0.conv3.weight,0.5996624883264303
resnet50_no_weights,CIFAR10,random,44,3,layer1.0.downsample.0.weight,0.5559882203737895
resnet50_no_weights,CIFAR10,random,44,3,layer1.1.conv1.weight,0.17544676752930338
resnet50_no_weights,CIFAR10,random,44,3,layer1.1.conv2.weight,2.1900340569646737
resnet50_no_weights,CIFAR10,random,44,3,layer1.1.conv3.weight,0.5308165642721899
resnet50_no_weights,CIFAR10,random,44,3,layer1.2.conv1.weight,0.23031614625301117
resnet50_no_weights,CIFAR10,random,44,3,layer1.2.conv2.weight,1.1983247561888262
resnet50_no_weights,CIFAR10,random,44,3,layer1.2.conv3.weight,0.8327630597191888
resnet50_no_weights,CIFAR10,random,44,3,layer2.0.conv1.weight,0.34182281381097335
resnet50_no_weights,CIFAR10,random,44,3,layer2.0.conv2.weight,3.216598077824241
resnet50_no_weights,CIFAR10,random,44,3,layer2.0.conv3.weight,1.3400890669401955
resnet50_no_weights,CIFAR10,random,44,3,layer2.0.downsample.0.weight,1.4349898745616276
resnet50_no_weights,CIFAR10,random,44,3,layer2.1.conv1.weight,0.4130890895173235
resnet50_no_weights,CIFAR10,random,44,3,layer2.1.conv2.weight,2.4245955757796764
resnet50_no_weights,CIFAR10,random,44,3,layer2.1.conv3.weight,1.3221520201156014
