model,dataset,init,seed,n_seeds,layer,hessian_trace
cnn,CIFAR10,random,42,3,conv1.weight,0.4178177446126938
cnn,CIFAR10,random,42,3,conv2.weight,3.9484623231385885
cnn,CIFAR10,random,42,3,conv3.weight,5.540451858354651
cnn,CIFAR10,random,42,3,conv4.weight,12.918965021769205
cnn,CIFAR10,random,42,3,fc1.weight,12.16256186541389
cnn,CIFAR10,random,42,3,fc2.weight,11.337008254868644
cnn,CIFAR10,random,43,3,conv1.weight,0.35774340480566025
cnn,CIFAR10,random,43,3,conv2.weight,3.7702147430843778
cnn,CIFAR10,random,43,3,conv3.weight,5.972381599021681
cnn,CIFAR10,random,43,3,conv4.weight,13.4508605533176
cnn,CIFAR10,random,43,3,fc1.weight,10.344878729651956
cnn,CIFAR10,random,43,3,fc2.weight,11.550662065163637
cnn,CIFAR10,random,44,3,conv1.weight,0.46486259291046544
cnn,CIFAR10,random,44,3,conv2.weight,3.6674498973354215
cnn,CIFAR10,random,44,3,conv3.weight,6.498413549150739
cnn,CIFAR10,random,44,3,conv4.weight,10.8812064743042
cnn,CIFAR10,random,44,3,fc1.weight,10.653912782669067
cnn,CIFAR10,random,44,3,fc2.weight,13.670280023054643
