model,dataset,spike_layer,descriptor,spearman_vs_residual,partial_corr_controlling_numel,spike_A_share,spike_G_share,resolution_contrast_ratio,hypothesis_supported
resnet50_no_weights,CIFAR10,conv1,output_map,-0.03257863443458939,-0.11874469788648909,1.5719406257925994,-0.5719406257925994,nan,undetermined
resnet50_no_weights,CIFAR10,conv1,fan_in,0.059066921620808704,0.034174467622404704,1.5719406257925994,-0.5719406257925994,nan,undetermined
resnet50_no_weights,CIFAR10,conv1,tr_A_prev,0.27612495002060866,0.2639699073762688,1.5719406257925994,-0.5719406257925994,nan,undetermined
resnet18_no_weights,CIFAR10,conv1,output_map,0.5735372939706401,0.43831878148219017,1.242282611682394,-0.2422826116823939,nan,undetermined
resnet18_no_weights,CIFAR10,conv1,fan_in,-0.08235384029154097,-0.5019681455408178,1.242282611682394,-0.2422826116823939,nan,undetermined
resnet18_no_weights,CIFAR10,conv1,tr_A_prev,0.212987012987013,0.16682051109524826,1.242282611682394,-0.2422826116823939,nan,undetermined
resnet18_no_weights,CIFAR10,layer1.1.conv1,output_map,0.5735372939706401,0.43831878148219017,-0.8687953240145697,1.8687953240145698,nan,undetermined
resnet18_no_weights,CIFAR10,layer1.1.conv1,fan_in,-0.08235384029154097,-0.5019681455408178,-0.8687953240145697,1.8687953240145698,nan,undetermined
resnet18_no_weights,CIFAR10,layer1.1.conv1,tr_A_prev,0.212987012987013,0.16682051109524826,-0.8687953240145697,1.8687953240145698,nan,undetermined
cnn,CIFAR10,conv1,output_map,0.5797710356524485,0.2986148647591515,22.462828132555238,-21.462828132555238,nan,undetermined
cnn,CIFAR10,conv1,fan_in,-0.28988551782622424,-0.7379167877600414,22.462828132555238,-21.462828132555238,nan,undetermined
cnn,CIFAR10,conv1,tr_A_prev,0.6571428571428573,0.6254273834182489,22.462828132555238,-21.462828132555238,nan,undetermined
cnn,CIFAR10,conv2,output_map,0.5797710356524485,0.2986148647591515,-3.701741412642406,4.701741412642407,nan,undetermined
cnn,CIFAR10,conv2,fan_in,-0.28988551782622424,-0.7379167877600414,-3.701741412642406,4.701741412642407,nan,undetermined
cnn,CIFAR10,conv2,tr_A_prev,0.6571428571428573,0.6254273834182489,-3.701741412642406,4.701741412642407,nan,undetermined
