model,dataset,layer,layer_type,fan_in,fan_out,kh,kw,input_map,output_map,numel
resnet50_no_weights,CIFAR10,conv1,conv,27,576,3,3,1024,1024,1728
resnet50_no_weights,CIFAR10,layer1.0.conv1,conv,64,64,1,1,1024,1024,4096
resnet50_no_weights,CIFAR10,layer1.0.conv2,conv,576,576,3,3,1024,1024,36864
resnet50_no_weights,CIFAR10,layer1.0.conv3,conv,64,256,1,1,1024,1024,16384
resnet50_no_weights,CIFAR10,layer1.0.downsample.0,conv,64,256,1,1,1024,1024,16384
resnet50_no_weights,CIFAR10,layer1.1.conv1,conv,256,64,1,1,1024,1024,16384
resnet50_no_weights,CIFAR10,layer1.1.conv2,conv,576,576,3,3,1024,1024,36864
resnet50_no_weights,CIFAR10,layer1.1.conv3,conv,64,256,1,1,1024,1024,16384
resnet50_no_weights,CIFAR10,layer1.2.conv1,conv,256,64,1,1,1024,1024,16384
resnet50_no_weights,CIFAR10,layer1.2.conv2,conv,576,576,3,3,1024,1024,36864
resnet50_no_weights,CIFAR10,layer1.2.conv3,conv,64,256,1,1,1024,1024,16384
resnet50_no_weights,CIFAR10,layer2.0.conv1,conv,256,128,1,1,1024,1024,32768
resnet50_no_weights,CIFAR10,layer2.0.conv2,conv,1152,1152,3,3,1024,256,147456
resnet50_no_weights,CIFAR10,layer2.0.conv3,conv,128,512,1,1,256,256,65536
resnet50_no_weights,CIFAR10,layer2.0.downsample.0,conv,256,512,1,1,1024,256,131072
resnet50_no_weights,CIFAR10,layer2.1.conv1,conv,512,128,1,1,256,256,65536
resnet50_no_weights,CIFAR10,layer2.1.conv2,conv,1152,1152,3,3,256,256,147456
resnet50_no_weights,CIFAR10,layer2.1.conv3,conv,128,512,1,1,256,256,65536
resnet50_no_weights,CIFAR10,layer2.2.conv1,conv,512,128,1,1,256,256,65536
resnet50_no_weights,CIFAR10,layer2.2.conv2,conv,1152,1152,3,3,256,256,147456
resnet50_no_weights,CIFAR10,layer2.2.conv3,conv,128,512,1,1,256,256,65536
resnet50_no_weights,CIFAR10,layer2.3.conv1,conv,512,128,1,1,256,256,65536
resnet50_no_weights,CIFAR10,layer2.3.conv2,conv,1152,1152,3,3,256,256,147456
resnet50_no_weights,CIFAR10,layer2.3.conv3,conv,128,512,1,1,256,256,65536
resnet50_no_weights,CIFAR10,layer3.0.conv1,conv,512,256,1,1,256,256,131072
resnet50_no_weights,CIFAR10,layer3.0.conv2,conv,2304,2304,3,3,256,64,589824
resnet50_no_weights,CIFAR10,layer3.0.conv3,conv,256,1024,1,1,64,64,262144
resnet50_no_weights,CIFAR10,layer3.0.downsample.0,conv,512,1024,1,1,256,64,524288
resnet50_no_weights,CIFAR10,layer3.1.conv1,conv,1024,256,1,1,64,64,262144
resnet50_no_weights,CIFAR10,layer3.1.conv2,conv,2304,2304,3,3,64,64,589824
resnet50_no_weights,CIFAR10,layer3.1.conv3,conv,256,1024,1,1,64,64,262144
resnet50_no_weights,CIFAR10,layer3.2.conv1,conv,1024,256,1,1,64,64,262144
resnet50_no_weights,CIFAR10,layer3.2.conv2,conv,2304,2304,3,3,64,64,589824
resnet50_no_weights,CIFAR10,layer3.2.conv3,conv,256,1024,1,1,64,64,262144
resnet50_no_weights,CIFAR10,layer3.3.conv1,conv,1024,256,1,1,64,64,262144
resnet50_no_weights,CIFAR10,layer3.3.conv2,conv,2304,2304,3,3,64,64,589824
resnet50_no_weights,CIFAR10,layer3.3.conv3,conv,256,1024,1,1,64,64,262144
resnet50_no_weights,CIFAR10,layer3.4.conv1,conv,1024,256,1,1,64,64,262144
resnet50_no_weights,CIFAR10,layer3.4.conv2,conv,2304,2304,3,3,64,64,589824
resnet50_no_weights,CIFAR10,layer3.4.conv3,conv,256,1024,1,1,64,64,262144
resnet50_no_weights,CIFAR10,layer3.5.conv1,conv,1024,256,1,1,64,64,262144
resnet50_no_weights,CIFAR10,layer3.5.conv2,conv,2304,2304,3,3,64,64,589824
resnet50_no_weights,CIFAR10,layer3.5.conv3,conv,256,1024,1,1,64,64,262144
resnet50_no_weights,CIFAR10,layer4.0.conv1,conv,1024,512,1,1,64,64,524288
resnet50_no_weights,CIFAR10,layer4.0.conv2,conv,4608,4608,3,3,64,16,2359296
resnet50_no_weights,CIFAR10,layer4.0.conv3,conv,512,2048,1,1,16,16,1048576
resnet50_no_weights,CIFAR10,layer4.0.downsample.0,conv,1024,2048,1,1,64,16,2097152
resnet50_no_weights,CIFAR10,layer4.1.conv1,conv,2048,512,1,1,16,16,1048576
resnet50_no_weights,CIFAR10,layer4.1.conv2,conv,4608,4608,3,3,16,16,2359296
resnet50_no_weights,CIFAR10,layer4.1.conv3,conv,512,2048,1,1,16,16,1048576
resnet50_no_weights,CIFAR10,layer4.2.conv1,conv,2048,512,1,1,16,16,1048576
resnet50_no_weights,CIFAR10,layer4.2.conv2,conv,4608,4608,3,3,16,16,2359296
resnet50_no_weights,CIFAR10,layer4.2.conv3,conv,512,2048,1,1,16,16,1048576
resnet50_no_weights,CIFAR10,fc,linear,2048,10,1,1,1,1,20480
resnet18_no_weights,CIFAR10,conv1,conv,27,576,3,3,1024,1024,1728
resnet18_no_weights,CIFAR10,layer1.0.conv1,conv,576,576,3,3,1024,1024,36864
resnet18_no_weights,CIFAR10,layer1.0.conv2,conv,576,576,3,3,1024,1024,36864
resnet18_no_weights,CIFAR10,layer1.1.conv1,conv,576,576,3,3,1024,1024,36864
resnet18_no_weights,CIFAR10,layer1.1.conv2,conv,576,576,3,3,1024,1024,36864
resnet18_no_weights,CIFAR10,layer2.0.conv1,conv,576,1152,3,3,1024,256,73728
resnet18_no_weights,CIFAR10,layer2.0.conv2,conv,1152,1152,3,3,256,256,147456
resnet18_no_weights,CIFAR10,layer2.0.downsample.0,conv,64,128,1,1,1024,256,8192
resnet18_no_weights,CIFAR10,layer2.1.conv1,conv,1152,1152,3,3,256,256,147456
resnet18_no_weights,CIFAR10,layer2.1.conv2,conv,1152,1152,3,3,256,256,147456
resnet18_no_weights,CIFAR10,layer3.0.conv1,conv,1152,2304,3,3,256,64,294912
resnet18_no_weights,CIFAR10,layer3.0.conv2,conv,2304,2304,3,3,64,64,589824
resnet18_no_weights,CIFAR10,layer3.0.downsample.0,conv,128,256,1,1,256,64,32768
resnet18_no_weights,CIFAR10,layer3.1.conv1,conv,2304,2304,3,3,64,64,589824
resnet18_no_weights,CIFAR10,layer3.1.conv2,conv,2304,2304,3,3,64,64,589824
resnet18_no_weights,CIFAR10,layer4.0.conv1,conv,2304,4608,3,3,64,16,1179648
resnet18_no_weights,CIFAR10,layer4.0.conv2,conv,4608,4608,3,3,16,16,2359296
resnet18_no_weights,CIFAR10,layer4.0.downsample.0,conv,256,512,1,1,64,16,131072
resnet18_no_weights,CIFAR10,layer4.1.conv1,conv,4608,4608,3,3,16,16,2359296
resnet18_no_weights,CIFAR10,layer4.1.conv2,conv,4608,4608,3,3,16,16,2359296
resnet18_no_weights,CIFAR10,fc,linear,512,10,1,1,1,1,5120
cnn,CIFAR10,conv1,conv,27,288,3,3,1024,1024,864
cnn,CIFAR10,conv2,conv,288,576,3,3,256,256,18432
cnn,CIFAR10,conv3,conv,576,1152,3,3,64,64,73728
cnn,CIFAR10,conv4,conv,1152,2304,3,3,16,16,294912
cnn,CIFAR10,fc1,linear,1024,1024,1,1,1,1,1048576
cnn,CIFAR10,fc2,linear,1024,10,1,1,1,1,10240
