model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet50_no_weights,CIFAR10,fp32_unfused,conv1,0.6451393982339506,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,-0.012845840621438676,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,-0.31676948293335894,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.conv3,-0.34906715127399,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.0.downsample.0,0.4307661980538313,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,-0.3954037211624417,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,-0.37469910315381805,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.1.conv3,-0.41500437520369404,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv1,-0.13348241137882821,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv2,0.19486224119100104,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer1.2.conv3,-0.07921944724233754,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,0.2671340183220652,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,0.3740292454839844,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.conv3,0.4612479629998054,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,0.40931311520008995,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,-0.47559313708351825,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,-0.1923128685958817,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv3,-0.02038341695172763,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv1,-0.32021142389910073,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv2,-0.16941537464904854,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv3,-0.08772608999933773,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv1,-0.2045364939905654,1.0
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv2,0.11362208539032581,1.0
