model,dataset,stage,predictor,n_layers,damage_mode,spearman_rho_abs,spearman_p_abs,top5_overlap_abs,conv1_damage_rank_abs,spearman_rho_signed,spearman_p_signed,top5_overlap_signed,conv1_damage_rank_signed,conv1_predictor_rank
resnet18_no_weights,CIFAR10,PTQ,raw_trh,21,both,0.3492687544041051,0.12068926004214295,1/5,1,0.44213301361875446,0.04476699729778233,3/5,1,3
resnet18_no_weights,CIFAR10,PTQ,dwsq,21,both,-0.6640659185225164,0.0010276376128400269,0/5,1,-0.3933683429990389,0.07770157211915057,0/5,1,21
resnet18_no_weights,CIFAR10,PTQ,trh_dwsq,21,both,-0.3967484919674192,0.07495906419439591,0/5,1,-0.02990899798009222,0.8975983316912143,0/5,1,18
resnet50_no_weights,CIFAR10,PTQ,raw_trh,54,both,0.2924244819477649,0.03189396899476617,3/5,1,0.08248448767003876,0.5532054247808701,2/5,1,1
resnet50_no_weights,CIFAR10,PTQ,dwsq,54,both,-0.02623343158763574,0.8506436970466953,1/5,1,0.028766560454768372,0.8364108556846935,1/5,1,54
resnet50_no_weights,CIFAR10,PTQ,trh_dwsq,54,both,0.15510946012951438,0.26273890198244637,2/5,1,0.05028425289043066,0.7180286567276862,2/5,1,27
cnn,CIFAR10,PTQ,raw_trh,6,both,0.7714285714285715,0.07239650145772594,4/5,1,0.7714285714285715,0.07239650145772594,4/5,1,2
cnn,CIFAR10,PTQ,dwsq,6,both,-0.8857142857142858,0.01884548104956266,4/5,1,-0.8857142857142858,0.01884548104956266,4/5,1,6
cnn,CIFAR10,PTQ,trh_dwsq,6,both,0.3714285714285715,0.4684781341107872,4/5,1,0.3714285714285715,0.4684781341107872,4/5,1,4
resnet18_no_weights,CIFAR10,QAT,raw_trh,21,both,0.17139243359880726,0.4575732951292951,2/5,2,-0.17139243359880726,0.4575732951292951,0/5,20,3
resnet18_no_weights,CIFAR10,QAT,dwsq,21,both,-0.3857958961615737,0.08411697274507768,1/5,2,0.3857958961615737,0.08411697274507768,2/5,20,21
resnet18_no_weights,CIFAR10,QAT,trh_dwsq,21,both,-0.13489822720514488,0.559890949337028,1/5,2,0.13489822720514488,0.559890949337028,2/5,20,16
resnet50_no_weights,CIFAR10,QAT,raw_trh,54,both,0.004692061172622056,0.9731380273812471,2/5,1,-0.5355400105062544,3.008478340833772e-05,0/5,54,1
resnet50_no_weights,CIFAR10,QAT,dwsq,54,both,-0.125808274368354,0.3646845599507705,1/5,1,0.0013727884063105356,0.9921394906236604,0/5,54,54
resnet50_no_weights,CIFAR10,QAT,trh_dwsq,54,both,-0.08743255453373783,0.5295667652620929,1/5,1,-0.3602044246113699,0.007462299094556871,0/5,54,28
cnn,CIFAR10,QAT,raw_trh,6,both,0.4285714285714286,0.3965014577259473,4/5,1,-0.4285714285714286,0.3965014577259473,4/5,6,2
cnn,CIFAR10,QAT,dwsq,6,both,-0.7142857142857143,0.11078717201166179,4/5,1,0.7142857142857143,0.11078717201166179,5/5,6,6
cnn,CIFAR10,QAT,trh_dwsq,6,both,-0.3142857142857143,0.5440932944606415,4/5,1,0.3142857142857143,0.5440932944606415,4/5,6,4
