model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,42,conv1,conv1,"(64, 3, 3, 3)",14.137865960597992,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,conv1,conv1,"(64, 3, 3, 3)",13.302233065877642,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,conv1,conv1,"(64, 3, 3, 3)",16.363703876071504,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",conv1,conv1,"(64, 3, 3, 3)",14.60126763418238,aggregate,3,1.5824685506283764
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",3.554247159706919,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",4.7987989485263824,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",4.06991520906106,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",4.140987105764787,aggregate,3,0.6253124815955864
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",4.263462866053862,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",4.158682875714059,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",3.3226645390192666,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",3.914936760262396,aggregate,3,0.5155914076437902
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",2.9797678206648146,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",2.76557702367956,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",2.8546064159144526,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",2.866650420086276,aggregate,3,0.10760212779337965
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",19.749549229939777,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",15.836316390471024,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",16.283196407815684,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",17.289687342742162,aggregate,3,2.1419887524310326
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",2.6094389280607535,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",2.3034548399583348,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",2.8446234981218974,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",2.5858390887136617,aggregate,3,0.27135510582545547
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",3.498269236087799,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",3.532465545754684,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",3.2700558322848696,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",3.433596871375784,aggregate,3,0.14265903581235367
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",2.746193528175354,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",2.375783480446914,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",2.6080687739411177,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",2.5766819275211286,aggregate,3,0.18718907943758442
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",5.416573464870453,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",4.541359779380617,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",4.852889835834503,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",4.936941026695191,aggregate,3,0.4436194324316736
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",11.514686322212219,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",12.893070220947266,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",12.233762198481067,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",12.21383958054685,aggregate,3,0.6894078807948322
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",5.5304320851961775,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",5.291463176409404,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",5.349662292003631,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",5.390519184536404,aggregate,3,0.12461339852624696
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",13.320055136313805,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",12.933722712099552,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",13.212926616668701,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",13.155568155027353,aggregate,3,0.199450947205602
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",25.384411343506404,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",19.872223717825754,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",26.20989887081847,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",23.822177977383543,aggregate,3,3.445571273952403
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",24.58703204913017,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",28.947147250175476,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",28.164071760679548,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",27.2327503533284,aggregate,3,2.324472158241411
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",34.904072180026915,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",36.91444922602454,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",32.837493896484375,44,3,
