model,dataset,stage,selection,num_disabled,newly_disabled_layer,disabled_layers,outlier_factor,baseline_acc,ablated_acc,recovery_pts
cnn,CIFAR10,PTQ,cumulative_top_outlier,1,conv3,conv3,5.910092718590357,66.02,66.02,0.0
cnn,CIFAR10,PTQ,cumulative_top_outlier,2,fc1,conv3;fc1,4.795565516115686,66.02,66.03,0.010000000000005116
cnn,CIFAR10,PTQ,cumulative_top_outlier,3,conv4,conv3;fc1;conv4,4.757382948891545,66.02,66.06,0.04000000000000625
cnn,CIFAR10,PTQ,cumulative_top_outlier,4,conv2,conv3;fc1;conv4;conv2,4.438656185881443,66.02,66.0,-0.01999999999999602
cnn,CIFAR10,PTQ,cumulative_top_outlier,5,conv1,conv3;fc1;conv4;conv2;conv1,4.23377485169004,66.02,66.01,-0.009999999999990905
cnn,CIFAR10,PTQ,cumulative_low_outlier,1,fc2,fc2,1.914124166668429,66.02,66.21,0.18999999999999773
cnn,CIFAR10,PTQ,cumulative_low_outlier,2,conv1,fc2;conv1,4.23377485169004,66.02,66.3,0.28000000000000114
cnn,CIFAR10,PTQ,cumulative_low_outlier,3,conv2,fc2;conv1;conv2,4.438656185881443,66.02,66.18,0.1600000000000108
cnn,CIFAR10,PTQ,cumulative_low_outlier,4,conv4,fc2;conv1;conv2;conv4,4.757382948891545,66.02,66.15,0.13000000000000966
cnn,CIFAR10,PTQ,cumulative_low_outlier,5,fc1,fc2;conv1;conv2;conv4;fc1,4.795565516115686,66.02,66.15,0.13000000000000966
cnn,CIFAR10,QAT,cumulative_top_outlier,1,conv3,conv3,6.295024523561694,85.19,85.24,0.04999999999999716
cnn,CIFAR10,QAT,cumulative_top_outlier,2,conv2,conv3;conv2,5.234605552664503,85.19,85.24,0.04999999999999716
cnn,CIFAR10,QAT,cumulative_top_outlier,3,conv4,conv3;conv2;conv4,4.7142193918785225,85.19,85.33,0.14000000000000057
cnn,CIFAR10,QAT,cumulative_top_outlier,4,fc1,conv3;conv2;conv4;fc1,4.206429985898507,85.19,85.28,0.09000000000000341
cnn,CIFAR10,QAT,cumulative_top_outlier,5,conv1,conv3;conv2;conv4;fc1;conv1,3.9669739324910385,85.19,85.29,0.10000000000000853
cnn,CIFAR10,QAT,cumulative_low_outlier,1,fc2,fc2,1.6723985287341714,85.19,85.31,0.12000000000000455
cnn,CIFAR10,QAT,cumulative_low_outlier,2,conv1,fc2;conv1,3.9669739324910385,85.19,85.26,0.07000000000000739
cnn,CIFAR10,QAT,cumulative_low_outlier,3,fc1,fc2;conv1;fc1,4.206429985898507,85.19,85.24,0.04999999999999716
cnn,CIFAR10,QAT,cumulative_low_outlier,4,conv4,fc2;conv1;fc1;conv4,4.7142193918785225,85.19,85.22,0.030000000000001137
cnn,CIFAR10,QAT,cumulative_low_outlier,5,conv2,fc2;conv1;fc1;conv4;conv2,5.234605552664503,85.19,85.34,0.15000000000000568
