model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
cnn,CIFAR10,PTQ,conv1,-8.091721534729004,7.558411121368408,15.650132656097412,0.06137306988239288,132,1.6057171821594238,2.8323633670806885,7.713742256164551,4.803923344577308,9.746506315047693,42,3,
cnn,CIFAR10,PTQ,conv2,-8.328008651733398,4.754361152648926,13.082369804382324,0.05130341276526451,162,0.8697291612625122,1.5481334924697876,4.090812683105469,4.7035478000613224,15.041889345634628,42,3,
cnn,CIFAR10,PTQ,conv3,-5.947083473205566,3.1554296016693115,9.102513074874878,0.035696130245923996,167,0.525536060333252,0.9898707270622253,2.97456431388855,5.6600574887331705,17.320434812984686,42,3,
cnn,CIFAR10,PTQ,conv4,-3.486232280731201,3.6537742614746094,7.1400065422058105,0.02800002507865429,125,0.8326759934425354,1.4771497249603271,3.917584180831909,4.704812209891421,8.574771698036898,42,3,
cnn,CIFAR10,PTQ,fc1,-2.99546217918396,4.414804458618164,7.410266637802124,0.029059870168566704,103,0.7267877459526062,1.455990195274353,4.078004360198975,5.6109976852373915,10.195915766424255,42,3,
cnn,CIFAR10,PTQ,fc2,-11.027742385864258,24.864330291748047,35.892072677612305,0.14075323939323425,78,10.711146354675293,17.62755012512207,24.11705780029297,2.251585124664658,3.3509086225813567,42,3,
cnn,CIFAR10,PTQ,conv1,-8.091721534729004,7.558411121368408,15.650132656097412,0.06137306988239288,132,1.5609983205795288,2.6763548851013184,6.201936721801758,3.9730579079029735,10.025720367391054,43,3,
cnn,CIFAR10,PTQ,conv2,-8.328008651733398,4.754361152648926,13.082369804382324,0.05130341276526451,162,0.8363512754440308,1.4405326843261719,3.6225879192352295,4.331419136429183,15.64219507818256,43,3,
cnn,CIFAR10,PTQ,conv3,-5.947083473205566,3.1554296016693115,9.102513074874878,0.035696130245923996,167,0.5262662172317505,1.0195040702819824,3.2518041133880615,6.179009799437825,17.29640394315189,43,3,
cnn,CIFAR10,PTQ,conv4,-3.486232280731201,3.6537742614746094,7.1400065422058105,0.02800002507865429,125,0.8673940300941467,1.5574818849563599,4.400174140930176,5.072866526937685,8.231560622374626,43,3,
cnn,CIFAR10,PTQ,fc1,-2.99546217918396,4.414804458618164,7.410266637802124,0.029059870168566704,103,0.7034642100334167,1.3920831680297852,3.6684768199920654,5.21487343303194,10.533963963070862,43,3,
cnn,CIFAR10,PTQ,fc2,-11.027742385864258,24.864330291748047,35.892072677612305,0.14075323939323425,78,9.353349685668945,16.374616622924805,21.887165069580078,2.34003493990129,3.8373496002833694,43,3,
cnn,CIFAR10,PTQ,conv1,-8.091721534729004,7.558411121368408,15.650132656097412,0.06137306988239288,132,1.638857364654541,2.9041614532470703,6.43143892288208,3.924343302589838,9.549417169319273,44,3,
cnn,CIFAR10,PTQ,conv2,-8.328008651733398,4.754361152648926,13.082369804382324,0.05130341276526451,162,0.880197286605835,1.5330655574798584,3.7681260108947754,4.281001621153822,14.862997197855256,44,3,
cnn,CIFAR10,PTQ,conv3,-5.947083473205566,3.1554296016693115,9.102513074874878,0.035696130245923996,167,0.5479353666305542,1.02749502658844,3.2280027866363525,5.891210867600075,16.612384651951576,44,3,
cnn,CIFAR10,PTQ,conv4,-3.486232280731201,3.6537742614746094,7.1400065422058105,0.02800002507865429,125,0.8874046802520752,1.5581878423690796,3.9884138107299805,4.494470109845529,8.045941948579342,44,3,
