model,dataset,stage,excluded_layer,selection,excluded_trace,fp32_acc,all_quantized_acc,ablated_acc,recovery_pts,fraction_of_fp32_recovered,excluded_layer_still_fp32,other_layers_quantized
cnn,CIFAR10,PTQ,,none,,66.22,65.45,65.45,0.0,0.0,,True
cnn,CIFAR10,PTQ,conv2,top_trace,798.4767532348633,66.22,65.45,65.68,0.23000000000000398,0.2987012987013054,True,True
cnn,CIFAR10,PTQ,conv3,top_trace,368.0720757378472,66.22,65.45,65.82,0.36999999999999034,0.48051948051947047,True,True
cnn,CIFAR10,PTQ,conv1,top_trace,268.70069908373284,66.22,65.45,65.67,0.21999999999999886,0.2857142857142857,True,True
cnn,CIFAR10,PTQ,fc2,low_trace,5.243991404771805,66.22,65.45,65.39,-0.060000000000002274,-0.07792207792208128,True,True
cnn,CIFAR10,PTQ,fc1,low_trace,13.764831725587236,66.22,65.45,65.58,0.12999999999999545,0.1688311688311638,True,True
cnn,CIFAR10,PTQ,conv4,low_trace,22.17500825361772,66.22,65.45,65.7,0.25,0.32467532467532634,True,True
cnn,CIFAR10,QAT,,none,,85.3,85.15,85.15,0.0,0.0,,True
cnn,CIFAR10,QAT,conv2,top_trace,553.7812194824219,85.3,85.15,85.27,0.11999999999999034,0.7999999999999811,True,True
cnn,CIFAR10,QAT,conv3,top_trace,261.40921783447266,85.3,85.15,85.29,0.14000000000000057,0.9333333333333902,True,True
cnn,CIFAR10,QAT,conv1,top_trace,170.55114459991455,85.3,85.15,85.25,0.09999999999999432,0.6666666666666666,True,True
cnn,CIFAR10,QAT,fc2,low_trace,5.079000064304897,85.3,85.15,85.22,0.06999999999999318,0.46666666666664774,True,True
cnn,CIFAR10,QAT,fc1,low_trace,10.255356046888563,85.3,85.15,85.32,0.1699999999999875,1.1333333333333144,True,True
cnn,CIFAR10,QAT,conv4,low_trace,14.41961701711019,85.3,85.15,85.24,0.0899999999999892,0.5999999999999621,True,True
resnet18_no_weights,CIFAR10,PTQ,,none,,82.43,82.0,82.0,0.0,0.0,,True
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,top_trace,217.74737646640875,82.43,82.0,81.96,-0.04000000000000625,-0.09302325581396656,True,True
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,top_trace,216.10453451833416,82.43,82.0,81.9,-0.09999999999999432,-0.23255813953486681,True,True
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,top_trace,153.32715797424316,82.43,82.0,81.94,-0.060000000000002274,-0.1395348837209333,True,True
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,low_trace,2.339421865986843,82.43,82.0,81.95,-0.04999999999999716,-0.11627906976743341,True,True
resnet18_no_weights,CIFAR10,PTQ,fc,low_trace,2.937571841127732,82.43,82.0,81.86,-0.14000000000000057,-0.32558139534883335,True,True
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,low_trace,7.408154031809638,82.43,82.0,81.91,-0.09000000000000341,-0.20930232558139997,True,True
resnet18_no_weights,CIFAR10,QAT,,none,,90.54,90.46,90.46,0.0,0.0,,True
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1,top_trace,126.15004980153051,90.54,90.46,90.42,-0.03999999999999204,-0.49999999999982236,True,True
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1,top_trace,109.93876931606196,90.54,90.46,90.56,0.10000000000000853,1.2499999999999112,True,True
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1,top_trace,91.6156742993523,90.54,90.46,90.5,0.04000000000000625,0.5,True,True
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,low_trace,1.6489897576662211,90.54,90.46,90.6,0.14000000000000057,1.7499999999997335,True,True
resnet18_no_weights,CIFAR10,QAT,fc,low_trace,1.897173750049928,90.54,90.46,90.54,0.0800000000000125,1.0,True,True
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,low_trace,3.992757167134966,90.54,90.46,90.55,0.09000000000000341,1.1249999999998668,True,True
resnet50_no_weights,CIFAR10,PTQ,,none,,75.46,25.13,25.13,0.0,0.0,,True
resnet50_no_weights,CIFAR10,PTQ,conv1,top_trace,13161.826611328124,75.46,25.13,24.19,-0.9399999999999977,-0.018676733558513764,True,True
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2,top_trace,475.70222058015713,75.46,25.13,26.56,1.4299999999999997,0.028412477647526323,True,True
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1,top_trace,275.47671289597787,75.46,25.13,26.39,1.2600000000000016,0.02503477051460365,True,True
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2,low_trace,0.6501170301691015,75.46,25.13,29.66,4.530000000000001,0.09000596065964636,True,True
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2,low_trace,0.7322613652105685,75.46,25.13,20.42,-4.709999999999997,-0.0935823564474468,True,True
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2,low_trace,0.7436659923539712,75.46,25.13,27.25,2.120000000000001,0.042121994834095,True,True
resnet50_no_weights,CIFAR10,QAT,,none,,84.44,83.85,83.85,0.0,0.0,,True
resnet50_no_weights,CIFAR10,QAT,conv1,top_trace,183.24382030602655,84.44,83.85,84.02,0.1700000000000017,0.2881355932203402,True,True
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2,top_trace,54.19021253232603,84.44,83.85,84.06,0.21000000000000796,0.35593220338984194,True,True
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0,top_trace,52.98683420817057,84.44,83.85,83.65,-0.19999999999998863,-0.3389830508474364,True,True
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3,low_trace,1.0229292584432137,84.44,83.85,83.9,0.05000000000001137,0.08474576271188318,True,True
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3,low_trace,1.5170979227049877,84.44,83.85,83.54,-0.30999999999998806,-0.525423728813536,True,True
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3,low_trace,2.3589966618097744,84.44,83.85,84.04,0.19000000000001194,0.3220338983051031,True,True
