model,dataset,stage,layer,trace
cnn,CIFAR10,FP32,conv1.weight,60.05338686483878
cnn,CIFAR10,FP32,conv2.weight,137.60110547465663
cnn,CIFAR10,FP32,conv3.weight,184.49144054594495
cnn,CIFAR10,FP32,conv4.weight,63.48330332438151
cnn,CIFAR10,FP32,fc1.weight,12.828702926635742
cnn,CIFAR10,FP32,fc2.weight,5.510077420402975
cnn,CIFAR10,PTQ,conv1.weight,284.95768665132067
cnn,CIFAR10,PTQ,conv2.weight,757.4240018404447
cnn,CIFAR10,PTQ,conv3.weight,438.03788011338975
cnn,CIFAR10,PTQ,conv4.weight,24.703768836127388
cnn,CIFAR10,PTQ,fc1.weight,17.361766951424734
cnn,CIFAR10,PTQ,fc2.weight,5.6925820261240005
cnn,CIFAR10,QAT,conv1.weight,230.4826082171816
cnn,CIFAR10,QAT,conv2.weight,640.401501246861
cnn,CIFAR10,QAT,conv3.weight,287.6615498860677
cnn,CIFAR10,QAT,conv4.weight,15.893126097592441
cnn,CIFAR10,QAT,fc1.weight,11.58315931666981
cnn,CIFAR10,QAT,fc2.weight,4.847196547190348
resnet18_no_weights,CIFAR10,FP32,conv1.weight,24.756861081937465
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,42.97289128206214
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,57.96694309234619
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,70.52328618367513
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,41.26915642310833
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,55.729373677571616
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,60.73943396537535
resnet18_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,40.91556788505392
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,57.9255078209771
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,38.00442654153575
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,75.1231397545856
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,97.61310492621527
resnet18_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,31.95273914337158
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,90.315185546875
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,56.2262122631073
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,63.736027505662705
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,58.9858117280183
resnet18_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,26.607632416945236
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,45.47736712864467
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,18.13700065612793
resnet18_no_weights,CIFAR10,FP32,fc.weight,4.317613296730574
resnet18_no_weights,CIFAR10,PTQ,conv1.weight,177.6376384388317
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,90.45301043602728
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,65.38861815134685
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,353.2321153120561
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,34.36332868493122
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,184.29546101888022
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,40.16004829406738
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,24.56189464120304
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,135.24822913275824
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,20.226462414390163
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,262.7802442662856
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,60.56039259168837
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,27.442060129983084
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,105.78873770577567
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,19.924986464636667
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,109.64058685302734
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,22.38574911623585
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,9.761222276687622
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,84.90149269104003
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,2.8144018026915463
resnet18_no_weights,CIFAR10,PTQ,fc.weight,4.15597082067419
resnet18_no_weights,CIFAR10,QAT,conv1.weight,104.03015202489392
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,45.19671114285787
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,36.263313781383424
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,183.0086099375849
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,20.253338633643256
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1.weight,127.90481454354746
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2.weight,24.49001121520996
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0.weight,15.917181670665741
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1.weight,74.84647577459162
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2.weight,13.409343572763296
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,170.28229370117188
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,36.8774197101593
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,17.37513641210703
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,74.91010437011718
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,12.66791826135972
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,58.68976670724374
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,14.47679934501648
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,5.7323469638824465
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,63.50481343269348
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,1.8423540932791573
resnet18_no_weights,CIFAR10,QAT,fc.weight,3.0751060485839843
resnet50_no_weights,CIFAR10,FP32,conv1.weight,15.650477691130204
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,4.246457748725766
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,4.01071435213089
resnet50_no_weights,CIFAR10,FP32,layer1.0.conv3.weight,2.8663517134530205
resnet50_no_weights,CIFAR10,FP32,layer1.0.downsample.0.weight,18.30695436311805
