model,dataset,stage,layer,eigenvalue
cnn,CIFAR10,FP32,conv1.weight,9.999320983886719
cnn,CIFAR10,FP32,conv2.weight,24.79079246520996
cnn,CIFAR10,FP32,conv3.weight,24.421245574951172
cnn,CIFAR10,FP32,conv4.weight,7.10671329498291
cnn,CIFAR10,FP32,fc1.weight,0.8904268145561218
cnn,CIFAR10,FP32,fc2.weight,0.6597641706466675
cnn,CIFAR10,PTQ,conv1.weight,72.84951782226562
cnn,CIFAR10,PTQ,conv2.weight,157.31094360351562
cnn,CIFAR10,PTQ,conv3.weight,56.48210906982422
cnn,CIFAR10,PTQ,conv4.weight,2.630894184112549
cnn,CIFAR10,PTQ,fc1.weight,1.5315587520599365
cnn,CIFAR10,PTQ,fc2.weight,0.8734227418899536
cnn,CIFAR10,QAT,conv1.weight,53.41827392578125
cnn,CIFAR10,QAT,conv2.weight,84.81379699707031
cnn,CIFAR10,QAT,conv3.weight,28.53308868408203
cnn,CIFAR10,QAT,conv4.weight,1.1847624778747559
cnn,CIFAR10,QAT,fc1.weight,0.94048011302948
cnn,CIFAR10,QAT,fc2.weight,0.799730122089386
resnet18_no_weights,CIFAR10,FP32,conv1.weight,5.133547782897949
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv1.weight,9.88815689086914
resnet18_no_weights,CIFAR10,FP32,layer1.0.conv2.weight,13.252248764038086
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv1.weight,20.320178985595703
resnet18_no_weights,CIFAR10,FP32,layer1.1.conv2.weight,6.826295375823975
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv1.weight,10.293578147888184
resnet18_no_weights,CIFAR10,FP32,layer2.0.conv2.weight,9.633394241333008
resnet18_no_weights,CIFAR10,FP32,layer2.0.downsample.0.weight,6.788326263427734
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv1.weight,6.758525848388672
resnet18_no_weights,CIFAR10,FP32,layer2.1.conv2.weight,4.753414154052734
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv1.weight,8.318533897399902
resnet18_no_weights,CIFAR10,FP32,layer3.0.conv2.weight,10.858935356140137
resnet18_no_weights,CIFAR10,FP32,layer3.0.downsample.0.weight,3.997023820877075
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv1.weight,8.122275352478027
resnet18_no_weights,CIFAR10,FP32,layer3.1.conv2.weight,5.611055850982666
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv1.weight,5.344659805297852
resnet18_no_weights,CIFAR10,FP32,layer4.0.conv2.weight,5.38284969329834
resnet18_no_weights,CIFAR10,FP32,layer4.0.downsample.0.weight,2.8010284900665283
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv1.weight,5.260067939758301
resnet18_no_weights,CIFAR10,FP32,layer4.1.conv2.weight,1.9791741371154785
resnet18_no_weights,CIFAR10,FP32,fc.weight,0.5505084991455078
resnet18_no_weights,CIFAR10,PTQ,conv1.weight,31.64995574951172
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,13.408477783203125
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,13.088725090026855
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,97.43954467773438
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,6.471445083618164
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,30.075965881347656
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,5.1014509201049805
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,3.4534969329833984
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,16.66118812561035
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,2.582989454269409
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,27.663869857788086
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,5.816380500793457
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,3.1159400939941406
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,9.467653274536133
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,2.0549323558807373
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,7.832754611968994
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,1.9466814994812012
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,0.8316595554351807
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,8.796276092529297
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,0.32278987765312195
resnet18_no_weights,CIFAR10,PTQ,fc.weight,0.638363242149353
