model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,conv1,"(64, 3, 7, 7)",400.0261708577474,0.042519788569063285,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,conv1,"(64, 3, 7, 7)",322.42297643025717,0.03427114970559706,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,conv1,"(64, 3, 7, 7)",522.4025395711263,0.05552748082176088,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,conv1,"(64, 3, 7, 7)",414.95056228637696,0.04410613969880708,"42,43,44",aggregate,3,100.82167184261246
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv1,"(64, 64, 1, 1)",147.49502929051718,0.03600952863538017,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv1,"(64, 64, 1, 1)",112.76623916625977,0.027530820108950138,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv1,"(64, 64, 1, 1)",92.08465817769368,0.022481606000413497,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv1,"(64, 64, 1, 1)",117.44864221149021,0.028673984914914602,"42,43,44",aggregate,3,28.000374647916654
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv2,"(64, 64, 3, 3)",43.74467290242513,0.0011866501980909595,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv2,"(64, 64, 3, 3)",40.15987283212167,0.001089406272572745,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv2,"(64, 64, 3, 3)",48.52824192047119,0.0013164128125127818,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv2,"(64, 64, 3, 3)",44.14426255167266,0.0011974897610588287,"42,43,44",aggregate,3,4.198470461435957
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv3,"(256, 64, 1, 1)",89.13029492696127,0.005440081477475663,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv3,"(256, 64, 1, 1)",73.37904989308325,0.004478701775700882,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv3,"(256, 64, 1, 1)",82.03447730724628,0.005006987140334856,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.conv3,"(256, 64, 1, 1)",81.5146073757636,0.004975256797837134,"42,43,44",aggregate,3,7.888480752880215
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.downsample.0,"(256, 64, 1, 1)",226.41164086081764,0.01381906987675889,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.downsample.0,"(256, 64, 1, 1)",220.99921199253626,0.013488721435091324,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.downsample.0,"(256, 64, 1, 1)",197.9843660990397,0.012084006719912091,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.0.downsample.0,"(256, 64, 1, 1)",215.13173965079787,0.013130599343920768,"42,43,44",aggregate,3,15.09463187216578
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.1.conv1,"(64, 256, 1, 1)",12.403108263015747,0.0007570256508188322,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.1.conv1,"(64, 256, 1, 1)",12.448064393010633,0.0007597695552374654,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer1.1.conv1,"(64, 256, 1, 1)",12.885305280685424,0.000786456621135585,44,44,3,
